NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH2	235	3.7350733280181885	0.025331052	No	
row_1	VCAM1	393	3.0930886268615723	0.049908448	No	
row_2	ITGB1	726	2.3575551509857178	0.048314497	No	
row_3	PMEPA1	1225	1.7033066749572754	0.022451628	No	
row_4	PLOD1	1228	1.7016429901123047	0.044049747	No	
row_5	P3H1	1423	1.517675757408142	0.044911917	No	
row_6	PVR	1534	1.4253618717193604	0.052633364	No	
row_7	TIMP3	1594	1.3759791851043701	0.064604715	No	
row_8	NID2	1842	1.1903131008148193	0.056201287	No	
row_9	SPARC	1978	1.0963846445083618	0.05731691	No	
row_10	ID2	2030	1.0556106567382812	0.06595178	No	
row_11	PLOD3	2075	1.0230369567871094	0.07483965	No	
row_12	CALU	2139	0.9888175129890442	0.08147047	No	
row_13	TGFB1	2265	0.914728045463562	0.081217274	No	
row_14	WIPF1	2376	0.8618922233581543	0.08172348	No	
row_15	CAPG	2392	0.8560428023338318	0.09124917	No	
row_16	CD44	2610	0.7540613412857056	0.08013144	No	
row_17	THY1	2826	0.6595978736877441	0.06799557	No	
row_18	SNTB1	3098	0.5597435832023621	0.049220152	No	
row_19	MMP14	3878	0.32299891114234924	-0.021217836	No	
row_20	SERPINE2	3975	0.29693809151649475	-0.026605658	No	
row_21	COLGALT1	4023	0.28261491656303406	-0.027486097	No	
row_22	MCM7	4424	0.1866273134946823	-0.0633885	No	
row_23	ITGAV	5396	1.1951800115639344E-4	-0.15634121	No	
row_24	COPA	5609	-0.03380760923027992	-0.17620315	No	
row_25	ACTA2	5698	-0.04676666483283043	-0.18402858	No	
row_26	TPM4	5788	-0.06252937018871307	-0.1917479	No	
row_27	ITGB3	5874	-0.07494158297777176	-0.19892536	No	
row_28	TGM2	5981	-0.09345931559801102	-0.20787603	No	
row_29	MAGEE1	6174	-0.1286105364561081	-0.2246094	No	
row_30	GEM	6203	-0.13467556238174438	-0.22556534	No	
row_31	ITGA5	6354	-0.1665758192539215	-0.2377919	No	
row_32	PLOD2	6511	-0.20200781524181366	-0.25013912	No	
row_33	NT5E	6630	-0.23115119338035583	-0.25847542	No	
row_34	SGCB	7254	-0.4006572663784027	-0.31298503	No	
row_35	GPC1	7446	-0.4667128622531891	-0.32529327	No	
row_36	DST	7487	-0.4859151840209961	-0.32290035	No	
row_37	TNFAIP3	7505	-0.4935843050479889	-0.3182074	No	
row_38	GADD45A	7674	-0.5608150959014893	-0.32710886	No	
row_39	EMP3	7687	-0.566543698310852	-0.32100302	No	
row_40	PFN2	7767	-0.5990476012229919	-0.32089493	No	
row_41	GADD45B	7843	-0.6285294890403748	-0.32002637	No	
row_42	SAT1	8203	-0.792125403881073	-0.3442504	No	
row_43	PRSS2	8299	-0.8380272388458252	-0.34261382	No	
row_44	PPIB	8555	-1.0055898427963257	-0.35414848	Yes	
row_45	LGALS1	8616	-1.0387541055679321	-0.34659103	Yes	
row_46	IGFBP4	8619	-1.0414354801177979	-0.3334469	Yes	
row_47	TAGLN	8642	-1.0553457736968994	-0.32203925	Yes	
row_48	TPM1	8793	-1.137927532196045	-0.32182762	Yes	
row_49	FUCA1	8913	-1.2387428283691406	-0.3173574	Yes	
row_50	GLIPR1	8948	-1.2722959518432617	-0.30432045	Yes	
row_51	TNFRSF12A	9448	-1.7982444763183594	-0.3290634	Yes	
row_52	APLP1	9660	-2.140857219696045	-0.32184878	Yes	
row_53	TGFBR3	9750	-2.3320326805114746	-0.30050704	Yes	
row_54	PDLIM4	9766	-2.3554177284240723	-0.27178183	Yes	
row_55	JUN	9818	-2.4651854038238525	-0.24509731	Yes	
row_56	QSOX1	9944	-2.7579095363616943	-0.22174852	Yes	
row_57	FBLN1	9952	-2.781780481338501	-0.18679787	Yes	
row_58	FLNA	9974	-2.8486111164093018	-0.15233168	Yes	
row_59	ECM1	9997	-2.901963710784912	-0.11727804	Yes	
row_60	FAS	10185	-3.6099801063537598	-0.08895375	Yes	
row_61	VIM	10279	-4.195784091949463	-0.04412956	Yes	
row_62	ADAM12	10395	-5.150798320770264	0.0108175315	Yes	
