NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO3	14	6.530847549438477	0.045067783	Yes	
row_1	ECI1	132	4.3715972900390625	0.06488519	Yes	
row_2	SMS	168	4.136326313018799	0.09091593	Yes	
row_3	CCDC58	203	3.9221084117889404	0.11552041	Yes	
row_4	UGDH	262	3.5615103244781494	0.13525425	Yes	
row_5	ADSL	351	3.2343363761901855	0.149778	Yes	
row_6	ACAA2	402	3.0699868202209473	0.16678791	Yes	
row_7	ACADVL	408	3.05755615234375	0.18803683	Yes	
row_8	HSP90AA1	459	2.9273252487182617	0.20403288	Yes	
row_9	DLST	522	2.8044350147247314	0.2180016	Yes	
row_10	SDHD	577	2.670950412750244	0.23179096	Yes	
row_11	ALAD	586	2.6503446102142334	0.24985738	Yes	
row_12	SUCLG2	617	2.5717310905456543	0.26524952	Yes	
row_13	PSME1	639	2.5216012001037598	0.28115085	Yes	
row_14	ACADL	650	2.51387357711792	0.29805508	Yes	
row_15	METAP1	678	2.4552245140075684	0.3129077	Yes	
row_16	NTHL1	769	2.2954013347625732	0.3205662	Yes	
row_17	MIF	887	2.1453709602355957	0.32456204	Yes	
row_18	ERP29	938	2.074424982070923	0.33449662	Yes	
row_19	FASN	979	2.0140769481658936	0.34496394	Yes	
row_20	PRDX6	1089	1.8451075553894043	0.34759516	Yes	
row_21	DLD	1166	1.7624629735946655	0.3528124	Yes	
row_22	MAOA	1196	1.7322921752929688	0.36233488	Yes	
row_23	BCKDHB	1283	1.6488604545593262	0.36578315	Yes	
row_24	HSPH1	1376	1.559981346130371	0.36802277	Yes	
row_25	CRYZ	1655	1.3311121463775635	0.35074952	Yes	
row_26	SDHA	1660	1.3275562524795532	0.35979965	Yes	
row_27	OSTC	1722	1.2857599258422852	0.36307147	Yes	
row_28	SUCLG1	1788	1.236041784286499	0.3656053	Yes	
row_29	MDH2	1863	1.1763404607772827	0.36684936	Yes	
row_30	ACSL4	1869	1.1707279682159424	0.37468877	Yes	
row_31	NSDHL	1917	1.137221097946167	0.37825122	Yes	
row_32	GCDH	2006	1.074533462524414	0.3774255	Yes	
row_33	HCCS	2027	1.0571974515914917	0.3830156	Yes	
row_34	APEX1	2191	0.9641951322555542	0.37419346	Yes	
row_35	SDHC	2236	0.9305727481842041	0.37657577	Yes	
row_36	ALDOA	2350	0.872502326965332	0.37191013	Yes	
row_37	IDH3B	2359	0.867889940738678	0.37730885	Yes	
row_38	CPOX	2389	0.8572319149971008	0.38061237	Yes	
row_39	LDHA	2436	0.8367278575897217	0.3821354	Yes	
row_40	PTS	2446	0.8340126276016235	0.38719717	Yes	
row_41	ETFDH	2517	0.7919130325317383	0.3860938	No	
row_42	ACO2	2570	0.7672318816184998	0.38654596	No	
row_43	PDHA1	2707	0.7125114798545837	0.37853152	No	
row_44	RETSAT	2759	0.6880446672439575	0.37851706	No	
row_45	HSD17B10	2769	0.6855514645576477	0.38252375	No	
row_46	ACSL5	2797	0.6739031672477722	0.3847167	No	
row_47	ODC1	2841	0.6550030708312988	0.38523674	No	
row_48	MCEE	3318	0.4861530363559723	0.34291813	No	
row_49	IDI1	3643	0.3850947320461273	0.31449813	No	
row_50	ACAT2	3921	0.312324583530426	0.2900806	No	
row_51	GPD2	3936	0.3077271580696106	0.2909213	No	
row_52	SLC22A5	3995	0.2901003360748291	0.28740555	No	
row_53	CPT2	4043	0.27797621488571167	0.28486145	No	
row_54	RAP1GDS1	4216	0.23695635795593262	0.2700054	No	
row_55	BLVRA	4240	0.22820255160331726	0.26941547	No	
row_56	SUCLA2	4337	0.21001486480236053	0.26167637	No	
row_57	PDHB	4344	0.20918293297290802	0.26258603	No	
row_58	GAPDHS	4405	0.19209468364715576	0.25818145	No	
row_59	HSD17B7	4524	0.1628641039133072	0.24799167	No	
row_60	NBN	4580	0.14777961373329163	0.24375294	No	
row_61	DHCR24	4620	0.14051441848278046	0.2410012	No	
row_62	IDH3G	4822	0.10242920368909836	0.22240038	No	
row_63	AUH	4860	0.09439975768327713	0.21951324	No	
row_64	GRHPR	4961	0.07746246457099915	0.21044745	No	
row_65	ALDH9A1	5074	0.05617028847336769	0.20007637	No	
row_66	ACSL1	5256	0.026677867397665977	0.18286045	No	
row_67	GSTZ1	5490	-0.01345469057559967	0.16055007	No	
row_68	YWHAH	5524	-0.01879950612783432	0.1575103	No	
row_69	ADIPOR2	5674	-0.04229773208498955	0.1434826	No	
row_70	GABARAPL1	5686	-0.044650353491306305	0.14274213	No	
row_71	ACADS	5997	-0.0962429791688919	0.11361556	No	
row_72	UBE2L6	6145	-0.12339534610509872	0.10035654	No	
row_73	ECHS1	6262	-0.14711636304855347	0.09024717	No	
row_74	HMGCS1	6467	-0.19298723340034485	0.072001435	No	
row_75	ACADM	6603	-0.22497841715812683	0.060618315	No	
row_76	RDH11	6697	-0.2489161342382431	0.05344417	No	
row_77	HSD17B11	6742	-0.2587411403656006	0.05105184	No	
row_78	CRAT	6821	-0.27976661920547485	0.04553939	No	
row_79	HMGCL	7192	-0.3829157054424286	0.01268039	No	
row_80	MDH1	7250	-0.3989254832267761	0.010034217	No	
row_81	HADH	7295	-0.41622430086135864	0.008761103	No	
row_82	MLYCD	7484	-0.48520588874816895	-0.00586925	No	
row_83	UROS	7721	-0.5772707462310791	-0.024461135	No	
row_84	UROD	7898	-0.6534981727600098	-0.036741495	No	
row_85	IDH1	8055	-0.7156951427459717	-0.046656568	No	
row_86	NCAPH2	8088	-0.7338217496871948	-0.04451859	No	
row_87	ACOX1	8156	-0.7666842341423035	-0.04551277	No	
row_88	DECR1	8207	-0.7926910519599915	-0.04468735	No	
row_89	HSDL2	8219	-0.7999860048294067	-0.040059727	No	
row_90	EHHADH	8282	-0.8330700397491455	-0.040101293	No	
row_91	ELOVL5	8290	-0.8355614542961121	-0.034836188	No	
row_92	ECI2	8365	-0.8806576132774353	-0.03569351	No	
row_93	D2HGDH	8497	-0.9673758745193481	-0.041415837	No	
row_94	ACOT8	8516	-0.9772012233734131	-0.0362019	No	
row_95	LGALS1	8616	-1.0387541055679321	-0.03833973	No	
row_96	BPHL	8942	-1.266813039779663	-0.060589626	No	
row_97	ACOT2	9023	-1.3336424827575684	-0.058804613	No	
row_98	HSD17B4	9032	-1.338549256324768	-0.050060984	No	
row_99	ECH1	9260	-1.5818649530410767	-0.060647856	No	
row_100	ALDH3A2	9302	-1.6207354068756104	-0.053072143	No	
row_101	GLUL	9431	-1.776050329208374	-0.05275881	No	
row_102	CPT1A	9540	-1.9385350942611694	-0.049367454	No	
row_103	EPHX1	9553	-1.9679597616195679	-0.036535323	No	
row_104	CBR1	9629	-2.087902069091797	-0.02890905	No	
row_105	HIBCH	9647	-2.114413022994995	-0.015516905	No	
row_106	HADHB	9701	-2.2212138175964355	-0.0048276093	No	
row_107	SERINC1	9719	-2.25654935836792	0.009574683	No	
row_108	S100A10	9985	-2.8753576278686523	0.0045263353	No	
row_109	ACSS1	10471	-6.426239013671875	0.0035578555	No	
