NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.015788427	Yes	
row_1	NOP16	15	6.486106872558594	0.030479664	Yes	
row_2	NHP2	20	6.136864185333252	0.04435898	Yes	
row_3	GNL3	21	6.126562595367432	0.058602016	Yes	
row_4	HSPE1	29	5.861594200134277	0.07155063	Yes	
row_5	C1QBP	32	5.812370300292969	0.0848694	Yes	
row_6	HSPD1	42	5.5952887535095215	0.09700507	Yes	
row_7	RSL1D1	58	5.337189197540283	0.1079592	Yes	
row_8	EIF2S2	60	5.300622940063477	0.12018518	Yes	
row_9	NOP56	78	4.855929374694824	0.12982664	Yes	
row_10	PHB2	80	4.829602241516113	0.1409576	Yes	
row_11	KPNB1	97	4.6404290199279785	0.15019497	Yes	
row_12	FBL	99	4.607914924621582	0.16081055	Yes	
row_13	CCT4	103	4.571254730224609	0.17114705	Yes	
row_14	NDUFAB1	109	4.53490686416626	0.18120521	Yes	
row_15	PHB	113	4.494336128234863	0.19136289	Yes	
row_16	RRP9	130	4.393106460571289	0.2000253	Yes	
row_17	PTGES3	131	4.389127731323242	0.21022914	Yes	
row_18	CNBP	134	4.34966516494751	0.22014742	Yes	
row_19	HSP90AB1	138	4.3175764083862305	0.22989418	Yes	
row_20	NOLC1	141	4.301348686218262	0.23970012	Yes	
row_21	MRPS18B	145	4.292644023895264	0.2493889	Yes	
row_22	EIF4A1	149	4.282050132751465	0.25905305	Yes	
row_23	CCT3	166	4.142268180847168	0.26713234	Yes	
row_24	DDX18	170	4.116891384124756	0.27641252	Yes	
row_25	PABPC4	184	4.025240898132324	0.28451046	Yes	
row_26	IFRD1	185	4.0230488777160645	0.29386327	Yes	
row_27	PCBP1	188	4.006737232208252	0.3029843	Yes	
row_28	SNRPD3	196	3.9591190814971924	0.31151003	Yes	
row_29	AIMP2	205	3.913670778274536	0.3198332	Yes	
row_30	TUFM	208	3.905212640762329	0.32871822	Yes	
row_31	SRM	224	3.7798802852630615	0.3360519	Yes	
row_32	CCT5	233	3.7453911304473877	0.34398386	Yes	
row_33	PA2G4	254	3.623271942138672	0.35046887	Yes	
row_34	RANBP1	263	3.5571353435516357	0.35796314	Yes	
row_35	SYNCRIP	264	3.5561676025390625	0.36623055	Yes	
row_36	SLC25A3	268	3.5408856868743896	0.37417164	Yes	
row_37	RUVBL2	278	3.501028060913086	0.38143858	Yes	
row_38	NME1	281	3.48171067237854	0.38933903	Yes	
row_39	EIF4E	284	3.4708878993988037	0.3972143	Yes	
