NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO3	14	6.530847549438477	0.052651312	No	
row_1	SYNGR2	136	4.322700023651123	0.07679412	No	
row_2	IFRD1	185	4.0230488777160645	0.10545462	No	
row_3	ITGB1	726	2.3575551509857178	0.073201396	No	
row_4	BHLHE40	751	2.3283045291900635	0.09015058	No	
row_5	MYL4	865	2.179328203201294	0.09733996	No	
row_6	EIF4A2	1503	1.453824758529663	0.048320524	No	
row_7	PGAM2	1789	1.2344080209732056	0.031216497	No	
row_8	CDKN1A	1852	1.1818578243255615	0.035046358	No	
row_9	SPARC	1978	1.0963846445083618	0.03213279	No	
row_10	GAA	2245	0.9269484877586365	0.0143075045	No	
row_11	TGFB1	2265	0.914728045463562	0.020049263	No	
row_12	PRNP	2448	0.833339273929596	0.009499141	No	
row_13	PTP4A3	3110	0.5582380294799805	-0.049224153	No	
row_14	PSEN2	3456	0.4439411461353302	-0.07861258	No	
row_15	SVIL	3681	0.3732036054134369	-0.09699134	No	
row_16	PICK1	3955	0.30160805583000183	-0.12065729	No	
row_17	AGL	4220	0.23552305996418	-0.14400718	No	
row_18	PFKM	4566	0.15001504123210907	-0.1758256	No	
row_19	CNN3	4929	0.08387758582830429	-0.20981978	No	
row_20	BAG1	4933	0.08291058987379074	-0.20942178	No	
row_21	COX7A1	5221	0.03161778673529625	-0.23666136	No	
row_22	ACSL1	5256	0.026677867397665977	-0.23969875	No	
row_23	AGRN	5412	-0.002568803960457444	-0.25452995	No	
row_24	FDPS	5786	-0.06247095391154289	-0.28975514	No	
row_25	PYGM	5900	-0.07991079241037369	-0.2999224	No	
row_26	TNNT1	5913	-0.08214071393013	-0.30039316	No	
row_27	ATP2A1	6255	-0.14678646624088287	-0.331855	No	
row_28	PDLIM7	6313	-0.15741324424743652	-0.33601546	No	
row_29	HDAC5	6388	-0.17441299557685852	-0.34166437	No	
row_30	MEF2A	6718	-0.2533610761165619	-0.37109524	No	
row_31	CRAT	6821	-0.27976661920547485	-0.37855616	No	
row_32	APP	7231	-0.3921118378639221	-0.4145057	No	
row_33	CHRNB1	7269	-0.40518152713775635	-0.41470134	No	
row_34	MYLPF	7375	-0.44390520453453064	-0.42109275	No	
row_35	FLII	7376	-0.4441377818584442	-0.4174209	No	
row_36	ATP6AP1	7475	-0.48149746656417847	-0.42283076	No	
row_37	RB1	7787	-0.607142984867096	-0.447612	No	
row_38	GADD45B	7843	-0.6285294890403748	-0.44768593	No	
row_39	FOXO4	7884	-0.6469696760177612	-0.4461701	No	
row_40	TSC2	7969	-0.6809080839157104	-0.44858986	No	
row_41	NQO1	8250	-0.8179439902305603	-0.46865782	No	
row_42	GABARAPL2	8292	-0.8362122178077698	-0.46567327	No	
row_43	MEF2D	8444	-0.9391019940376282	-0.47237852	Yes	
row_44	PDE4DIP	8493	-0.9631097912788391	-0.46901563	Yes	
row_45	ERBB3	8528	-0.985805332660675	-0.46412358	Yes	
row_46	TAGLN	8642	-1.0553457736968994	-0.46622655	Yes	
row_47	OCEL1	8647	-1.0562583208084106	-0.4578774	Yes	
row_48	MYO1C	8699	-1.0884164571762085	-0.453766	Yes	
row_49	SH2B1	8797	-1.1430418491363525	-0.4536108	Yes	
row_50	TPM3	8827	-1.1772713661193848	-0.44665673	Yes	
row_51	MAPRE3	8971	-1.2914854288101196	-0.44968215	Yes	
row_52	MYH9	9058	-1.360723614692688	-0.44667327	Yes	
row_53	RIT1	9129	-1.4358183145523071	-0.4415104	Yes	
row_54	KCNH2	9399	-1.7291674613952637	-0.45299092	Yes	
row_55	CKB	9518	-1.9023007154464722	-0.44857094	Yes	
row_56	CAMK2B	9541	-1.9467054605484009	-0.43458492	Yes	
row_57	SMTN	9781	-2.383164167404175	-0.43778396	Yes	
row_58	SORBS1	9805	-2.4406235218048096	-0.41981038	Yes	
row_59	SPTAN1	9814	-2.456233024597168	-0.4002704	Yes	
row_60	AKT2	9842	-2.506977081298828	-0.38213155	Yes	
row_61	NOTCH1	9915	-2.658745765686035	-0.36704993	Yes	
row_62	SIRT2	9984	-2.8742432594299316	-0.34980348	Yes	
row_63	BIN1	10108	-3.280125379562378	-0.33447164	Yes	
row_64	RYR1	10147	-3.452294111251831	-0.30957153	Yes	
row_65	VIPR1	10189	-3.6275923252105713	-0.28350967	Yes	
row_66	LPIN1	10229	-3.840888023376465	-0.25549275	Yes	
row_67	GSN	10360	-4.751636028289795	-0.22866617	Yes	
row_68	LSP1	10368	-4.812562942504883	-0.18954977	Yes	
row_69	ADAM12	10395	-5.150798320770264	-0.14945768	Yes	
row_70	ABLIM1	10460	-6.163349151611328	-0.10463571	Yes	
row_71	ITGA7	10470	-6.413170337677002	-0.052478164	Yes	
row_72	NAV2	10477	-6.776474952697754	0.0029704152	Yes	
