NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHB2	80	4.829602241516113	0.014161398	Yes	
row_1	HSPA9	100	4.595105171203613	0.033161633	Yes	
row_2	NDUFAB1	109	4.53490686416626	0.052953213	Yes	
row_3	MRPL15	128	4.421436786651611	0.07126263	Yes	
row_4	ECI1	132	4.3715972900390625	0.090797395	Yes	
row_5	TIMM9	216	3.8439483642578125	0.10019861	Yes	
row_6	SLC25A3	268	3.5408856868743896	0.11132172	Yes	
row_7	PRDX3	287	3.4644837379455566	0.12529138	Yes	
row_8	ACAA2	402	3.0699868202209473	0.12818319	Yes	
row_9	ACADVL	408	3.05755615234375	0.14156531	Yes	
row_10	POLR2F	444	2.94885516166687	0.15155172	Yes	
row_11	TIMM50	496	2.8457443714141846	0.15952238	Yes	
row_12	MRPL35	506	2.8266608715057373	0.17147037	Yes	
row_13	DLST	522	2.8044350147247314	0.18273701	Yes	
row_14	SUPV3L1	528	2.790513277053833	0.1949081	Yes	
row_15	MTX2	542	2.773937463760376	0.20622995	Yes	
row_16	IDH3A	558	2.7161848545074463	0.21709637	Yes	
row_17	TIMM17A	562	2.708137273788452	0.22908741	Yes	
row_18	MRPS15	568	2.693054676055908	0.24081653	Yes	
row_19	CYC1	575	2.6759016513824463	0.2523711	Yes	
row_20	SDHD	577	2.670950412750244	0.264387	Yes	
row_21	VDAC2	579	2.6691906452178955	0.27639496	Yes	
row_22	NDUFB6	592	2.632450819015503	0.28717193	Yes	
row_23	TIMM8B	655	2.501312732696533	0.29251626	Yes	
row_24	NDUFS7	700	2.4227633476257324	0.29924604	Yes	
row_25	ETFB	714	2.391188144683838	0.30883214	Yes	
row_26	TIMM10	729	2.355945110321045	0.31816164	Yes	
row_27	NDUFA9	764	2.3019936084747314	0.3253113	Yes	
row_28	CYCS	789	2.270813226699829	0.33328718	Yes	
row_29	MRPS22	875	2.165330648422241	0.33488238	Yes	
row_30	MRPL11	916	2.111513137817383	0.34058768	Yes	
row_31	UQCRB	948	2.066093683242798	0.34695783	Yes	
row_32	LRPPRC	949	2.0660817623138428	0.35632744	Yes	
row_33	UQCR11	966	2.0371439456939697	0.3640177	Yes	
row_34	DLAT	1106	1.8244825601577759	0.35884222	Yes	
row_35	VDAC1	1117	1.8182207345962524	0.3661202	Yes	
row_36	UQCRFS1	1154	1.778124451637268	0.37070063	Yes	
row_37	DLD	1166	1.7624629735946655	0.37762898	Yes	
row_38	HTRA2	1189	1.7420440912246704	0.3834004	Yes	
row_39	GRPEL1	1198	1.7302039861679077	0.39047274	Yes	
row_40	ACAT1	1223	1.7065032720565796	0.3958895	Yes	
row_41	SLC25A5	1232	1.699173927307129	0.40282112	Yes	
row_42	NDUFA5	1250	1.6767194271087646	0.40878007	Yes	
row_43	NDUFB4	1277	1.6526912450790405	0.41375926	Yes	
row_44	COX17	1296	1.630185604095459	0.41941044	Yes	
row_45	TIMM13	1318	1.610130786895752	0.4246804	Yes	
row_46	OAT	1338	1.5912688970565796	0.43005833	Yes	
row_47	NDUFB8	1340	1.5902373790740967	0.43717325	Yes	
row_48	NDUFS3	1387	1.5548985004425049	0.43977377	Yes	
row_49	VDAC3	1425	1.51669180393219	0.44307184	Yes	
row_50	COX7A2	1428	1.5146126747131348	0.44974706	Yes	
row_51	ISCA1	1439	1.5044769048690796	0.4556022	Yes	
