NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD2	469	2.9084057807922363	0.016476074	No	
row_1	TXNRD2	1059	1.8890223503112793	1.8306368E-5	No	
row_2	PRDX6	1089	1.8451075553894043	0.036116503	No	
row_3	NDUFB4	1277	1.6526912450790405	0.053072095	No	
row_4	PRDX2	1598	1.3745362758636475	0.05146652	No	
row_5	ABCC1	1949	1.115222692489624	0.04153337	No	
row_6	PRNP	2448	0.833339273929596	0.011527988	No	
row_7	SOD1	2580	0.7644487023353577	0.015120588	No	
row_8	ERCC2	2596	0.7591966390609741	0.029680766	No	
row_9	TXNRD1	2720	0.7080784440040588	0.032849923	No	
row_10	PRDX1	3002	0.5942285060882568	0.018531503	No	
row_11	SCAF4	3062	0.5752894878387451	0.02501554	No	
row_12	NDUFA6	3102	0.5593410730361938	0.033073656	No	
row_13	HMOX2	3606	0.3972424566745758	-0.0065957466	No	
row_14	PRDX4	4195	0.24266017973423004	-0.057639133	No	
row_15	GLRX2	4288	0.22031226754188538	-0.061784357	No	
row_16	LAMTOR5	5100	0.0514644980430603	-0.13815226	No	
row_17	PFKP	5184	0.037796132266521454	-0.14528272	No	
row_18	GSR	5522	-0.018749095499515533	-0.1770719	No	
row_19	NDUFS2	5978	-0.09296979755163193	-0.2185668	No	
row_20	CAT	6311	-0.15716595947742462	-0.24696267	No	
row_21	MBP	6895	-0.29976174235343933	-0.29632568	No	
row_22	GPX4	7423	-0.46003296971321106	-0.33696443	No	
row_23	ATOX1	7694	-0.5691127777099609	-0.3507614	No	
row_24	GCLM	7708	-0.5737435221672058	-0.33991686	No	
row_25	GCLC	7781	-0.6056498885154724	-0.33403477	No	
row_26	IPCEF1	8242	-0.812896192073822	-0.36084172	Yes	
row_27	NQO1	8250	-0.8179439902305603	-0.34428	Yes	
row_28	JUNB	8340	-0.8619195222854614	-0.33462307	Yes	
row_29	STK25	8830	-1.1795142889022827	-0.35647666	Yes	
row_30	GLRX	8928	-1.2564330101013184	-0.3392732	Yes	
row_31	OXSR1	9103	-1.4081965684890747	-0.32622644	Yes	
row_32	MSRA	9143	-1.4471125602722168	-0.29946715	Yes	
row_33	EGLN2	9710	-2.2363626956939697	-0.30641153	Yes	
row_34	PDLIM1	9861	-2.5376486778259277	-0.2672805	Yes	
row_35	LSP1	10368	-4.812562942504883	-0.21422634	Yes	
row_36	SBNO2	10387	-5.015576362609863	-0.110290736	Yes	
row_37	CDKN2D	10446	-5.779692649841309	0.0059211296	Yes	
