NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FKBP1A	807	2.247637987136841	-0.005383154	No	
row_1	PMEPA1	1225	1.7033066749572754	0.009118351	No	
row_2	UBE2D3	1397	1.5447965860366821	0.042057745	No	
row_3	CTNNB1	1985	1.0906826257705688	0.020784715	No	
row_4	ID2	2030	1.0556106567382812	0.050250605	No	
row_5	FNTA	2076	1.0229977369308472	0.07858083	No	
row_6	TGFB1	2265	0.914728045463562	0.08980109	No	
row_7	SKIL	2582	0.7641938328742981	0.08399593	No	
row_8	SMURF1	2781	0.6805956959724426	0.08679369	No	
row_9	BMPR2	2866	0.6429656744003296	0.09927847	No	
row_10	ID3	3066	0.5741572976112366	0.09858595	No	
row_11	XIAP	3358	0.47212108969688416	0.085852884	No	
row_12	SMURF2	3613	0.3942797780036926	0.074170694	No	
row_13	CDK9	4121	0.2590482532978058	0.03401341	No	
row_14	MAP3K7	4369	0.20298291742801666	0.01689845	No	
row_15	TRIM33	4543	0.1559845507144928	0.005351647	No	
row_16	HDAC1	4829	0.1006556898355484	-0.01865604	No	
row_17	SMAD1	5853	-0.07189592719078064	-0.11406138	No	
row_18	IFNGR2	5984	-0.09447209537029266	-0.1234635	No	
row_19	SLC20A1	5993	-0.09565047919750214	-0.1211768	No	
row_20	PPM1A	6071	-0.1101236343383789	-0.12501813	No	
row_21	RAB31	6605	-0.22520974278450012	-0.16873771	No	
row_22	TGIF1	6830	-0.28233110904693604	-0.18112537	No	
row_23	HIPK2	7152	-0.37272465229034424	-0.19989368	Yes	
row_24	APC	7227	-0.39123809337615967	-0.19448255	Yes	
row_25	ARID4B	7337	-0.43073880672454834	-0.19115414	Yes	
row_26	NCOR2	7535	-0.5066149234771729	-0.19380988	Yes	
row_27	PPP1CA	7745	-0.5903467535972595	-0.19494106	Yes	
row_28	SMAD7	7747	-0.5907418131828308	-0.17619526	Yes	
row_29	RHOA	8056	-0.7166740894317627	-0.18275201	Yes	
row_30	JUNB	8340	-0.8619195222854614	-0.18228872	Yes	
row_31	PPP1R15A	8633	-1.048406720161438	-0.17673706	Yes	
row_32	TGFBR1	8655	-1.0623750686645508	-0.14485888	Yes	
row_33	KLF10	8704	-1.0908011198043823	-0.114652626	Yes	
row_34	SKI	9042	-1.3445309400558472	-0.103953876	Yes	
row_35	FURIN	9229	-1.5522592067718506	-0.07220899	Yes	
row_36	SPTBN1	9971	-2.8436357975006104	-0.05228008	Yes	
row_37	SMAD3	10096	-3.2441225051879883	0.039346725	Yes	
