NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.04925362	Yes	
row_1	NHP2	20	6.136864185333252	0.09114016	Yes	
row_2	NOP56	78	4.855929374694824	0.11949332	Yes	
row_3	HSPA9	100	4.595105171203613	0.14948706	Yes	
row_4	DKC1	112	4.5052490234375	0.17981528	Yes	
row_5	RRP9	130	4.393106460571289	0.20878603	Yes	
row_6	NOLC1	141	4.301348686218262	0.23778985	Yes	
row_7	SLC7A5	147	4.288360118865967	0.26718342	Yes	
row_8	EIF4A1	149	4.282050132751465	0.2969172	Yes	
row_9	EIF4E	284	3.4708878993988037	0.30822653	Yes	
row_10	EIF2S1	356	3.221670627593994	0.32385042	Yes	
row_11	EXOSC2	368	3.179539918899536	0.3449434	Yes	
row_12	XPOT	389	3.1106975078582764	0.36469245	Yes	
row_13	GEMIN4	504	2.829960823059082	0.37345776	Yes	
row_14	EXOSC1	805	2.249833583831787	0.36031777	Yes	
row_15	HERPUD1	817	2.2387709617614746	0.37485713	Yes	
row_16	EXOSC4	871	2.1690661907196045	0.3848771	Yes	
row_17	SRPRB	873	2.1657469272613525	0.3998682	Yes	
row_18	ALDH18A1	932	2.0833988189697266	0.40881115	Yes	
row_19	CNOT4	984	2.006254196166992	0.41788903	Yes	
row_20	EIF4A3	1104	1.826635479927063	0.4191847	Yes	
row_21	HSPA5	1134	1.7982889413833618	0.4289268	Yes	
row_22	HSP90B1	1207	1.7213530540466309	0.43400308	Yes	
row_23	PSAT1	1231	1.699216365814209	0.44363123	Yes	
row_24	NFYA	1269	1.6580898761749268	0.45162833	Yes	
row_25	EIF4G1	1271	1.6568982601165771	0.46307465	Yes	
row_26	DDX10	1275	1.6539580821990967	0.4743084	Yes	
row_27	YIF1A	1303	1.621569037437439	0.48301148	Yes	
row_28	SDAD1	1360	1.57466459274292	0.48860258	Yes	
row_29	CALR	1422	1.518169641494751	0.4933199	Yes	
row_30	EIF4A2	1503	1.453824758529663	0.49576417	Yes	
row_31	DCP2	1572	1.3967416286468506	0.4989633	Yes	
row_32	NOP14	1588	1.3805376291275024	0.5071398	Yes	
row_33	EXOSC5	1716	1.2895888090133667	0.503926	Yes	
row_34	EXOSC9	1753	1.2632741928100586	0.5092687	Yes	
row_35	BANF1	1829	1.201941967010498	0.5104385	Yes	
row_36	HYOU1	1833	1.1988779306411743	0.51850206	Yes	
row_37	IMP3	1887	1.1601253747940063	0.5214935	Yes	
row_38	SEC31A	1937	1.123115062713623	0.5246113	Yes	
row_39	PDIA6	1940	1.1209138631820679	0.53222775	Yes	
row_40	NFYB	1967	1.103297472000122	0.53741646	Yes	
row_41	POP4	2014	1.0696347951889038	0.54044986	Yes	
row_42	ATF4	2079	1.020234227180481	0.5414103	Yes	
row_43	SSR1	2132	0.9922071695327759	0.54332805	Yes	
row_44	RPS14	2142	0.9877768158912659	0.5493447	Yes	
row_45	EXOSC10	2297	0.8960273265838623	0.54079604	No	
row_46	XBP1	2335	0.8786004781723022	0.54336303	No	
row_47	SPCS3	2357	0.8690052628517151	0.5473998	No	
row_48	PREB	2442	0.8354122638702393	0.5451519	No	
row_49	MTHFD2	2555	0.773978054523468	0.5397868	No	
row_50	TTC37	2654	0.737690806388855	0.5355135	No	
row_51	ASNS	2712	0.7100778222084045	0.53498566	No	
row_52	CEBPG	2903	0.6256168484687805	0.5210957	No	
row_53	KHSRP	2937	0.6169052720069885	0.5222238	No	
row_54	SLC1A4	3050	0.5780242681503296	0.51549363	No	
row_55	PARN	3209	0.5214523673057556	0.5039514	No	
row_56	SERP1	3494	0.4311450719833374	0.47967863	No	
row_57	BAG3	3707	0.3685348629951477	0.46188483	No	
row_58	CNOT6	3765	0.3533851206302643	0.45887214	No	
row_59	WFS1	3769	0.352314293384552	0.46103832	No	
row_60	TATDN2	4033	0.28053081035614014	0.43773323	No	
row_61	CKS1B	4077	0.2695036232471466	0.43548083	No	
row_62	SLC30A5	4268	0.22256824374198914	0.4187831	No	
row_63	YWHAZ	4583	0.1472005546092987	0.38965103	No	
row_64	EEF2	4596	0.14475612342357635	0.38950694	No	
row_65	TSPYL2	4610	0.14291603863239288	0.38925394	No	
row_66	PAIP1	4629	0.13980869948863983	0.3884991	No	
row_67	CNOT2	4656	0.13359862565994263	0.3869327	No	
row_68	EDC4	4713	0.12189384549856186	0.38240343	No	
row_69	ATF3	4719	0.12041027843952179	0.382762	No	
row_70	SEC11A	5146	0.04383791238069534	0.34215307	No	
row_71	DNAJC3	5720	-0.05010778084397316	0.28746948	No	
row_72	LSM4	5769	-0.059729937463998795	0.2832755	No	
row_73	DCP1A	5795	-0.06337888538837433	0.28131595	No	
row_74	GOSR2	6027	-0.10174953192472458	0.25983882	No	
row_75	NABP1	6176	-0.1288321316242218	0.24652193	No	
row_76	CXXC1	6177	-0.1288379728794098	0.24741945	No	
row_77	EIF4EBP1	6211	-0.13647885620594025	0.24520077	No	
row_78	EIF2AK3	6815	-0.27901333570480347	0.1892305	No	
row_79	KIF5B	6842	-0.2849843502044678	0.18871866	No	
row_80	DNAJB9	6877	-0.2951417565345764	0.18750922	No	
row_81	ARFGAP1	7153	-0.3732907176017761	0.16369782	No	
row_82	FUS	7470	-0.4785936772823334	0.13668224	No	
row_83	SPCS1	8067	-0.7224401235580444	0.08447329	No	
row_84	DCTN1	8168	-0.7698904871940613	0.08023224	No	
row_85	LSM1	8280	-0.8315155506134033	0.07536401	No	
row_86	SHC1	8649	-1.0575604438781738	0.047387403	No	
row_87	ATP6V0D1	8652	-1.0611400604248047	0.054587483	No	
row_88	EDEM1	8745	-1.1142202615737915	0.05351346	No	
row_89	EXOC2	8979	-1.302107810974121	0.040206242	No	
row_90	ZBTB17	9088	-1.3941439390182495	0.039545547	No	
row_91	DNAJA4	9176	-1.4933487176895142	0.041592844	No	
row_92	ERN1	9177	-1.4952419996261597	0.052009072	No	
row_93	TUBB2A	9531	-1.9181488752365112	0.031468187	No	
row_94	ATF6	9937	-2.740433931350708	0.011661309	No	
row_95	IFIT1	10040	-3.031649589538574	0.022984147	No	
row_96	DDIT4	10068	-3.1391184329986572	0.042258866	No	
