NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	4	7.80339241027832	0.06571119	No	
row_1	PRKCA	46	5.457050800323486	0.10799966	No	
row_2	SLC7A1	120	4.465780258178711	0.13882251	No	
row_3	NRP1	215	3.874541759490967	0.16262317	No	
row_4	NOTCH2	235	3.7350733280181885	0.19243677	No	
row_5	ATXN1	500	2.8368144035339355	0.1911409	No	
row_6	ZMIZ1	657	2.4961435794830322	0.19731925	No	
row_7	BHLHE40	751	2.3283045291900635	0.20811917	No	
row_8	NFKB1	798	2.2595603466033936	0.22284523	No	
row_9	MYC	1183	1.7480862140655518	0.20081702	No	
row_10	MRPS31	1244	1.6825647354125977	0.20931298	No	
row_11	BCKDHB	1283	1.6488604545593262	0.21963377	No	
row_12	ABCC1	1949	1.115222692489624	0.16529076	No	
row_13	PDLIM5	2105	1.0053950548171997	0.15893836	No	
row_14	MTA1	2172	0.9718311429023743	0.16083886	No	
row_15	MIOS	2202	0.9588814377784729	0.16617884	No	
row_16	ATRX	2309	0.889956533908844	0.16354892	No	
row_17	ANXA4	2681	0.7259070873260498	0.13410982	No	
row_18	PEX14	2792	0.676231861114502	0.12928598	No	
row_19	SPOP	2863	0.6440607905387878	0.12802655	No	
row_20	DBP	3382	0.46637144684791565	0.082288474	No	
row_21	TFPI	3902	0.3170405924320221	0.03518964	No	
row_22	PRKAR2B	4563	0.15081685781478882	-0.026842292	No	
row_23	ATP2C1	4607	0.14315548539161682	-0.029754464	No	
row_24	ATP2B4	4924	0.08522390574216843	-0.059344366	No	
row_25	CDK13	4985	0.07279893755912781	-0.06448315	No	
row_26	GRK5	5048	0.06110033020377159	-0.06991287	No	
row_27	VAV2	5165	0.04065888375043869	-0.08069559	No	
row_28	RASA2	5258	0.026193803176283836	-0.08929867	No	
row_29	WDR37	5448	-0.007337973918765783	-0.10736602	No	
row_30	YTHDC1	5542	-0.02194879949092865	-0.116100974	No	
row_31	CELF2	5551	-0.02308986894786358	-0.116672784	No	
row_32	NEK7	5658	-0.03992215543985367	-0.12650251	No	
row_33	ITGB3	5874	-0.07494158297777176	-0.14649126	No	
row_34	APBB2	5912	-0.08201230317354202	-0.14934577	No	
row_35	AGGF1	6116	-0.11765079945325851	-0.16782169	No	
row_36	DLG1	6179	-0.12894177436828613	-0.17267679	No	
row_37	MAPK14	6208	-0.1355065107345581	-0.1742149	No	
row_38	MGMT	6218	-0.1380063146352768	-0.17390929	No	
row_39	NR3C1	6295	-0.1535528004169464	-0.17989887	No	
row_40	CDON	6343	-0.16348835825920105	-0.18302251	No	
row_41	NIPBL	6442	-0.18672648072242737	-0.1908414	No	
row_42	SFMBT1	6785	-0.26956239342689514	-0.22136398	No	
row_43	AKT3	7025	-0.33596229553222656	-0.24144402	No	
row_44	DYRK1A	7051	-0.3417159616947174	-0.24094777	No	
row_45	MAP2K5	7100	-0.35810449719429016	-0.24251893	No	
row_46	ARHGEF9	7128	-0.36576181650161743	-0.24201085	No	
row_47	PTPN21	7182	-0.38044846057891846	-0.24387237	No	
row_48	PRKCE	7313	-0.4216625988483429	-0.2527709	No	
row_49	SRI	7379	-0.4446355402469635	-0.25523984	No	
row_50	PIK3R3	7390	-0.44772499799728394	-0.25240684	No	
row_51	SCAF8	7447	-0.46690189838409424	-0.25382388	No	
row_52	FHL2	7613	-0.5316361784934998	-0.26514825	No	
row_53	ATRN	7712	-0.5743294954299927	-0.26968414	No	
row_54	SMAD7	7747	-0.5907418131828308	-0.26794195	No	
row_55	INSIG1	7921	-0.6612152457237244	-0.27893615	No	
row_56	PRDM2	8066	-0.7208733558654785	-0.2866433	No	
row_57	DUSP1	8135	-0.7552176713943481	-0.28676936	No	
row_58	PHF3	8184	-0.7769705653190613	-0.28479272	No	
row_59	INPP4B	8194	-0.7856826782226562	-0.2790013	No	
row_60	LDLR	8215	-0.7963892221450806	-0.27417433	No	
row_61	ACVR2A	8248	-0.8163962960243225	-0.27032897	No	
row_62	GCNT1	8710	-1.0951194763183594	-0.30527392	No	
row_63	SIPA1L1	9047	-1.351192831993103	-0.32605952	No	
row_64	NR1D2	9236	-1.5597542524337769	-0.33088192	Yes	
row_65	CACNA1A	9238	-1.5598914623260498	-0.31776553	Yes	
row_66	CDKN1B	9292	-1.6107325553894043	-0.30920655	Yes	
row_67	FYN	9380	-1.7078537940979004	-0.3030863	Yes	
row_68	PIAS3	9466	-1.823637843132019	-0.29579353	Yes	
row_69	PTEN	9580	-2.0087554454803467	-0.28961867	Yes	
row_70	ATP2B1	9606	-2.0539207458496094	-0.27462	Yes	
row_71	ANXA2	9637	-2.100144386291504	-0.25970945	Yes	
row_72	IGF1R	9651	-2.1253538131713867	-0.24295466	Yes	
row_73	CITED2	9716	-2.2546629905700684	-0.22999671	Yes	
row_74	PIK3CD	9734	-2.288602590560913	-0.21224289	Yes	
row_75	TGFBR3	9750	-2.3320326805114746	-0.19392937	Yes	
row_76	SMAD3	10096	-3.2441225051879883	-0.19954513	Yes	
row_77	PLCB4	10120	-3.355653762817383	-0.1733289	Yes	
row_78	SYNJ2	10132	-3.3824567794799805	-0.1457346	Yes	
row_79	RUNX1	10175	-3.5434370040893555	-0.11975038	Yes	
row_80	KIT	10186	-3.625485420227051	-0.09000169	Yes	
row_81	TGFBR2	10227	-3.8226187229156494	-0.06146096	Yes	
row_82	SYNE1	10354	-4.703028202056885	-0.03371255	Yes	
row_83	ADD3	10441	-5.712936878204346	0.0064267362	Yes	
