NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND2	217	3.8307712078094482	0.08067768	No	
row_1	RBPJ	691	2.440864086151123	0.1001492	No	
row_2	KAT2A	928	2.095154285430908	0.13308182	No	
row_3	MYC	1183	1.7480862140655518	0.15511222	No	
row_4	CTNNB1	1985	1.0906826257705688	0.10755999	No	
row_5	SKP2	2168	0.973903238773346	0.11597084	No	
row_6	HDAC2	2473	0.8165193200111389	0.10857761	No	
row_7	CUL1	2586	0.7627866268157959	0.11807947	No	
row_8	PTCH1	2754	0.689906895160675	0.1204055	No	
row_9	AXIN1	2990	0.6001957058906555	0.113870054	No	
row_10	PSEN2	3456	0.4439411461353302	0.081257015	No	
row_11	HEY1	4568	0.1496797353029251	-0.020772994	No	
row_12	PPARD	4947	0.07969795167446136	-0.05472564	No	
row_13	HDAC11	5446	-0.0070250509306788445	-0.102049746	No	
row_14	HDAC5	6388	-0.17441299557685852	-0.18720692	No	
row_15	ADAM17	6948	-0.3143448531627655	-0.23221743	No	
row_16	NCOR2	7535	-0.5066149234771729	-0.27471542	No	
row_17	DVL2	7810	-0.6138753890991211	-0.28460953	No	
row_18	NCSTN	7956	-0.6766062378883362	-0.28053662	No	
row_19	NUMB	8141	-0.7588955163955688	-0.27800667	No	
row_20	CSNK1E	8821	-1.1668740510940552	-0.31190354	No	
row_21	MAML1	9324	-1.643435001373291	-0.3163023	Yes	
row_22	NOTCH1	9915	-2.658745765686035	-0.30222663	Yes	
row_23	FRAT1	9962	-2.8020670413970947	-0.2324595	Yes	
row_24	AXIN2	10069	-3.161546230316162	-0.15890302	Yes	
row_25	TCF7	10154	-3.4658560752868652	-0.075194255	Yes	
row_26	LEF1	10266	-4.113829612731934	0.023087027	Yes	
