NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	191	0.75724995	2.9474518	0.0	0.0	0.0	1432	tags=64%, list=14%, signal=73%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.8648774	2.831297	0.0	0.0	0.0	572	tags=70%, list=5%, signal=74%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	186	0.5046336	1.9782255	0.0	0.0	0.0	2252	tags=32%, list=21%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	174	0.51534903	1.9757527	0.0	0.0	0.0	2778	tags=54%, list=26%, signal=72%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	0.5493447	1.9652678	0.0	1.2727272E-4	0.001	2142	tags=46%, list=20%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	175	0.46262378	1.7691871	0.0	0.0010823057	0.011	2350	tags=41%, list=22%, signal=52%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	161	0.4423196	1.6814263	0.0	0.003085676	0.037	1236	tags=30%, list=12%, signal=33%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	175	0.4084673	1.578824	0.0	0.008060728	0.101	1713	tags=23%, list=16%, signal=28%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	134	0.40406084	1.4873892	0.006085193	0.017832639	0.228	2830	tags=41%, list=27%, signal=55%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	110	0.38719717	1.4061117	0.012096774	0.034610998	0.429	2446	tags=37%, list=23%, signal=48%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	106	0.37862724	1.3822074	0.014373717	0.040670313	0.521	1570	tags=25%, list=15%, signal=30%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	155	0.3020999	1.1460534	0.15221988	0.22089261	0.993	1889	tags=25%, list=18%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	127	0.29872516	1.1135192	0.23027718	0.25327343	0.998	2436	tags=33%, list=23%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	19	0.40346056	1.039644	0.39848197	0.3623681	1.0	928	tags=21%, list=9%, signal=23%	
