NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	88	4.757086753845215	0.05398327	No	
row_1	TMEM38B	1496	1.457044005393982	-0.061342224	No	
row_2	BCOR	1531	1.4264729022979736	-0.04588197	No	
row_3	BMP7	1681	1.312984824180603	-0.042898126	No	
row_4	ATF4	2079	1.020234227180481	-0.06744962	No	
row_5	TGFB1	2265	0.914728045463562	-0.07312882	No	
row_6	ERCC2	2596	0.7591966390609741	-0.094702266	No	
row_7	BMPR2	2866	0.6429656744003296	-0.11197174	No	
row_8	GATA1	3239	0.513775110244751	-0.140777	No	
row_9	MINPP1	3856	0.3282855749130249	-0.19532864	No	
row_10	TUFT1	4075	0.26969242095947266	-0.21262084	No	
row_11	TXLNG	4464	0.17679943144321442	-0.24737446	No	
row_12	ZMPSTE24	5672	-0.041945602744817734	-0.36215013	No	
row_13	LTF	5762	-0.058698948472738266	-0.369884	No	
row_14	ENPP1	5805	-0.06499175727367401	-0.3730446	No	
row_15	SBDS	6110	-0.11620427668094635	-0.40056697	No	
row_16	ZBTB40	6302	-0.15395578742027283	-0.41679734	No	
row_17	ATRAID	6665	-0.24059119820594788	-0.44823006	No	
row_18	EIF2AK3	6815	-0.27901333570480347	-0.45880723	No	
row_19	SNX10	6833	-0.28285181522369385	-0.4567218	No	
row_20	TMEM119	7210	-0.3878052532672882	-0.4875614	No	
row_21	FBXL15	7768	-0.599507749080658	-0.5329185	No	
row_22	GPM6B	7944	-0.6720864176750183	-0.5408246	No	
row_23	IFT80	8199	-0.7877734899520874	-0.55476165	No	
row_24	ACVR2A	8248	-0.8163962960243225	-0.5486405	No	
row_25	KLF10	8704	-1.0908011198043823	-0.57780826	No	
row_26	BMP2K	9135	-1.438145637512207	-0.60003173	Yes	
row_27	TRPM4	9166	-1.475752353668213	-0.58354294	Yes	
row_28	ISG15	9481	-1.8457163572311401	-0.5893374	Yes	
row_29	NBR1	9514	-1.8975062370300293	-0.5675082	Yes	
row_30	ATP2B1	9606	-2.0539207458496094	-0.5492649	Yes	
row_31	ADRB2	9657	-2.133375883102417	-0.526062	Yes	
row_32	PTK2B	9731	-2.281625986099243	-0.5031124	Yes	
row_33	SRGN	9931	-2.717839479446411	-0.4864806	Yes	
row_34	ECM1	9997	-2.901963710784912	-0.45463055	Yes	
row_35	ANO6	10037	-3.0113272666931152	-0.41886193	Yes	
row_36	AXIN2	10069	-3.161546230316162	-0.38035873	Yes	
row_37	SMAD3	10096	-3.2441225051879883	-0.34029475	Yes	
row_38	HIF1A	10367	-4.785515785217285	-0.30332825	Yes	
row_39	SBNO2	10387	-5.015576362609863	-0.23936199	Yes	
row_40	P2RX7	10411	-5.2517828941345215	-0.17267996	Yes	
row_41	TGFB3	10461	-6.164294242858887	-0.096514136	Yes	
row_42	S1PR1	10497	-7.693912506103516	0.0010510159	Yes	
