NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOC2A	1433	1.5088932514190674	-0.098654516	No	
row_1	ATP2A2	1847	1.1852773427963257	-0.108161315	No	
row_2	ARL8B	2018	1.0621474981307983	-0.097591005	No	
row_3	PPP3CB	3782	0.3463842570781708	-0.2570479	No	
row_4	VAMP3	4654	0.13432127237319946	-0.33675498	No	
row_5	RAP1B	4788	0.10722283273935318	-0.3467391	No	
row_6	RAPGEF4	6424	-0.18399743735790253	-0.49808016	No	
row_7	ARHGAP17	6595	-0.2241968810558319	-0.5086439	No	
row_8	RAB3GAP1	6696	-0.2486579418182373	-0.51191264	No	
row_9	STXBP3	6755	-0.26203009486198425	-0.51083726	No	
row_10	SDF4	7015	-0.33366379141807556	-0.5271309	No	
row_11	REST	7327	-0.42683711647987366	-0.54603547	No	
row_12	UNC13A	7732	-0.5825380086898804	-0.56988543	No	
row_13	RPH3AL	8274	-0.829251229763031	-0.6005831	No	
row_14	TRPV6	8837	-1.1870241165161133	-0.62426066	Yes	
row_15	GNAI2	8838	-1.1877391338348389	-0.5943045	Yes	
row_16	KCNB1	8931	-1.2575767040252686	-0.5713639	Yes	
row_17	VAMP2	9010	-1.325218915939331	-0.54538167	Yes	
row_18	MYH9	9058	-1.360723614692688	-0.5155465	Yes	
row_19	STXBP1	9268	-1.5854383707046509	-0.49549887	Yes	
row_20	CDK5	9458	-1.8109147548675537	-0.46785638	Yes	
row_21	RAB3A	9736	-2.2969284057617188	-0.43635145	Yes	
row_22	STX1A	9804	-2.4380271434783936	-0.38125348	Yes	
row_23	BAIAP3	9872	-2.561854839324951	-0.32303244	Yes	
row_24	NOTCH1	9915	-2.658745765686035	-0.25998265	Yes	
row_25	SYT13	10050	-3.0719099044799805	-0.19528931	Yes	
row_26	SYT11	10508	-9.471718788146973	-1.0288204E-7	Yes	
