NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S2	60	5.300622940063477	0.017555803	Yes	
row_1	RPL7A	71	4.968560695648193	0.038467076	Yes	
row_2	RPL5	82	4.819319725036621	0.058721296	Yes	
row_3	DENR	104	4.5703301429748535	0.07681947	Yes	
row_4	CNBP	134	4.34966516494751	0.09317536	Yes	
row_5	EIF4A1	149	4.282050132751465	0.110678785	Yes	
row_6	DRG2	242	3.6897401809692383	0.11805931	Yes	
row_7	EIF5	248	3.664923667907715	0.13371289	Yes	
row_8	SYNCRIP	264	3.5561676025390625	0.14792417	Yes	
row_9	EIF3A	293	3.449751377105713	0.16041441	Yes	
row_10	EIF3I	348	3.246763229370117	0.16950591	Yes	
row_11	RPS5	399	3.0786116123199463	0.17824249	Yes	
row_12	RPL6	410	3.04449462890625	0.1906828	Yes	
row_13	DRG1	420	3.0147101879119873	0.20308833	Yes	
row_14	RPL14	422	3.014019250869751	0.21626161	Yes	
row_15	EIF3M	431	2.977630615234375	0.22860025	Yes	
row_16	RPL29	450	2.9373745918273926	0.23979816	Yes	
row_17	ETF1	489	2.8532042503356934	0.24869853	Yes	
row_18	RPS6	510	2.8166792392730713	0.25917238	Yes	
row_19	RPS27A	513	2.815023422241211	0.2713732	Yes	
row_20	DPH1	517	2.8085083961486816	0.283449	Yes	
row_21	DPH3	523	2.8006491661071777	0.29529747	Yes	
row_22	RPS4X	548	2.7600643634796143	0.30513668	Yes	
row_23	EIF2B3	551	2.750967025756836	0.3170555	Yes	
row_24	RPL15	557	2.7212674617767334	0.32855448	Yes	
row_25	RPS2	561	2.711987018585205	0.34020534	Yes	
row_26	RPL10	569	2.6917612552642822	0.35138175	Yes	
row_27	EIF3D	583	2.6590957641601562	0.36183622	Yes	
row_28	RPL3	590	2.6358344554901123	0.37286276	Yes	
row_29	EIF4B	594	2.6312215328216553	0.38415802	Yes	
row_30	RPS8	634	2.532282590866089	0.39154914	Yes	
row_31	RPLP0	635	2.5317580699920654	0.40269557	Yes	
row_32	DPH5	638	2.5302743911743164	0.41364273	Yes	
row_33	RWDD1	659	2.4952878952026367	0.4227016	Yes	
row_34	RPL8	701	2.4216012954711914	0.42941275	Yes	
row_35	RPL7	704	2.4203128814697266	0.4398758	Yes	
row_36	DHX29	744	2.336890459060669	0.4464067	Yes	
row_37	YTHDF2	784	2.276158094406128	0.4526702	Yes	
row_38	RPL35A	800	2.258913993835449	0.46117014	Yes	
row_39	RPS12	826	2.224153757095337	0.46855357	Yes	
row_40	RPL23	858	2.1888885498046875	0.47520363	Yes	
row_41	RPL27	882	2.152318239212036	0.4824635	Yes	
row_42	YBX3	911	2.1144206523895264	0.48907477	Yes	
row_43	RPL27A	918	2.1094157695770264	0.49778366	Yes	
row_44	RPL22L1	922	2.102370262145996	0.5067506	Yes	
row_45	RPL11	939	2.074333667755127	0.51434153	Yes	
row_46	RPS9	975	2.021801710128784	0.5198706	Yes	
row_47	ZC3H15	1012	1.969024419784546	0.52507097	Yes	
row_48	HNRNPD	1049	1.9044471979141235	0.529987	Yes	
row_49	RPL12	1095	1.838354468345642	0.53374493	Yes	
row_50	RPS7	1153	1.7798781394958496	0.53608924	Yes	
row_51	RPL10A	1160	1.7696541547775269	0.5433023	Yes	
row_52	RPL13	1162	1.7688004970550537	0.5509933	Yes	
row_53	RPL21	1186	1.7452713251113892	0.5564611	Yes	
row_54	RPS13	1205	1.7223217487335205	0.56230956	Yes	
row_55	RPL4	1216	1.713250756263733	0.5688889	Yes	
row_56	RPL18	1245	1.681915044784546	0.573596	Yes	
row_57	GSPT1	1246	1.6815073490142822	0.5809991	Yes	
row_58	RPS11	1270	1.6573717594146729	0.58607984	Yes	
row_59	EIF4G1	1271	1.6568982601165771	0.59337455	Yes	
row_60	RPS26	1339	1.5911322832107544	0.5939244	Yes	
row_61	RPS10	1344	1.589475393295288	0.6005369	Yes	
row_62	RPL17	1358	1.576369285583496	0.60622454	Yes	
row_63	DPH6	1367	1.565798044204712	0.61234736	Yes	
row_64	RPL36A	1368	1.5657529830932617	0.6192408	Yes	
row_65	RPS23	1412	1.5284323692321777	0.62182695	Yes	
row_66	PABPC1	1432	1.5094395875930786	0.62664187	Yes	
row_67	DNAJC24	1434	1.5083930492401123	0.6331864	Yes	
row_68	RPL9	1458	1.4907288551330566	0.63753355	Yes	
row_69	DPH2	1470	1.4809588193893433	0.6429938	Yes	
row_70	RPS16	1477	1.4720252752304077	0.6488965	Yes	
row_71	RPL28	1501	1.4542310237884521	0.65308297	Yes	
row_72	EIF4A2	1503	1.453824758529663	0.6593873	Yes	
row_73	RPS15	1541	1.4204641580581665	0.6620762	Yes	
row_74	RPS25	1558	1.4029964208602905	0.66671145	Yes	
row_75	RPLP1	1611	1.3671284914016724	0.6677203	Yes	
row_76	RPL19	1645	1.3387044668197632	0.67043465	Yes	
row_77	RPL35	1677	1.3149930238723755	0.67323726	Yes	
row_78	RPL38	1684	1.3114804029464722	0.6784332	Yes	
row_79	RPS17	1703	1.2992138862609863	0.6824189	Yes	
row_80	RPL31	1785	1.2412376403808594	0.68007934	Yes	
row_81	RPS19	1859	1.1772502660751343	0.6782289	Yes	
row_82	RPL23A	1911	1.142180323600769	0.6783438	Yes	
row_83	EIF4H	1918	1.1369547843933105	0.68277127	Yes	
row_84	RPS3	1964	1.1039999723434448	0.6832961	Yes	
row_85	RPS24	2008	1.0733542442321777	0.6838787	Yes	
row_86	RPL24	2021	1.0603479146957397	0.68739086	Yes	
row_87	RPS20	2022	1.0602314472198486	0.6920587	Yes	
row_88	NEMF	2133	0.9901725649833679	0.6858197	Yes	
row_89	RPS14	2142	0.9877768158912659	0.68939775	Yes	
row_90	RPL37	2153	0.9832464456558228	0.69276315	Yes	
row_91	RPL22	2207	0.9514981508255005	0.6918458	Yes	
row_92	DHX36	2220	0.9454067945480347	0.6948519	Yes	
row_93	RPLP2	2380	0.860323965549469	0.68332016	No	
row_94	RPL39	2435	0.8374152183532715	0.6818042	No	
row_95	RPL13A	2472	0.8171855211257935	0.6819334	No	
row_96	FTSJ1	2527	0.7876542210578918	0.6801984	No	
row_97	RPS18	2559	0.7717136144638062	0.6806091	No	
row_98	HNRNPU	2637	0.7454180717468262	0.67647207	No	
row_99	RPSA	2693	0.7191480994224548	0.67433906	No	
row_100	DHX9	2745	0.694375216960907	0.6724824	No	
row_101	RPS28	2753	0.6904450058937073	0.6748477	No	
row_102	RPL32	2821	0.6606336236000061	0.6713009	No	
row_103	UBA52	2849	0.649747908115387	0.6715601	No	
row_104	RPS21	2853	0.6483086347579956	0.6741253	No	
row_105	RPL36	2865	0.6430280208587646	0.6758965	No	
row_106	RPL41	2888	0.630519449710846	0.6765528	No	
row_107	RPS15A	3029	0.5872795581817627	0.6656496	No	
row_108	RPL18A	3196	0.5269479751586914	0.65197575	No	
row_109	EIF2D	3294	0.4933800995349884	0.6448021	No	
row_110	RPS27	3409	0.458025187253952	0.63583493	No	
row_111	RPL34	3491	0.43178337812423706	0.6299317	No	
row_112	SLBP	3569	0.4074488580226898	0.6243067	No	
row_113	CSDE1	3841	0.3326217234134674	0.5996607	No	
row_114	RPS29	3927	0.31025052070617676	0.592837	No	
row_115	MCTS1	4168	0.2485852837562561	0.5708078	No	
row_116	METTL3	4170	0.2477288842201233	0.57180214	No	
row_117	DPH7	4368	0.2029889076948166	0.55371517	No	
row_118	PAIP1	4629	0.13980869948863983	0.5292801	No	
row_119	YBX1	4808	0.10439805686473846	0.51258975	No	
row_120	MTOR	4841	0.09850779920816422	0.50994027	No	
row_121	RPL37A	5186	0.037682950496673584	0.47696233	No	
row_122	FMR1	5497	-0.014834550209343433	0.44715965	No	
row_123	PKM	5722	-0.05028301849961281	0.42579898	No	
row_124	CPEB4	6005	-0.09792041033506393	0.39905983	No	
row_125	UNK	6474	-0.1947629451751709	0.35482624	No	
row_126	NCK1	6565	-0.21319305896759033	0.3470935	No	
row_127	MIF4GD	8435	-0.9349538683891296	0.1711346	No	
row_128	CPEB2	8929	-1.2569295167922974	0.12916864	No	
row_129	CPEB1	10400	-5.194387912750244	0.0104054995	No	
