NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S2	60	5.300622940063477	0.10504218	Yes	
row_1	DENR	104	4.5703301429748535	0.19644506	Yes	
row_2	EIF4A1	149	4.282050132751465	0.28172854	Yes	
row_3	EIF5	248	3.664923667907715	0.34896657	Yes	
row_4	EIF3A	293	3.449751377105713	0.416858	Yes	
row_5	EIF3I	348	3.246763229370117	0.47955403	Yes	
row_6	EIF3M	431	2.977630615234375	0.53395593	Yes	
row_7	EIF2B3	551	2.750967025756836	0.58009285	Yes	
row_8	EIF3D	583	2.6590957641601562	0.6327021	Yes	
row_9	EIF4B	594	2.6312215328216553	0.68673164	Yes	
row_10	DHX29	744	2.336890459060669	0.72135484	Yes	
row_11	YTHDF2	784	2.276158094406128	0.7651992	Yes	
row_12	EIF4G1	1271	1.6568982601165771	0.75347495	No	
row_13	EIF4A2	1503	1.453824758529663	0.7618253	No	
row_14	EIF4H	1918	1.1369547843933105	0.7461024	No	
row_15	RPL13A	2472	0.8171855211257935	0.71044165	No	
row_16	EIF2D	3294	0.4933800995349884	0.6424567	No	
row_17	SLBP	3569	0.4074488580226898	0.62484086	No	
row_18	MCTS1	4168	0.2485852837562561	0.573007	No	
row_19	METTL3	4170	0.2477288842201233	0.5780882	No	
row_20	MTOR	4841	0.09850779920816422	0.516252	No	
row_21	NCK1	6565	-0.21319305896759033	0.35639265	No	
row_22	MIF4GD	8435	-0.9349538683891296	0.19769219	No	
