NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT4	103	4.571254730224609	0.10589117	Yes	
row_1	DKC1	112	4.5052490234375	0.21916866	Yes	
row_2	CCT3	166	4.142268180847168	0.3189679	Yes	
row_3	CCT6A	207	3.906320571899414	0.41403407	Yes	
row_4	CCT5	233	3.7453911304473877	0.50645673	Yes	
row_5	CCT8	276	3.504429817199707	0.5911593	Yes	
row_6	RUVBL2	278	3.501028060913086	0.6796845	Yes	
row_7	TCP1	425	3.0090830326080322	0.74193335	Yes	
row_8	CCT7	472	2.9042680263519287	0.81106275	Yes	
row_9	CCT2	1144	1.7901852130889893	0.7924055	No	
row_10	NABP2	2977	0.6033833026885986	0.63301957	No	
row_11	ACD	3211	0.5208576917648315	0.6239902	No	
row_12	BRCA2	3344	0.4769555628299713	0.62347865	No	
row_13	TERT	3797	0.3424360156059265	0.58905387	No	
row_14	WRAP53	4318	0.2139841765165329	0.54489464	No	
row_15	SPIDR	4997	0.06964558362960815	0.4820184	No	
row_16	LRWD1	5474	-0.01192739699035883	0.43693945	No	
row_17	NIPBL	6442	-0.18672648072242737	0.3494742	No	
row_18	PIH1D1	7204	-0.38639986515045166	0.28670284	No	
row_19	TERF1	8744	-1.1140071153640747	0.16817626	No	
