NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBPJ	691	2.440864086151123	-0.019866068	No	
row_1	MIR17HG	806	2.248666524887085	0.011702323	No	
row_2	YY1	2037	1.0497591495513916	-0.08585935	No	
row_3	PDLIM5	2105	1.0053950548171997	-0.0732746	No	
row_4	PARP2	2140	0.9885804653167725	-0.057858095	No	
row_5	DUSP6	2831	0.6576946377754211	-0.111289	No	
row_6	RGS2	3559	0.4117419123649597	-0.17289354	No	
row_7	SAV1	3870	0.32455453276634216	-0.19635001	No	
row_8	ARID2	4423	0.18682633340358734	-0.24550013	No	
row_9	CDK1	4927	0.08435365557670593	-0.2919086	No	
row_10	CTDP1	5364	0.006764709018170834	-0.3333879	No	
row_11	SMAD1	5853	-0.07189592719078064	-0.3786001	No	
row_12	GSK3A	6156	-0.12484626471996307	-0.40506294	No	
row_13	MAPK14	6208	-0.1355065107345581	-0.4073719	No	
row_14	VGLL4	6631	-0.2312573790550232	-0.44327757	No	
row_15	HEG1	6720	-0.25383099913597107	-0.44688383	No	
row_16	PIM1	7940	-0.6715916395187378	-0.5505343	No	
row_17	TGFBR1	8655	-1.0623750686645508	-0.59861654	No	
row_18	JARID2	9202	-1.528478741645813	-0.62186813	Yes	
row_19	PTEN	9580	-2.0087554454803467	-0.61992633	Yes	
row_20	CITED2	9716	-2.2546629905700684	-0.5902487	Yes	
row_21	TGFBR3	9750	-2.3320326805114746	-0.5493769	Yes	
row_22	NOTCH1	9915	-2.658745765686035	-0.51483905	Yes	
row_23	PRKAR1A	10135	-3.3913819789886475	-0.47172007	Yes	
row_24	RUNX1	10175	-3.5434370040893555	-0.40855357	Yes	
row_25	NDRG4	10190	-3.627840280532837	-0.3414081	Yes	
row_26	MAPK11	10211	-3.745018720626831	-0.2726233	Yes	
row_27	TGFBR2	10227	-3.8226187229156494	-0.20189649	Yes	
row_28	AKAP13	10314	-4.412111759185791	-0.12681748	Yes	
row_29	S1PR1	10497	-7.693912506103516	0.0010497294	Yes	
