NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	P2RY1	2239	0.9300537109375	-0.18763436	No	
row_1	NUDT4	2367	0.8645207285881042	-0.17555697	No	
row_2	BPNT1	2495	0.8030278086662292	-0.16520071	No	
row_3	NUDT3	2598	0.7580106854438782	-0.15371868	No	
row_4	MTMR7	2709	0.7116692662239075	-0.14429712	No	
row_5	PLEK	3617	0.3936557173728943	-0.21983324	No	
row_6	SYNJ1	3618	0.39204299449920654	-0.20886044	No	
row_7	MINPP1	3856	0.3282855749130249	-0.2222888	No	
row_8	IPPK	4211	0.23894862830638885	-0.24938276	No	
row_9	PPIP5K1	4983	0.07313277572393417	-0.3209116	No	
row_10	IP6K2	5176	0.03915007412433624	-0.3381382	No	
row_11	IMPA2	5177	0.03880046308040619	-0.33705223	No	
row_12	IMPA1	5379	0.0044937520287930965	-0.35610765	No	
row_13	PPIP5K2	5554	-0.02317999303340912	-0.37206352	No	
row_14	ITPKC	6348	-0.16491426527500153	-0.44312292	No	
row_15	MTMR2	7512	-0.4960924983024597	-0.54022175	No	
row_16	INPP4B	8194	-0.7856826782226562	-0.58321863	No	
row_17	ITPK1	8849	-1.1989740133285522	-0.61207134	Yes	
row_18	INPP1	8869	-1.214926838874817	-0.5798802	Yes	
row_19	IP6K1	8966	-1.287354826927185	-0.5530099	Yes	
row_20	OCRL	9096	-1.402130365371704	-0.5260764	Yes	
row_21	INPP5B	9163	-1.471326470375061	-0.49119407	Yes	
row_22	INPP5E	9353	-1.6760989427566528	-0.4623182	Yes	
row_23	INPP4A	9525	-1.909500002861023	-0.425192	Yes	
row_24	PTEN	9580	-2.0087554454803467	-0.3741226	Yes	
row_25	PTK2B	9731	-2.281625986099243	-0.32457703	Yes	
row_26	SYNJ2	10132	-3.3824567794799805	-0.26807785	Yes	
row_27	ITPKB	10142	-3.432697296142578	-0.17285977	Yes	
row_28	IPMK	10177	-3.5581367015838623	-0.07651652	Yes	
row_29	INPP5K	10231	-3.8589816093444824	0.026433868	Yes	
