NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAK2	1429	1.5144773721694946	-0.09343134	No	
row_1	OTUD4	2848	0.6507782340049744	-0.21022637	No	
row_2	IRAK1	3992	0.29093068838119507	-0.31097454	No	
row_3	MAP3K7	4369	0.20298291742801666	-0.3410843	No	
row_4	TRAF6	4409	0.18998096883296967	-0.3394327	No	
row_5	MAPK3	6441	-0.18602046370506287	-0.5278062	No	
row_6	VRK2	6855	-0.2896609902381897	-0.5589936	No	
row_7	IKBKB	8000	-0.6924185156822205	-0.64848906	No	
row_8	TOLLIP	8750	-1.1172255277633667	-0.68831885	Yes	
row_9	RPS6KA4	8799	-1.14545738697052	-0.66051877	Yes	
row_10	RELA	9112	-1.4220902919769287	-0.65006894	Yes	
row_11	MYD88	9262	-1.582313060760498	-0.6195503	Yes	
row_12	TNIP2	9529	-1.9157159328460693	-0.59076256	Yes	
row_13	IRAK4	9544	-1.9522919654846191	-0.5369159	Yes	
row_14	ZBP1	9897	-2.6100118160247803	-0.496703	Yes	
row_15	EGR1	10012	-2.9364376068115234	-0.42457324	Yes	
row_16	IL1RL2	10082	-3.1897902488708496	-0.3409923	Yes	
row_17	RPS6KA5	10101	-3.255859375	-0.2506817	Yes	
row_18	IL1R2	10222	-3.7809133529663086	-0.15525493	Yes	
row_19	IL1R1	10472	-6.4541473388671875	0.0034320478	Yes	
