NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	33	5.807124614715576	0.03625557	No	
row_1	HSPD1	42	5.5952887535095215	0.073469445	No	
row_2	HYAL2	518	2.8065974712371826	0.04699194	No	
row_3	RIPK2	699	2.424180746078491	0.046194267	No	
row_4	MAPKAPK2	728	2.3559515476226807	0.059502613	No	
row_5	PTPN11	740	2.347698926925659	0.074384384	No	
row_6	IFNG	953	2.0643882751464844	0.06807726	No	
row_7	PTPN6	1261	1.6649576425552368	0.04995309	No	
row_8	SOCS5	1537	1.4227523803710938	0.033252023	No	
row_9	BANK1	1739	1.2722209692001343	0.022622032	No	
row_10	TNF	1857	1.1795778274536133	0.019414559	No	
row_11	TIRAP	1989	1.0881935358047485	0.014244877	No	
row_12	MAVS	2038	1.0496695041656494	0.01676922	No	
row_13	CYBA	2238	0.9301607012748718	0.004009033	No	
row_14	XBP1	2335	0.8786004781723022	7.713778E-4	No	
row_15	AGER	2378	0.8617449402809143	0.002595192	No	
row_16	IFIH1	2524	0.7891051769256592	-0.0059465906	No	
row_17	DHX9	2745	0.694375216960907	-0.022320127	No	
row_18	HAVCR2	2799	0.6732461452484131	-0.022830185	No	
row_19	TICAM1	2946	0.6141510009765625	-0.0326554	No	
row_20	F2R	3823	0.3365781009197235	-0.11433507	No	
row_21	RABGEF1	4004	0.2876492440700531	-0.12963545	No	
row_22	AKIRIN2	4157	0.25111857056617737	-0.14250003	No	
row_23	LGALS9	4226	0.23353880643844604	-0.14743255	No	
row_24	HMGB1	4238	0.22844776511192322	-0.14693621	No	
row_25	TNFSF4	4334	0.21094997227191925	-0.15461001	No	
row_26	TRAF6	4409	0.18998096883296967	-0.1604133	No	
row_27	TLR2	4818	0.10330452769994736	-0.19881874	No	
row_28	POU2F2	5124	0.04702695831656456	-0.22773369	No	
row_29	NLRX1	5726	-0.05144806578755379	-0.28499013	No	
row_30	CSK	6725	-0.2557651698589325	-0.37891203	No	
row_31	MBP	6895	-0.29976174235343933	-0.39307585	No	
row_32	INPP5D	6913	-0.30452775955200195	-0.39263818	No	
row_33	ARHGEF2	7056	-0.34325966238975525	-0.4039188	No	
row_34	TYROBP	7088	-0.3535420596599579	-0.4044903	No	
row_35	APP	7231	-0.3921118378639221	-0.4154393	No	
row_36	ZC3H12A	7450	-0.4687708914279938	-0.43315256	No	
row_37	SPHK2	7477	-0.48169708251953125	-0.4323749	No	
row_38	TNFAIP3	7505	-0.4935843050479889	-0.4316124	No	
row_39	IL1RAP	7542	-0.5088308453559875	-0.43160906	No	
row_40	LBP	8003	-0.6945131421089172	-0.4709856	No	
row_41	SLAMF1	8097	-0.7358255386352539	-0.47490484	No	
row_42	TLR6	8158	-0.7671622037887573	-0.47544834	No	
row_43	CD200R1	8433	-0.9344891905784607	-0.49536788	No	
row_44	FOXP3	8461	-0.9473974108695984	-0.4915249	No	
row_45	PYCARD	8567	-1.0102697610855103	-0.49473146	No	
row_46	ZBTB20	8935	-1.261258602142334	-0.5213469	Yes	
row_47	C1QTNF4	8973	-1.2939646244049072	-0.51610994	Yes	
row_48	NCKAP1L	8982	-1.3068561553955078	-0.50800586	Yes	
row_49	CD200	9199	-1.5258013010025024	-0.51835227	Yes	
row_50	MYD88	9262	-1.582313060760498	-0.5135543	Yes	
row_51	BCL10	9474	-1.8390239477157593	-0.5212953	Yes	
row_52	IL16	9569	-1.9899578094482422	-0.51679736	Yes	
row_53	STAT3	9593	-2.02829647064209	-0.5052339	Yes	
row_54	ARRB1	9691	-2.2050328254699707	-0.49956363	Yes	
row_55	KLF2	9693	-2.2065987586975098	-0.48468113	Yes	
row_56	CD47	9735	-2.2922310829162598	-0.47305137	Yes	
row_57	IL27RA	9745	-2.3184783458709717	-0.45817626	Yes	
row_58	F2RL1	9866	-2.5537760257720947	-0.45234326	Yes	
row_59	NOD1	9955	-2.787872791290283	-0.44185403	Yes	
row_60	GBA	9961	-2.8001248836517334	-0.4233261	Yes	
row_61	TMEM106A	9978	-2.865811586380005	-0.40540662	Yes	
row_62	ARRB2	9982	-2.871328115463257	-0.38620368	Yes	
row_63	SETD4	10024	-2.959303617477417	-0.37004584	Yes	
row_64	IL1RL2	10082	-3.1897902488708496	-0.35385707	Yes	
row_65	NLRC3	10106	-3.273564577102661	-0.33384073	Yes	
row_66	PTPN22	10168	-3.514885902404785	-0.31582862	Yes	
row_67	CD84	10230	-3.858182430267334	-0.2954862	Yes	
row_68	TLR1	10301	-4.299626350402832	-0.27300993	Yes	
row_69	DDX58	10390	-5.030605792999268	-0.2472971	Yes	
row_70	P2RX7	10411	-5.2517828941345215	-0.21356513	Yes	
row_71	POU2AF1	10419	-5.307130336761475	-0.1782114	Yes	
row_72	ARID5A	10432	-5.543564796447754	-0.14173204	Yes	
row_73	CAPN2	10458	-6.0774149894714355	-0.10287495	Yes	
row_74	IL17RA	10468	-6.361509799957275	-0.060555834	Yes	
row_75	SYT11	10508	-9.471718788146973	-1.9391882E-7	Yes	
