NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RCL1	110	4.508786678314209	0.059091847	Yes	
row_1	FTSJ3	124	4.435980796813965	0.12632008	Yes	
row_2	RRP15	247	3.667435646057129	0.17128012	Yes	
row_3	MPHOSPH6	322	3.335570812225342	0.21570015	Yes	
row_4	URB1	325	3.318186044692993	0.26672536	Yes	
row_5	EXOSC7	344	3.2569289207458496	0.3152776	Yes	
row_6	EXOSC2	368	3.179539918899536	0.36215806	Yes	
row_7	LAS1L	398	3.0815770626068115	0.40695363	Yes	
row_8	PES1	477	2.893566370010376	0.4441695	Yes	
row_9	BOP1	478	2.8917932510375977	0.48880425	Yes	
row_10	UTP20	572	2.6815292835235596	0.52131534	Yes	
row_11	EIF6	834	2.214841842651367	0.53058493	Yes	
row_12	EXOSC4	871	2.1690661907196045	0.56062764	Yes	
row_13	ERI3	992	2.002744436264038	0.58008415	Yes	
row_14	RRS1	1087	1.8490773439407349	0.59965086	Yes	
row_15	MAK16	1251	1.6765104532241821	0.60996693	Yes	
row_16	WDR12	1485	1.4665417671203613	0.61035955	Yes	
row_17	NOP14	1588	1.3805376291275024	0.6219306	Yes	
row_18	EXOSC3	1661	1.3269238471984863	0.63553816	Yes	
row_19	ABT1	1748	1.2659112215042114	0.64686745	Yes	
row_20	EXOSC9	1753	1.2632741928100586	0.6659842	Yes	
row_21	NOL9	1939	1.1221702098846436	0.6656438	Yes	
row_22	RPP40	1952	1.1131724119186401	0.68168	Yes	
row_23	NOP9	2029	1.0562416315078735	0.6907277	Yes	
row_24	EXOSC8	2085	1.0178048610687256	0.7011869	Yes	
row_25	EXOSC10	2297	0.8960273265838623	0.69487387	No	
row_26	RPF1	2499	0.8004231452941895	0.68803984	No	
row_27	RPS21	2853	0.6483086347579956	0.6643472	No	
row_28	NSA2	2974	0.6040183305740356	0.66221434	No	
row_29	C1D	3405	0.4589807093143463	0.6282486	No	
row_30	ERI1	6169	-0.12787823379039764	0.3664515	No	
row_31	KRI1	7971	-0.6818200945854187	0.20504221	No	
row_32	ERI2	8188	-0.7812047004699707	0.19647956	No	
row_33	PRKDC	9296	-1.613518238067627	0.115704	No	
