NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.07028474	Yes	
row_1	RPF2	22	6.088015079498291	0.14180745	Yes	
row_2	RSL1D1	58	5.337189197540283	0.20125397	Yes	
row_3	RPL7A	71	4.968560695648193	0.25855824	Yes	
row_4	NOP2	91	4.713138580322266	0.31218997	Yes	
row_5	FTSJ3	124	4.435980796813965	0.36132106	Yes	
row_6	DDX18	170	4.116891384124756	0.4054582	Yes	
row_7	GTPBP4	213	3.8796870708465576	0.44709116	Yes	
row_8	RRP15	247	3.667435646057129	0.48708585	Yes	
row_9	RPL7L1	305	3.392265558242798	0.5215539	Yes	
row_10	ZNHIT3	309	3.3785650730133057	0.5610124	Yes	
row_11	ZNHIT6	317	3.351102352142334	0.5997662	Yes	
row_12	URB1	325	3.318186044692993	0.63813287	Yes	
row_13	NIFK	345	3.253063917160034	0.67458856	Yes	
row_14	LAS1L	398	3.0815770626068115	0.7058787	Yes	
row_15	PES1	477	2.893566370010376	0.73247665	Yes	
row_16	BOP1	478	2.8917932510375977	0.7664951	Yes	
row_17	MRPL1	559	2.7132859230041504	0.7907815	Yes	
row_18	RPL7	704	2.4203128814697266	0.8055157	Yes	
row_19	EIF6	834	2.214841842651367	0.8192638	Yes	
row_20	RPL10A	1160	1.7696541547775269	0.80907613	Yes	
row_21	MAK16	1251	1.6765104532241821	0.8202121	Yes	
row_22	WDR12	1485	1.4665417671203613	0.8152356	No	
row_23	RPL35	1677	1.3149930238723755	0.8124832	No	
row_24	NOL9	1939	1.1221702098846436	0.80078435	No	
row_25	RPF1	2499	0.8004231452941895	0.7568708	No	
row_26	NSA2	2974	0.6040183305740356	0.718756	No	
