NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RCL1	110	4.508786678314209	0.05082198	Yes	
row_1	BYSL	156	4.244655609130859	0.10426269	Yes	
row_2	NOB1	267	3.5448877811431885	0.1419725	Yes	
row_3	TSR2	294	3.4462897777557373	0.18636858	Yes	
row_4	TBL3	457	2.929062843322754	0.21073174	Yes	
row_5	TSR1	466	2.9159536361694336	0.2496337	Yes	
row_6	PWP2	480	2.8871116638183594	0.2876655	Yes	
row_7	WDR46	514	2.8123579025268555	0.32276908	Yes	
row_8	NOL11	537	2.7793469429016113	0.3584748	Yes	
row_9	UTP20	572	2.6815292835235596	0.39170313	Yes	
row_10	DCAF13	616	2.5752134323120117	0.4226251	Yes	
row_11	NOL10	628	2.5458381175994873	0.45620558	Yes	
row_12	RPS8	634	2.532282590866089	0.49017507	Yes	
row_13	NAT10	637	2.530890464782715	0.5244123	Yes	
row_14	RIOK2	1040	1.930647373199463	0.512258	Yes	
row_15	DHX37	1063	1.8803589344024658	0.53573453	Yes	
row_16	HEATR1	1071	1.8687711954116821	0.560487	Yes	
row_17	RRS1	1087	1.8490773439407349	0.584207	Yes	
row_18	SRFBP1	1226	1.7026687860488892	0.59418076	Yes	
row_19	UTP6	1337	1.5914865732192993	0.60531795	Yes	
row_20	WDR3	1403	1.5380481481552124	0.6200286	Yes	
row_21	RPS16	1477	1.4720252752304077	0.63307667	Yes	
row_22	NOP14	1588	1.3805376291275024	0.64134425	Yes	
row_23	ABT1	1748	1.2659112215042114	0.64336985	Yes	
row_24	LSM6	1765	1.2536792755126953	0.6588949	Yes	
row_25	RPS19	1859	1.1772502660751343	0.66602176	Yes	
row_26	RPP40	1952	1.1131724119186401	0.67237246	Yes	
row_27	UTP3	2007	1.0739473104476929	0.6818211	Yes	
row_28	NOP9	2029	1.0562416315078735	0.6941826	Yes	
row_29	RPS14	2142	0.9877768158912659	0.69691616	Yes	
row_30	RIOK1	2344	0.8756644129753113	0.68961936	No	
row_31	ERCC2	2596	0.7591966390609741	0.6759599	No	
row_32	RPS28	2753	0.6904450058937073	0.67044395	No	
row_33	BMS1	2820	0.6626753807067871	0.67315114	No	
row_34	RPS21	2853	0.6483086347579956	0.67891216	No	
row_35	GTF2H5	3184	0.5308347940444946	0.65459657	No	
row_36	MRPS11	4332	0.2110665887594223	0.5478538	No	
row_37	RRP36	4527	0.16183599829673767	0.5315156	No	
row_38	NGDN	5325	0.014905816875398159	0.45555243	No	
row_39	UTP23	6015	-0.09946046769618988	0.39106062	No	
row_40	TSR3	6276	-0.1492062360048294	0.36824322	No	
row_41	HELB	6481	-0.1956060826778412	0.3514087	No	
row_42	DDX52	7261	-0.40334874391555786	0.2824498	No	
row_43	KRI1	7971	-0.6818200945854187	0.22396868	No	
row_44	RIOK3	9050	-1.3515956401824951	0.1393349	No	
