NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	32	5.812370300292969	0.05878737	Yes	
row_1	MRPS18B	145	4.292644023895264	0.09374131	Yes	
row_2	MRPS7	150	4.276183605194092	0.13886294	Yes	
row_3	PTCD3	195	3.9644830226898193	0.17683695	Yes	
row_4	TUFM	208	3.905212640762329	0.21724477	Yes	
row_5	FASTKD3	229	3.7586262226104736	0.25532657	Yes	
row_6	SHMT2	458	2.9282169342041016	0.2646521	Yes	
row_7	MRPS28	553	2.7475831508636475	0.28488818	Yes	
row_8	MRPS15	568	2.693054676055908	0.3122054	Yes	
row_9	MRPS34	570	2.6900136470794678	0.34073523	Yes	
row_10	MRPL47	785	2.2734968662261963	0.34443432	Yes	
row_11	MRPS17	795	2.2644307613372803	0.36766917	Yes	
row_12	TRMT10C	891	2.133017063140869	0.38126963	Yes	
row_13	MRPS18A	892	2.1329140663146973	0.4039669	Yes	
row_14	UQCC2	908	2.1178205013275146	0.425067	Yes	
row_15	MRPL2	924	2.10198712348938	0.44599867	Yes	
row_16	LRPPRC	949	2.0660817623138428	0.4656863	Yes	
row_17	TARS2	1004	1.9813899993896484	0.4815997	Yes	
row_18	TSFM	1046	1.9171292781829834	0.49807423	Yes	
row_19	NOA1	1056	1.8960367441177368	0.5173889	Yes	
row_20	MTG1	1065	1.876418948173523	0.5365905	Yes	
row_21	FASTKD2	1077	1.8634841442108154	0.55536723	Yes	
row_22	GATC	1085	1.8522752523422241	0.5744077	Yes	
row_23	MRPS27	1171	1.7553083896636963	0.58494645	Yes	
row_24	MRPL51	1220	1.7111833095550537	0.5985591	Yes	
row_25	MRPS2	1237	1.6911718845367432	0.6150233	Yes	
row_26	RARS2	1255	1.6725660562515259	0.63119376	Yes	
row_27	EARS2	1287	1.6401481628417969	0.64567846	Yes	
row_28	COA3	1359	1.575156569480896	0.6556409	Yes	
row_29	MRPL16	1460	1.4893748760223389	0.6619133	Yes	
row_30	MRPS14	1689	1.3089572191238403	0.65400755	Yes	
row_31	GFM1	1755	1.2618484497070312	0.6612106	Yes	
row_32	MRPS24	1822	1.2064989805221558	0.66772884	Yes	
row_33	MTG2	2043	1.047109603881836	0.6578028	No	
row_34	GATB	2334	0.8799605369567871	0.6393944	No	
row_35	MRPL23	2338	0.8772006630897522	0.64844173	No	
row_36	MTIF2	2519	0.7916451692581177	0.6396279	No	
row_37	MRPS12	2563	0.77006995677948	0.64370453	No	
row_38	YARS2	2731	0.7008005380630493	0.63516897	No	
row_39	LARS2	2914	0.6230535507202148	0.62436956	No	
row_40	IARS2	2928	0.6186975240707397	0.6297084	No	
row_41	NDUFA7	2942	0.6152504682540894	0.63501054	No	
row_42	MRPS16	2965	0.6068153977394104	0.6393611	No	
row_43	MALSU1	3170	0.5359644889831543	0.62552804	No	
row_44	TRUB2	3367	0.4700615406036377	0.6117598	No	
row_45	MRPL44	3488	0.433246374130249	0.60487807	No	
row_46	NGRN	3520	0.42241424322128296	0.6064044	No	
row_47	ALKBH1	3628	0.38843613862991333	0.60029083	No	
row_48	MTRF1	3789	0.34546709060668945	0.5886444	No	
row_49	GFM2	4018	0.28348204493522644	0.5698261	No	
row_50	DARS2	4076	0.2695235311985016	0.5672355	No	
row_51	MRPS21	4084	0.26757583022117615	0.5694125	No	
row_52	MRPS11	4332	0.2110665887594223	0.5480041	No	
row_53	TACO1	4468	0.17644478380680084	0.53695315	No	
row_54	RPUSD4	4631	0.13912370800971985	0.52291936	No	
row_55	MPV17L2	4735	0.11657658219337463	0.51429594	No	
row_56	AARS2	5075	0.056082870811223984	0.4824277	No	
row_57	MTRF1L	5224	0.03154610097408295	0.46858984	No	
row_58	MRPL57	5604	-0.033169496804475784	0.43264708	No	
row_59	SARS2	6254	-0.1464964747428894	0.37205318	No	
row_60	QRSL1	6409	-0.18199926614761353	0.35924178	No	
row_61	CDK5RAP1	6524	-0.20533797144889832	0.3505094	No	
row_62	NSUN3	7346	-0.4343094527721405	0.2765063	No	
row_63	MTIF3	7457	-0.47387993335723877	0.2710147	No	
row_64	MRPS6	7727	-0.5809069275856018	0.251435	No	
row_65	RPUSD3	7967	-0.6806291937828064	0.23578954	No	
row_66	WARS2	8018	-0.7009337544441223	0.23846012	No	
