NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.0071305824	Yes	
row_1	RPF2	22	6.088015079498291	0.016072236	Yes	
row_2	PPAN	35	5.748079776763916	0.023418568	Yes	
row_3	PUS1	44	5.471492767333984	0.030750712	Yes	
row_4	WDR43	54	5.387223243713379	0.03785858	Yes	
row_5	RSL1D1	58	5.337189197540283	0.04548697	Yes	
row_6	METTL1	65	5.024819850921631	0.052354075	Yes	
row_7	LYAR	70	4.969549179077148	0.059337378	Yes	
row_8	RPL7A	71	4.968560695648193	0.06671576	Yes	
row_9	MRTO4	74	4.910591125488281	0.07380979	Yes	
row_10	NOP56	78	4.855929374694824	0.0807235	Yes	
row_11	RPL5	82	4.819319725036621	0.08758285	Yes	
row_12	NOP58	84	4.801177978515625	0.09461353	Yes	
row_13	NOP2	91	4.713138580322266	0.10101778	Yes	
row_14	FBL	99	4.607914924621582	0.10716664	Yes	
row_15	WDR74	101	4.591402530670166	0.113885805	Yes	
row_16	RCL1	110	4.508786678314209	0.11978831	Yes	
row_17	DKC1	112	4.5052490234375	0.12637953	Yes	
row_18	FTSJ3	124	4.435980796813965	0.13187651	Yes	
row_19	PUS7	126	4.427617073059082	0.13835245	Yes	
row_20	RRP9	130	4.393106460571289	0.14457887	Yes	
row_21	NOLC1	141	4.301348686218262	0.14997506	Yes	
row_22	DDX56	142	4.30035400390625	0.15636115	Yes	
row_23	TRMT61A	148	4.282327175140381	0.16222478	Yes	
row_24	NCL	155	4.245023250579834	0.16793388	Yes	
row_25	BYSL	156	4.244655609130859	0.17423725	Yes	
row_26	DDX18	170	4.116891384124756	0.17906211	Yes	
row_27	GTPBP4	213	3.8796870708465576	0.18065973	Yes	
row_28	RRP1B	220	3.8092150688171387	0.18572164	Yes	
row_29	METTL16	221	3.7860822677612305	0.19134402	Yes	
row_30	BRIX1	222	3.784864664077759	0.1969646	Yes	
row_31	NSUN2	226	3.771775007247925	0.20226833	Yes	
row_32	DIMT1	243	3.689640522003174	0.2061613	Yes	
row_33	WDR4	246	3.6724400520324707	0.21141665	Yes	
row_34	RRP15	247	3.667435646057129	0.21686284	Yes	
row_35	PA2G4	254	3.623271942138672	0.22164863	Yes	
row_36	IMP4	258	3.575809955596924	0.22666135	Yes	
row_37	NOB1	267	3.5448877811431885	0.23113246	Yes	
row_38	MPHOSPH10	269	3.5360121726989746	0.23628436	Yes	
row_39	RPP14	270	3.5332984924316406	0.24153136	Yes	
row_40	TSR2	294	3.4462897777557373	0.24436899	Yes	
row_41	WDR18	304	3.395955801010132	0.2485198	Yes	
row_42	RPL7L1	305	3.392265558242798	0.25355735	Yes	
row_43	ZNHIT3	309	3.3785650730133057	0.25827715	Yes	
row_44	THUMPD1	312	3.3666422367095947	0.2630784	Yes	
row_45	POP1	315	3.353630781173706	0.26786032	Yes	
row_46	TRMT6	316	3.3524951934814453	0.2728388	Yes	
row_47	ZNHIT6	317	3.351102352142334	0.27781525	Yes	
row_48	DDX27	321	3.3397936820983887	0.28247747	Yes	
row_49	MPHOSPH6	322	3.335570812225342	0.28743085	Yes	
row_50	URB1	325	3.318186044692993	0.29216012	Yes	
row_51	WDR75	334	3.293093204498291	0.29625732	Yes	
row_52	PUSL1	342	3.2752764225006104	0.3004272	Yes	
row_53	EXOSC7	344	3.2569289207458496	0.30516464	Yes	
row_54	NIFK	345	3.253063917160034	0.30999547	Yes	
row_55	WDR36	350	3.2375288009643555	0.31440672	Yes	
row_56	NOC4L	359	3.213181495666504	0.31838524	Yes	
row_57	NAF1	365	3.2023470401763916	0.32264507	Yes	
row_58	UTP15	366	3.2008845806121826	0.32739845	Yes	
row_59	EXOSC2	368	3.179539918899536	0.33202097	Yes	
row_60	GAR1	374	3.170020818710327	0.3362328	Yes	
row_61	TRMT5	377	3.1571292877197266	0.34072292	Yes	
row_62	LAS1L	398	3.0815770626068115	0.34331635	Yes	
