NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.008545113	Yes	
row_1	RPF2	22	6.088015079498291	0.0188737	Yes	
row_2	PPAN	35	5.748079776763916	0.027539112	Yes	
row_3	PUS1	44	5.471492767333984	0.036123898	Yes	
row_4	WDR43	54	5.387223243713379	0.044466086	Yes	
row_5	RSL1D1	58	5.337189197540283	0.053312205	Yes	
row_6	METTL1	65	5.024819850921631	0.06132852	Yes	
row_7	LYAR	70	4.969549179077148	0.06944671	Yes	
row_8	RPL7A	71	4.968560695648193	0.077956304	Yes	
row_9	MRTO4	74	4.910591125488281	0.08617006	Yes	
row_10	NOP56	78	4.855929374694824	0.09419193	Yes	
row_11	RPL5	82	4.819319725036621	0.1021511	Yes	
row_12	NOP58	84	4.801177978515625	0.110275745	Yes	
row_13	NOP2	91	4.713138580322266	0.117758244	Yes	
row_14	FBL	99	4.607914924621582	0.12496226	Yes	
row_15	WDR74	101	4.591402530670166	0.13272762	Yes	
row_16	RCL1	110	4.508786678314209	0.13966359	Yes	
row_17	DKC1	112	4.5052490234375	0.14728141	Yes	
row_18	FTSJ3	124	4.435980796813965	0.15379788	Yes	
row_19	PUS7	126	4.427617073059082	0.16128272	Yes	
row_20	RRP9	130	4.393106460571289	0.16851193	Yes	
row_21	NOLC1	141	4.301348686218262	0.17489608	Yes	
row_22	DDX56	142	4.30035400390625	0.18226123	Yes	
row_23	TRMT61A	148	4.282327175140381	0.18910417	Yes	
row_24	BYSL	156	4.244655609130859	0.19568603	Yes	
row_25	DDX18	170	4.116891384124756	0.20145945	Yes	
row_26	GTPBP4	213	3.8796870708465576	0.20397678	Yes	
row_27	RRP1B	220	3.8092150688171387	0.20991115	Yes	
row_28	METTL16	221	3.7860822677612305	0.21639553	Yes	
row_29	BRIX1	222	3.784864664077759	0.22287782	Yes	
row_30	NSUN2	226	3.771775007247925	0.22904286	Yes	
row_31	DIMT1	243	3.689640522003174	0.23378973	Yes	
row_32	WDR4	246	3.6724400520324707	0.23988293	Yes	
row_33	RRP15	247	3.667435646057129	0.2461641	Yes	
row_34	PA2G4	254	3.623271942138672	0.25178	Yes	
row_35	IMP4	258	3.575809955596924	0.25760943	Yes	
row_36	NOB1	267	3.5448877811431885	0.26289454	Yes	
row_37	MPHOSPH10	269	3.5360121726989746	0.26885235	Yes	
row_38	RPP14	270	3.5332984924316406	0.27490377	Yes	
row_39	TSR2	294	3.4462897777557373	0.27854598	Yes	
row_40	WDR18	304	3.395955801010132	0.28347775	Yes	
row_41	RPL7L1	305	3.392265558242798	0.28928763	Yes	
row_42	ZNHIT3	309	3.3785650730133057	0.29477924	Yes	
row_43	THUMPD1	312	3.3666422367095947	0.3003487	Yes	
