NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.06869477	Yes	
row_1	BID	27	5.961404800415039	0.11847104	Yes	
row_2	NDUFAB1	109	4.53490686416626	0.15038802	Yes	
row_3	SHMT2	458	2.9282169342041016	0.14261909	Yes	
row_4	CYC1	575	2.6759016513824463	0.1549067	Yes	
row_5	SDHD	577	2.670950412750244	0.17818747	Yes	
row_6	NDUFB6	592	2.632450819015503	0.19988368	Yes	
row_7	ATP7A	598	2.623284101486206	0.22236338	Yes	
row_8	NDUFA12	603	2.6164188385009766	0.24487898	Yes	
row_9	PPIF	673	2.4664180278778076	0.2598437	Yes	
row_10	NDUFS7	700	2.4227633476257324	0.27855307	Yes	
row_11	NDUFA9	764	2.3019936084747314	0.29265454	Yes	
row_12	CYCS	789	2.270813226699829	0.31022593	Yes	
row_13	STOML2	889	2.13523268699646	0.31941298	Yes	
row_14	UQCC2	908	2.1178205013275146	0.33622116	Yes	
row_15	UQCRB	948	2.066093683242798	0.35056126	Yes	
row_16	UQCRFS1	1154	1.778124451637268	0.3464501	Yes	
row_17	DLD	1166	1.7624629735946655	0.36081988	Yes	
row_18	MYC	1183	1.7480862140655518	0.374584	Yes	
row_19	CHCHD2	1242	1.6837046146392822	0.38375393	Yes	
row_20	NDUFA5	1250	1.6767194271087646	0.39775714	Yes	
row_21	NDUFA10	1258	1.6689893007278442	0.4116927	Yes	
row_22	NDUFB4	1277	1.6526912450790405	0.42442998	Yes	
row_23	NDUFB10	1324	1.602718710899353	0.43404272	Yes	
row_24	NDUFB8	1340	1.5902373790740967	0.44652128	Yes	
row_25	TEFM	1373	1.5631587505340576	0.45713136	Yes	
row_26	NDUFS3	1387	1.5548985004425049	0.46949258	Yes	
row_27	COX7A2	1428	1.5146126747131348	0.47891003	Yes	
row_28	DNAJC15	1469	1.48123037815094	0.4880353	Yes	
row_29	SLC25A51	1569	1.397600531578064	0.49076644	Yes	
row_30	UQCRC1	1585	1.3840477466583252	0.5014404	Yes	
