NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP7	1681	1.312984824180603	-0.13032469	No	
row_1	CTNNB1	1985	1.0906826257705688	-0.13432267	No	
row_2	TGFB1	2265	0.914728045463562	-0.1400483	No	
row_3	HDAC2	2473	0.8165193200111389	-0.14114988	No	
row_4	MTOR	4841	0.09850779920816422	-0.36460945	No	
row_5	EZH2	5422	-0.00432036817073822	-0.41981742	No	
row_6	MDK	5738	-0.05363326892256737	-0.44863042	No	
row_7	SMAD4	6025	-0.10063740611076355	-0.47360522	No	
row_8	BAMBI	7395	-0.4492586553096771	-0.5938934	No	
row_9	SMAD2	7822	-0.6196479797363281	-0.62037164	No	
row_10	TGFBR1	8655	-1.0623750686645508	-0.67545915	No	
row_11	NOTCH1	9915	-2.658745765686035	-0.7348264	Yes	
row_12	SDCBP	9924	-2.6993045806884766	-0.6739774	Yes	
row_13	TIAM1	9941	-2.7494029998779297	-0.6127477	Yes	
row_14	GLIPR2	9948	-2.771911382675171	-0.5500507	Yes	
row_15	RGCC	9968	-2.829519271850586	-0.48727843	Yes	
row_16	BCL9L	10051	-3.072838306427002	-0.4249598	Yes	
row_17	AXIN2	10069	-3.161546230316162	-0.35441828	Yes	
row_18	SMAD3	10096	-3.2441225051879883	-0.28285015	Yes	
row_19	TGFBR2	10227	-3.8226187229156494	-0.20799482	Yes	
row_20	LEF1	10266	-4.113829612731934	-0.117719814	Yes	
row_21	TGFB3	10461	-6.164294242858887	0.0044816877	Yes	
