NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.11745755	Yes	
row_1	CCT4	103	4.571254730224609	0.1985555	Yes	
row_2	DKC1	112	4.5052490234375	0.28542125	Yes	
row_3	CCT3	166	4.142268180847168	0.36093882	Yes	
row_4	CCT6A	207	3.906320571899414	0.43310592	Yes	
row_5	CCT5	233	3.7453911304473877	0.50357234	Yes	
row_6	CCT8	276	3.504429817199707	0.567732	Yes	
row_7	RUVBL2	278	3.501028060913086	0.6357325	Yes	
row_8	RUVBL1	329	3.3010473251342773	0.695174	Yes	
row_9	NAF1	365	3.2023470401763916	0.7541251	Yes	
row_10	TCP1	425	3.0090830326080322	0.8070302	Yes	
row_11	CCT7	472	2.9042680263519287	0.8591354	Yes	
row_12	SHQ1	1135	1.7969648838043213	0.8310031	Yes	
row_13	CCT2	1144	1.7901852130889893	0.86506027	Yes	
row_14	NOP10	1573	1.3965778350830078	0.8514388	No	
