NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKG7	11	6.694526195526123	0.040998418	No	
row_1	FGR	88	4.757086753845215	0.06357048	No	
row_2	SYNGR2	136	4.322700023651123	0.08620421	No	
row_3	NR4A3	354	3.225421190261841	0.08558578	No	
row_4	RAB11FIP5	372	3.1742475032806396	0.10389143	No	
row_5	BTK	1116	1.819981336593628	0.043827772	No	
row_6	DVL1	1121	1.813934087753296	0.054838512	No	
row_7	DOC2A	1433	1.5088932514190674	0.034390945	No	
row_8	ATP2A2	1847	1.1852773427963257	0.002095088	No	
row_9	ARL8B	2018	1.0621474981307983	-0.007590935	No	
row_10	BCR	2090	1.0153995752334595	-0.008044084	No	
row_11	P2RY1	2239	0.9300537109375	-0.016442943	No	
row_12	ADORA2A	2270	0.9115440249443054	-0.0136032	No	
row_13	PREPL	2525	0.7884347438812256	-0.033091906	No	
row_14	TMED10	2547	0.7818648219108582	-0.030200792	No	
row_15	STXBP5	2674	0.7302696108818054	-0.037737742	No	
row_16	RAB10	2682	0.7248347401618958	-0.033857718	No	
row_17	RAB11FIP1	2881	0.6354473829269409	-0.048918772	No	
row_18	GATA1	3239	0.513775110244751	-0.08004444	No	
row_19	AP1G1	3243	0.512065589427948	-0.07711618	No	
row_20	PDPK1	3433	0.4523342251777649	-0.09246155	No	
row_21	VAMP8	3584	0.40378516912460327	-0.10435904	No	
row_22	PLEK	3617	0.3936557173728943	-0.10496527	No	
row_23	SYNJ1	3618	0.39204299449920654	-0.102502346	No	
row_24	PPP3CB	3782	0.3463842570781708	-0.1160114	No	
row_25	GIT1	3793	0.3436580300331116	-0.11481472	No	
row_26	TMEM79	3858	0.3271975517272949	-0.118917756	No	
row_27	RABGEF1	4004	0.2876492440700531	-0.1310637	No	
row_28	LGALS9	4226	0.23353880643844604	-0.1508629	No	
row_29	SNX6	4494	0.17033953964710236	-0.17548563	No	
row_30	RAP1A	4601	0.14422018826007843	-0.18477975	No	
row_31	VAMP3	4654	0.13432127237319946	-0.18893975	No	
row_32	RAP1B	4788	0.10722283273935318	-0.20106445	No	
row_33	PRRT2	4903	0.08805921673774719	-0.21148121	No	
row_34	SCRIB	4951	0.0790446326136589	-0.21550734	No	
row_35	BACE1	5101	0.05139455571770668	-0.22952242	No	
row_36	STX3	5204	0.03431958705186844	-0.23912205	No	
row_37	RAB5A	5263	0.025527067482471466	-0.2445429	No	
row_38	STX2	5334	0.013249198906123638	-0.2511956	No	
row_39	PIP5K1C	5360	0.0070199319161474705	-0.2535572	No	
row_40	BLOC1S6	5386	0.003355523105710745	-0.25594184	No	
row_41	FMR1	5497	-0.014834550209343433	-0.2664337	No	
row_42	DTNBP1	5508	-0.01624082587659359	-0.26729396	No	
row_43	ABCC4	5545	-0.02238950878381729	-0.27061749	No	
row_44	NAPA	6036	-0.10365142673254013	-0.317118	No	
row_45	MILR1	6212	-0.1367480754852295	-0.33309877	No	
row_46	RAPGEF4	6424	-0.18399743735790253	-0.3522469	No	
row_47	FBXL20	6431	-0.18465019762516022	-0.35166427	No	
row_48	SNAPIN	6465	-0.19215638935565948	-0.3536326	No	
row_49	SNAP29	6473	-0.19474375247955322	-0.35308275	No	
row_50	ARHGAP17	6595	-0.2241968810558319	-0.36331788	No	
row_51	RAB31	6605	-0.22520974278450012	-0.3627691	No	
row_52	DNAJC5	6628	-0.23079165816307068	-0.3634362	No	
row_53	SNAP23	6654	-0.23635999858379364	-0.36435702	No	
row_54	RAB3GAP1	6696	-0.2486579418182373	-0.36674023	No	
row_55	STXBP3	6755	-0.26203009486198425	-0.3706753	No	
row_56	SDF4	7015	-0.33366379141807556	-0.39350212	No	
row_57	PSEN1	7286	-0.41038358211517334	-0.4169055	No	
row_58	REST	7327	-0.42683711647987366	-0.41807312	No	
row_59	GSK3B	7422	-0.45999279618263245	-0.42422873	No	
row_60	SPHK2	7477	-0.48169708251953125	-0.42639887	No	
row_61	UNC13A	7732	-0.5825380086898804	-0.44718108	No	
row_62	PFN2	7767	-0.5990476012229919	-0.44668943	No	
row_63	CBL	8029	-0.7041577100753784	-0.46738118	No	
row_64	GRIK5	8043	-0.7116596102714539	-0.4641613	No	
row_65	STXBP2	8062	-0.7180779576301575	-0.46138224	No	
row_66	IL4	8102	-0.7383607029914856	-0.46049652	No	
row_67	RAB11FIP2	8173	-0.772779643535614	-0.46237764	No	
row_68	GIPC1	8262	-0.8237731456756592	-0.46567053	No	
row_69	RPH3AL	8274	-0.829251229763031	-0.46151945	No	
row_70	SNAP47	8295	-0.8372704386711121	-0.45818403	No	
row_71	ANXA3	8313	-0.847636342048645	-0.4544948	No	
row_72	CALM3	8575	-1.0138546228408813	-0.47324094	No	
row_73	CCR2	8756	-1.1208134889602661	-0.4835207	Yes	
row_74	SNX4	8766	-1.1258872747421265	-0.4773136	Yes	
row_75	TRPV6	8837	-1.1870241165161133	-0.47659233	Yes	
row_76	GNAI2	8838	-1.1877391338348389	-0.4691306	Yes	
row_77	RAB3D	8856	-1.2058218717575073	-0.46319118	Yes	
row_78	GAB2	8871	-1.2156171798706055	-0.4569015	Yes	
row_79	KCNB1	8931	-1.2575767040252686	-0.4546785	Yes	
row_80	NCKAP1L	8982	-1.3068561553955078	-0.45127985	Yes	
row_81	VPS18	8983	-1.3073146343231201	-0.44306692	Yes	
row_82	VAMP2	9010	-1.325218915939331	-0.43724343	Yes	
row_83	MYH9	9058	-1.360723614692688	-0.4332177	Yes	
row_84	RAB26	9066	-1.3755812644958496	-0.4252495	Yes	
row_85	RAB11B	9092	-1.3994795083999634	-0.41886327	Yes	
row_86	RASGRP1	9220	-1.5449825525283813	-0.42137817	Yes	
row_87	CORO1A	9252	-1.5723302364349365	-0.41448343	Yes	
row_88	SV2A	9254	-1.5729453563690186	-0.40469795	Yes	
row_89	STXBP1	9268	-1.5854383707046509	-0.39598873	Yes	
row_90	LAMP1	9273	-1.5893841981887817	-0.3863887	Yes	
row_91	ITGB2	9274	-1.5902782678604126	-0.3763981	Yes	
row_92	RAC2	9430	-1.775589108467102	-0.38015866	Yes	
row_93	ITGAM	9450	-1.801298975944519	-0.3706707	Yes	
row_94	CDK5	9458	-1.8109147548675537	-0.35996762	Yes	
row_95	PIK3CG	9577	-2.0050432682037354	-0.35872626	Yes	
row_96	STX11	9630	-2.0887913703918457	-0.35060772	Yes	
row_97	PIK3CD	9734	-2.288602590560913	-0.34614155	Yes	
row_98	RAB3A	9736	-2.2969284057617188	-0.3318078	Yes	
row_99	RAB27A	9799	-2.4284584522247314	-0.32251766	Yes	
row_100	STX1A	9804	-2.4380271434783936	-0.3075862	Yes	
row_101	F2RL1	9866	-2.5537760257720947	-0.29741254	Yes	
row_102	BAIAP3	9872	-2.561854839324951	-0.28179938	Yes	
row_103	UNC13D	9880	-2.569169044494629	-0.26633272	Yes	
row_104	S100A13	9896	-2.607954978942871	-0.25139222	Yes	
row_105	HMOX1	9903	-2.6173505783081055	-0.23552664	Yes	
row_106	NOTCH1	9915	-2.658745765686035	-0.21988215	Yes	
row_107	MICAL1	9957	-2.793658494949341	-0.20627692	Yes	
row_108	SYT13	10050	-3.0719099044799805	-0.19583128	Yes	
row_109	PRKCB	10053	-3.0783300399780273	-0.17668478	Yes	
row_110	KIT	10186	-3.625485420227051	-0.16661052	Yes	
row_111	CD84	10230	-3.858182430267334	-0.14651012	Yes	
row_112	SYP	10235	-3.894205093383789	-0.122430526	Yes	
row_113	SLC4A8	10268	-4.123136043548584	-0.099607095	Yes	
row_114	LAT	10361	-4.761930465698242	-0.07854425	Yes	
row_115	P2RX7	10411	-5.2517828941345215	-0.050266217	Yes	
row_116	SYT11	10508	-9.471718788146973	-4.7883077E-8	Yes	
