NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCOR	1531	1.4264729022979736	-0.120676875	No	
row_1	BMP7	1681	1.312984824180603	-0.11151665	No	
row_2	TGFB1	2265	0.914728045463562	-0.15085526	No	
row_3	BMPR2	2866	0.6429656744003296	-0.19665433	No	
row_4	GATA1	3239	0.513775110244751	-0.22299986	No	
row_5	TXLNG	4464	0.17679943144321442	-0.33663487	No	
row_6	ZMPSTE24	5672	-0.041945602744817734	-0.45104882	No	
row_7	LTF	5762	-0.058698948472738266	-0.45849532	No	
row_8	ENPP1	5805	-0.06499175727367401	-0.46134543	No	
row_9	ATRAID	6665	-0.24059119820594788	-0.53901976	No	
row_10	TMEM119	7210	-0.3878052532672882	-0.5840187	No	
row_11	GPM6B	7944	-0.6720864176750183	-0.64198893	No	
row_12	ACVR2A	8248	-0.8163962960243225	-0.65636325	No	
row_13	BMP2K	9135	-1.438145637512207	-0.7152924	Yes	
row_14	TRPM4	9166	-1.475752353668213	-0.69188035	Yes	
row_15	ISG15	9481	-1.8457163572311401	-0.68897814	Yes	
row_16	NBR1	9514	-1.8975062370300293	-0.658248	Yes	
row_17	ATP2B1	9606	-2.0539207458496094	-0.63036233	Yes	
row_18	ADRB2	9657	-2.133375883102417	-0.59715015	Yes	
row_19	PTK2B	9731	-2.281625986099243	-0.563493	Yes	
row_20	SRGN	9931	-2.717839479446411	-0.53409123	Yes	
row_21	ECM1	9997	-2.901963710784912	-0.48862624	Yes	
row_22	ANO6	10037	-3.0113272666931152	-0.4387335	Yes	
row_23	SMAD3	10096	-3.2441225051879883	-0.38650882	Yes	
row_24	HIF1A	10367	-4.785515785217285	-0.32706824	Yes	
row_25	P2RX7	10411	-5.2517828941345215	-0.23766798	Yes	
row_26	TGFB3	10461	-6.164294242858887	-0.1325938	Yes	
row_27	S1PR1	10497	-7.693912506103516	0.0010495269	Yes	
