NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.18945503	Yes	
row_1	C1QBP	32	5.812370300292969	0.32676706	Yes	
row_2	FASTKD3	229	3.7586262226104736	0.3987165	Yes	
row_3	SHMT2	458	2.9282169342041016	0.4475872	Yes	
row_4	TRMT10C	891	2.133017063140869	0.45782226	Yes	
row_5	UQCC2	908	2.1178205013275146	0.50737035	Yes	
row_6	LRPPRC	949	2.0660817623138428	0.5533815	Yes	
row_7	TSFM	1046	1.9171292781829834	0.590459	Yes	
row_8	MTG1	1065	1.876418948173523	0.6339946	Yes	
row_9	FASTKD2	1077	1.8634841442108154	0.67788595	Yes	
row_10	MRPS27	1171	1.7553083896636963	0.71134704	Yes	
row_11	COA3	1359	1.575156569480896	0.73149747	Yes	
row_12	MTG2	2043	1.047109603881836	0.6916031	No	
row_13	METTL4	2289	0.900791585445404	0.68995804	No	
row_14	MALSU1	3170	0.5359644889831543	0.61894614	No	
row_15	TRUB2	3367	0.4700615406036377	0.61158717	No	
row_16	NGRN	3520	0.42241424322128296	0.607276	No	
row_17	ALKBH1	3628	0.38843613862991333	0.6064377	No	
row_18	TACO1	4468	0.17644478380680084	0.5306662	No	
row_19	RPUSD4	4631	0.13912370800971985	0.51856923	No	
row_20	MPV17L2	4735	0.11657658219337463	0.51155615	No	
row_21	CDK5RAP1	6524	-0.20533797144889832	0.34596258	No	
row_22	PRKAA1	6841	-0.2848960757255554	0.3226921	No	
row_23	NSUN3	7346	-0.4343094527721405	0.28509283	No	
row_24	RPUSD3	7967	-0.6806291937828064	0.24236943	No	
