NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4A3	1104	1.826635479927063	-0.066751525	No	
row_1	DVL1	1121	1.813934087753296	-0.029934928	No	
row_2	AKT1	2128	0.993401050567627	-0.10494674	No	
row_3	ADORA2A	2270	0.9115440249443054	-0.09913495	No	
row_4	SLC29A1	3051	0.5779874920845032	-0.16135892	No	
row_5	P2RX4	3788	0.3455916941165924	-0.2242961	No	
row_6	PPP3CA	4781	0.10914579033851624	-0.31666347	No	
row_7	DLG4	5247	0.028126971796154976	-0.36044762	No	
row_8	MECP2	5973	-0.09212171286344528	-0.42769292	No	
row_9	GSK3A	6156	-0.12484626471996307	-0.4424236	No	
row_10	CHRNA2	6557	-0.21205896139144897	-0.47611624	No	
row_11	RAB3GAP1	6696	-0.2486579418182373	-0.48403046	No	
row_12	S1PR2	6990	-0.3276640772819519	-0.5050675	No	
row_13	APP	7231	-0.3921118378639221	-0.5196841	No	
row_14	CHRNB1	7269	-0.40518152713775635	-0.5146504	No	
row_15	GSK3B	7422	-0.45999279618263245	-0.5194335	No	
row_16	MTMR2	7512	-0.4960924983024597	-0.5174409	No	
row_17	GRIK5	8043	-0.7116596102714539	-0.5529797	No	
row_18	PRKCZ	9376	-1.7041059732437134	-0.64408123	Yes	
row_19	CDK5	9458	-1.8109147548675537	-0.6135319	Yes	
row_20	PTEN	9580	-2.0087554454803467	-0.5826181	Yes	
row_21	ADRB2	9657	-2.133375883102417	-0.5447753	Yes	
row_22	ABAT	9680	-2.1840767860412598	-0.50070715	Yes	
row_23	PTK2B	9731	-2.281625986099243	-0.4572492	Yes	
row_24	STX1A	9804	-2.4380271434783936	-0.4125848	Yes	
row_25	BAIAP2	9838	-2.4911458492279053	-0.36307552	Yes	
row_26	ARRB2	9982	-2.871328115463257	-0.31602797	Yes	
row_27	MPP2	10015	-2.93916654586792	-0.2569528	Yes	
row_28	GABBR1	10326	-4.468960762023926	-0.19207206	Yes	
row_29	GABRR2	10350	-4.647321701049805	-0.09603034	Yes	
row_30	P2RX7	10411	-5.2517828941345215	0.009257494	Yes	
