NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGR	88	4.757086753845215	0.04153903	No	
row_1	DVL1	1121	1.813934087753296	-0.038221467	No	
row_2	DOC2A	1433	1.5088932514190674	-0.05215103	No	
row_3	ATP2A2	1847	1.1852773427963257	-0.07924599	No	
row_4	BCR	2090	1.0153995752334595	-0.09175219	No	
row_5	P2RY1	2239	0.9300537109375	-0.09615441	No	
row_6	ADORA2A	2270	0.9115440249443054	-0.089452684	No	
row_7	PREPL	2525	0.7884347438812256	-0.105491735	No	
row_8	STXBP5	2674	0.7302696108818054	-0.11199234	No	
row_9	GATA1	3239	0.513775110244751	-0.16059832	No	
row_10	AP1G1	3243	0.512065589427948	-0.1555072	No	
row_11	PDPK1	3433	0.4523342251777649	-0.16885275	No	
row_12	VAMP8	3584	0.40378516912460327	-0.178974	No	
row_13	GIT1	3793	0.3436580300331116	-0.19528021	No	
row_14	RABGEF1	4004	0.2876492440700531	-0.2123662	No	
row_15	LGALS9	4226	0.23353880643844604	-0.23107375	No	
row_16	RAP1A	4601	0.14422018826007843	-0.265369	No	
row_17	RAP1B	4788	0.10722283273935318	-0.28205207	No	
row_18	BACE1	5101	0.05139455571770668	-0.31138587	No	
row_19	RAB5A	5263	0.025527067482471466	-0.32653332	No	
row_20	FMR1	5497	-0.014834550209343433	-0.34868696	No	
row_21	DTNBP1	5508	-0.01624082587659359	-0.34947386	No	
row_22	FBXL20	6431	-0.18465019762516022	-0.4358148	No	
row_23	SNAPIN	6465	-0.19215638935565948	-0.43695623	No	
row_24	RAB3GAP1	6696	-0.2486579418182373	-0.45636672	No	
row_25	STXBP3	6755	-0.26203009486198425	-0.459168	No	
row_26	REST	7327	-0.42683711647987366	-0.50935733	No	
row_27	GSK3B	7422	-0.45999279618263245	-0.5135263	No	
row_28	SPHK2	7477	-0.48169708251953125	-0.51363736	No	
row_29	PFN2	7767	-0.5990476012229919	-0.5350168	No	
row_30	STXBP2	8062	-0.7180779576301575	-0.5556248	No	
row_31	IL4	8102	-0.7383607029914856	-0.5516038	No	
row_32	GIPC1	8262	-0.8237731456756592	-0.5581755	No	
row_33	RPH3AL	8274	-0.829251229763031	-0.55051893	No	
row_34	CALM3	8575	-1.0138546228408813	-0.56859475	No	
row_35	CCR2	8756	-1.1208134889602661	-0.57405734	Yes	
row_36	SNX4	8766	-1.1258872747421265	-0.5630936	Yes	
row_37	TRPV6	8837	-1.1870241165161133	-0.5573284	Yes	
row_38	GNAI2	8838	-1.1877391338348389	-0.54485327	Yes	
row_39	RAB3D	8856	-1.2058218717575073	-0.5338159	Yes	
row_40	GAB2	8871	-1.2156171798706055	-0.52238846	Yes	
row_41	KCNB1	8931	-1.2575767040252686	-0.514829	Yes	
row_42	NCKAP1L	8982	-1.3068561553955078	-0.5058902	Yes	
row_43	VPS18	8983	-1.3073146343231201	-0.4921591	Yes	
row_44	STXBP1	9268	-1.5854383707046509	-0.5026995	Yes	
row_45	LAMP1	9273	-1.5893841981887817	-0.48638877	Yes	
row_46	ITGB2	9274	-1.5902782678604126	-0.46968564	Yes	
row_47	RAC2	9430	-1.775589108467102	-0.46587723	Yes	
row_48	ITGAM	9450	-1.801298975944519	-0.44877696	Yes	
row_49	CDK5	9458	-1.8109147548675537	-0.4304267	Yes	
row_50	RAB3A	9736	-2.2969284057617188	-0.43282387	Yes	
row_51	RAB27A	9799	-2.4284584522247314	-0.41325355	Yes	
row_52	STX1A	9804	-2.4380271434783936	-0.3880293	Yes	
row_53	F2RL1	9866	-2.5537760257720947	-0.367047	Yes	
row_54	BAIAP3	9872	-2.561854839324951	-0.34061792	Yes	
row_55	UNC13D	9880	-2.569169044494629	-0.31430352	Yes	
row_56	HMOX1	9903	-2.6173505783081055	-0.28891927	Yes	
row_57	NOTCH1	9915	-2.658745765686035	-0.26204702	Yes	
row_58	MICAL1	9957	-2.793658494949341	-0.23663019	Yes	
row_59	SYT13	10050	-3.0719099044799805	-0.213174	Yes	
row_60	PRKCB	10053	-3.0783300399780273	-0.181033	Yes	
row_61	CD84	10230	-3.858182430267334	-0.1573613	Yes	
row_62	SYP	10235	-3.894205093383789	-0.11684244	Yes	
row_63	SLC4A8	10268	-4.123136043548584	-0.07660003	Yes	
row_64	SYT11	10508	-9.471718788146973	-5.401671E-8	Yes	
