NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SWAP70	37	5.738617897033691	0.020401813	No	
row_1	NRP1	215	3.874541759490967	0.019454563	No	
row_2	NOTCH2	235	3.7350733280181885	0.033225577	No	
row_3	CUL3	249	3.661823034286499	0.047271494	No	
row_4	ARHGAP24	434	2.9738996028900146	0.04188204	No	
row_5	CHN2	461	2.926112413406372	0.05159404	No	
row_6	ITGB1	726	2.3575551509857178	0.035881095	No	
row_7	OGT	752	2.3278307914733887	0.043189373	No	
row_8	ARHGAP31	876	2.163715362548828	0.040321108	No	
row_9	GPR55	974	2.0223238468170166	0.039379805	No	
row_10	RALBP1	989	2.003247022628784	0.046396732	No	
row_11	LRRC59	1206	1.7220016717910767	0.0326759	No	
row_12	TNFAIP1	1278	1.6518360376358032	0.03270403	No	
row_13	ABL2	1390	1.550107479095459	0.028433261	No	
row_14	SGSM3	1632	1.3489012718200684	0.010731955	No	
row_15	ABCA1	1889	1.1595016717910767	-0.009213606	No	
row_16	RDX	1893	1.1571455001831055	-0.0046677543	No	
row_17	RABL3	2045	1.0456995964050293	-0.014920453	No	
row_18	BCR	2090	1.0153995752334595	-0.0149376	No	
row_19	MFN2	2165	0.9751749634742737	-0.018028157	No	
row_20	ARHGAP39	2276	0.9091787934303284	-0.024880894	No	
row_21	CYTH3	2300	0.894260823726654	-0.023370648	No	
row_22	RASA4	2537	0.7840309143066406	-0.04294866	No	
row_23	SHOC2	2669	0.7321104407310486	-0.05257517	No	
row_24	SOS2	2714	0.7095587253570557	-0.053870603	No	
row_25	NF1	2828	0.6584988832473755	-0.062061604	No	
row_26	F2RL3	2912	0.6232563853263855	-0.06749462	No	
row_27	ARHGEF5	3034	0.5850308537483215	-0.07676743	No	
row_28	ARFGEF1	3042	0.5808786153793335	-0.075017504	No	
row_29	ARHGAP5	3061	0.5757630467414856	-0.07435423	No	
row_30	KBTBD6	3078	0.5704439282417297	-0.073519506	No	
row_31	LZTR1	3323	0.48313796520233154	-0.09512986	No	
row_32	PPP2CB	3436	0.4516007900238037	-0.10408877	No	
row_33	RHOF	3518	0.42339837551116943	-0.11016342	No	
row_34	NET1	3616	0.3937353491783142	-0.11791153	No	
row_35	TRIO	3710	0.3670180141925812	-0.12538394	No	
row_36	GPR65	3717	0.3649837076663971	-0.12443953	No	
row_37	NUP62	3753	0.355721652507782	-0.12634227	No	
row_38	F2R	3823	0.3365781009197235	-0.13161767	No	
row_39	RABGEF1	4004	0.2876492440700531	-0.14784715	No	
row_40	STAMBP	4038	0.27956637740135193	-0.1498745	No	
row_41	ARHGDIA	4068	0.27047309279441833	-0.15155247	No	
row_42	CD2AP	4150	0.2520710825920105	-0.1583432	No	
row_43	ABL1	4184	0.24598664045333862	-0.1605109	No	
row_44	SPRY1	4187	0.2448483407497406	-0.15968122	No	
row_45	ARHGAP35	4544	0.1558140367269516	-0.19350606	No	
row_46	STK19	4722	0.11985515058040619	-0.21014631	No	
row_47	RALGPS2	4774	0.1105862408876419	-0.2146231	No	
row_48	PSD	4787	0.10733960568904877	-0.21533658	No	
row_49	CRK	4795	0.10617054253816605	-0.21557073	No	
row_50	RASA1	4809	0.10436352342367172	-0.2163935	No	
row_51	GNA13	4954	0.07850456982851028	-0.23001076	No	
row_52	ARHGAP12	4960	0.07761739194393158	-0.23017056	No	
row_53	VAV2	5165	0.04065888375043869	-0.24975659	No	
row_54	SIPA1	5231	0.030425917357206345	-0.2559242	No	
row_55	KCTD13	5232	0.030396098271012306	-0.25579718	No	
row_56	ITSN1	5237	0.029907366260886192	-0.25605953	No	
row_57	RASA2	5258	0.026193803176283836	-0.25788692	No	
row_58	ITGAV	5396	1.1951800115639344E-4	-0.2711539	No	
row_59	DENND4B	5487	-0.01321409922093153	-0.27981454	No	
row_60	SH3BP1	5578	-0.027833200991153717	-0.28841406	No	
row_61	IQSEC1	5662	-0.040372442454099655	-0.29628327	No	
row_62	PSD4	5716	-0.04962066188454628	-0.30120856	No	
row_63	TGM2	5981	-0.09345931559801102	-0.32638448	No	
row_64	MAPRE2	6066	-0.10877898335456848	-0.33406463	No	
row_65	GABARAP	6130	-0.12033215165138245	-0.3396628	No	
row_66	MYO9A	6134	-0.12130334973335266	-0.33944634	No	
row_67	RASAL1	6306	-0.1555844396352768	-0.3553562	No	
row_68	KRAS	6337	-0.16182611882686615	-0.35758513	No	
row_69	SIPA1L3	6410	-0.1821078062057495	-0.36379668	No	
row_70	GPR174	6458	-0.19024068117141724	-0.36755317	No	
row_71	SSX2IP	6464	-0.19199833273887634	-0.36723492	No	
row_72	RAC1	6477	-0.19509465992450714	-0.3675816	No	
row_73	FRMD7	6489	-0.19729121029376984	-0.3678223	No	
row_74	RALGPS1	6499	-0.1990281492471695	-0.36786202	No	
row_75	VAV3	6589	-0.22273585200309753	-0.3755501	No	
row_76	ARHGAP17	6595	-0.2241968810558319	-0.37509727	No	
row_77	HEG1	6720	-0.25383099913597107	-0.3860449	No	
row_78	ARFGEF3	6750	-0.260983407497406	-0.38776252	No	
row_79	ARHGAP21	6773	-0.26682284474372864	-0.38877785	No	
row_80	DENND4A	6852	-0.289227157831192	-0.39512277	No	
row_81	GBF1	6884	-0.29687920212745667	-0.39688405	No	
row_82	RASGRF2	6893	-0.299539715051651	-0.39640686	No	
row_83	ECT2	6898	-0.30055510997772217	-0.39553803	No	
row_84	STMN1	6914	-0.30452960729599	-0.3957179	No	
row_85	ARHGAP19	6954	-0.3154723048210144	-0.39817622	No	
row_86	DENND4C	6971	-0.3203607499599457	-0.39838672	No	
row_87	FLCN	6988	-0.3269307613372803	-0.39856976	No	
row_88	ARHGEF2	7056	-0.34325966238975525	-0.40362358	No	
row_89	FOXM1	7096	-0.3559398055076599	-0.40591276	No	
row_90	ARHGEF9	7128	-0.36576181650161743	-0.40738615	No	
row_91	ARFGAP1	7153	-0.3732907176017761	-0.4081502	No	
row_92	ALS2	7157	-0.37408703565597534	-0.4068772	No	
row_93	DENND1A	7200	-0.3855607509613037	-0.40933314	No	
row_94	PDCD10	7271	-0.406718909740448	-0.41441223	No	
