NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HOMER1	140	4.307103157043457	0.005798988	No	
row_1	EIF4E	284	3.4708878993988037	0.0075546945	No	
row_2	RARA	589	2.6405277252197266	-0.009979679	No	
row_3	ITGB1	726	2.3575551509857178	-0.012544425	No	
row_4	KAT2A	928	2.095154285430908	-0.022570165	No	
row_5	ABHD6	1026	1.947605013847351	-0.023205003	No	
row_6	EIF4A3	1104	1.826635479927063	-0.0224495	No	
row_7	DVL1	1121	1.813934087753296	-0.01585444	No	
row_8	CD38	1131	1.8026981353759766	-0.008633155	No	
row_9	PSMC5	1187	1.7450973987579346	-0.0061170002	No	
row_10	USP46	1529	1.428121566772461	-0.03266977	No	
row_11	SLC6A6	1623	1.3577284812927246	-0.035565563	No	
row_12	ATP2A2	1847	1.1852773427963257	-0.051801845	No	
row_13	TNF	1857	1.1795778274536133	-0.04737739	No	
row_14	EIF2AK4	1997	1.08085036277771	-0.055962518	No	
row_15	YTHDF1	2049	1.0418590307235718	-0.056216136	No	
row_16	ATF4	2079	1.020234227180481	-0.054440178	No	
row_17	BCR	2090	1.0153995752334595	-0.05084929	No	
row_18	RPL22	2207	0.9514981508255005	-0.05779171	No	
row_19	YWHAG	2235	0.9311668276786804	-0.056222197	No	
row_20	P2RY1	2239	0.9300537109375	-0.052337717	No	
row_21	HRAS	2268	0.9133395552635193	-0.050944887	No	
row_22	ADORA2A	2270	0.9115440249443054	-0.046950158	No	
row_23	ARF1	2281	0.9073037505149841	-0.043844447	No	
row_24	BTBD9	2358	0.8687053918838501	-0.047291875	No	
row_25	AGER	2378	0.8617449402809143	-0.045260634	No	
row_26	PNKD	2412	0.8469061851501465	-0.04464931	No	
row_27	PRNP	2448	0.833339273929596	-0.044292208	No	
row_28	PREPL	2525	0.7884347438812256	-0.048099924	No	
row_29	STXBP5	2674	0.7302696108818054	-0.059128594	No	
row_30	NF1	2828	0.6584988832473755	-0.07096273	No	
row_31	ZDHHC3	3060	0.5758676528930664	-0.090707615	No	
row_32	NPTN	3325	0.48293378949165344	-0.11405958	No	
row_33	BEGAIN	3453	0.444381445646286	-0.12434147	No	
row_34	NCDN	3555	0.4124475121498108	-0.13225341	No	
row_35	ANAPC2	3574	0.4060840308666229	-0.13217069	No	
row_36	PRKACA	3725	0.36346736550331116	-0.14503907	No	
row_37	SLC12A2	3754	0.35549870133399963	-0.14615005	No	
row_38	PPP3CB	3782	0.3463842570781708	-0.1472053	No	
row_39	GIT1	3793	0.3436580300331116	-0.14662947	No	
