NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90AB1	138	4.3175764083862305	0.026543036	No	
row_1	IFITM2	355	3.2235448360443115	0.035559308	No	
row_2	SHMT2	458	2.9282169342041016	0.052757192	No	
row_3	PTPN11	740	2.347698926925659	0.04749775	No	
row_4	YTHDF2	784	2.276158094406128	0.0643354	No	
row_5	CDC37	1017	1.9629452228546143	0.06021978	No	
row_6	UBE2K	1224	1.7054567337036133	0.056220233	No	
row_7	PTPN6	1261	1.6649576425552368	0.06810189	No	
row_8	TREX1	1334	1.596392273902893	0.07591049	No	
row_9	STAT1	1746	1.2662103176116943	0.048267923	No	
row_10	IFITM3	1803	1.2187999486923218	0.05413108	No	
row_11	MAVS	2038	1.0496695041656494	0.04141878	No	
row_12	CACTIN	3001	0.5948958396911621	-0.045084216	No	
row_13	PTPN2	3091	0.5618223547935486	-0.048422825	No	
row_14	CNOT7	3557	0.41228121519088745	-0.08908766	No	
row_15	IRAK1	3992	0.29093068838119507	-0.1279054	No	
row_16	METTL3	4170	0.2477288842201233	-0.14254862	No	
row_17	MUL1	4181	0.24634422361850739	-0.14123747	No	
row_18	TRIM41	4847	0.09705343097448349	-0.20392583	No	
row_19	TYK2	4959	0.07776691764593124	-0.21382296	No	
row_20	FADD	4973	0.07463923841714859	-0.21437895	No	
row_21	IRF3	5240	0.02923661842942238	-0.23954251	No	
row_22	LSM14A	5440	-0.006627893075346947	-0.2585082	No	
row_23	RNF185	6242	-0.14334315061569214	-0.33377367	No	
row_24	YTHDF3	6503	-0.1996857225894928	-0.3567948	No	
row_25	NLRC5	7589	-0.5249650478363037	-0.45570165	No	
row_26	TBK1	8116	-0.7449130415916443	-0.49913734	No	
row_27	SETD2	8583	-1.0192077159881592	-0.53431183	No	
row_28	TTLL12	8917	-1.2440911531448364	-0.5547003	No	
row_29	MYD88	9262	-1.582313060760498	-0.5730276	No	
row_30	ISG15	9481	-1.8457163572311401	-0.57688355	Yes	
row_31	SAMHD1	9578	-2.0054101943969727	-0.5676052	Yes	
row_32	IFNAR1	9640	-2.102360725402832	-0.5540881	Yes	
row_33	JAK1	9673	-2.1688880920410156	-0.537186	Yes	
row_34	TRIM56	9788	-2.404879570007324	-0.5259521	Yes	
row_35	ADAR	9837	-2.490891695022583	-0.50761616	Yes	
row_36	ZBP1	9897	-2.6100118160247803	-0.48923564	Yes	
row_37	OAS3	9950	-2.777846336364746	-0.46864116	Yes	
row_38	USP18	9999	-2.905763626098633	-0.4464869	Yes	
row_39	IFIT1	10040	-3.031649589538574	-0.42240915	Yes	
row_40	MX1	10059	-3.0941247940063477	-0.39565295	Yes	
row_41	SMPD1	10090	-3.2183468341827393	-0.3689008	Yes	
row_42	OAS2	10226	-3.812650442123413	-0.34671807	Yes	
row_43	SP100	10256	-4.05659294128418	-0.3121554	Yes	
row_44	IKBKE	10391	-5.039370536804199	-0.27858678	Yes	
row_45	IFI27	10417	-5.280820846557617	-0.23237431	Yes	
row_46	STAT2	10442	-5.71439266204834	-0.18207577	Yes	
row_47	PTPN1	10443	-5.717962741851807	-0.12944971	Yes	
row_48	IFNAR2	10449	-5.816096782684326	-0.076398514	Yes	
row_49	IRF7	10507	-8.903440475463867	9.567943E-5	Yes	
