NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.055958174	Yes	
row_1	RPF2	22	6.088015079498291	0.10297599	Yes	
row_2	C1QBP	32	5.812370300292969	0.14800864	Yes	
row_3	NIP7	34	5.753580570220947	0.1933423	Yes	
row_4	PPAN	35	5.748079776763916	0.23872817	Yes	
row_5	MRTO4	74	4.910591125488281	0.27386674	Yes	
row_6	RPL5	82	4.819319725036621	0.31124973	Yes	
row_7	NOP2	91	4.713138580322266	0.3476987	Yes	
row_8	NLE1	98	4.633648872375488	0.3837113	Yes	
row_9	MRPS7	150	4.276183605194092	0.4125973	Yes	
row_10	BRIX1	222	3.784864664077759	0.43569094	Yes	
row_11	MRPL20	386	3.131471633911133	0.4448259	Yes	
row_12	RPS5	399	3.0786116123199463	0.4679863	Yes	
row_13	RPL6	410	3.04449462890625	0.49106863	Yes	
row_14	BOP1	478	2.8917932510375977	0.5074933	Yes	
row_15	PWP2	480	2.8871116638183594	0.5301938	Yes	
row_16	RPL10	569	2.6917612552642822	0.5430305	Yes	
row_17	RPL3	590	2.6358344554901123	0.56192964	Yes	
row_18	RPLP0	635	2.5317580699920654	0.57771146	Yes	
row_19	RRP7A	710	2.40057635307312	0.58958805	Yes	
row_20	MDN1	718	2.3808038234710693	0.6077169	Yes	
row_21	DHX29	744	2.336890459060669	0.62377745	Yes	
row_22	EIF2A	773	2.2922065258026123	0.6391982	Yes	
row_23	EIF6	834	2.214841842651367	0.6509473	Yes	
row_24	DDX3X	857	2.1897435188293457	0.66613287	Yes	
row_25	RPS27L	866	2.179076671600342	0.6825733	Yes	
row_26	RPL11	939	2.074333667755127	0.69206524	Yes	
row_27	MRPL22	969	2.032845973968506	0.7053425	Yes	
row_28	XRCC5	1030	1.941595435142517	0.7149341	Yes	
row_29	DHX37	1063	1.8803589344024658	0.72672033	Yes	
row_30	FASTKD2	1077	1.8634841442108154	0.7401907	Yes	
row_31	RRS1	1087	1.8490773439407349	0.75392985	Yes	
row_32	DHX30	1133	1.8008278608322144	0.7638447	Yes	
row_33	MRPS2	1237	1.6911718845367432	0.7673462	Yes	
row_34	RPS15	1541	1.4204641580581665	0.74958056	No	
row_35	RPL38	1684	1.3114804029464722	0.7463538	No	
row_36	ABT1	1748	1.2659112215042114	0.7503234	No	
row_37	RPS19	1859	1.1772502660751343	0.74909747	No	
row_38	RPL23A	1911	1.142180323600769	0.7532379	No	
row_39	RPL24	2021	1.0603479146957397	0.7511846	No	
row_40	MTERF4	2122	0.9961355924606323	0.7494851	No	
row_41	RPS14	2142	0.9877768158912659	0.7554671	No	
row_42	RPSA	2693	0.7191480994224548	0.70853895	No	
row_43	RPS28	2753	0.6904450058937073	0.7083474	No	
row_44	ERAL1	3142	0.5474912524223328	0.67555887	No	
row_45	RPS27	3409	0.458025187253952	0.65373296	No	
row_46	NGRN	3520	0.42241424322128296	0.64654696	No	
row_47	TRAF7	3893	0.3180638253688812	0.6134773	No	
row_48	MRPS11	4332	0.2110665887594223	0.57325	No	
row_49	MTERF3	4648	0.13568125665187836	0.5441922	No	
row_50	MPV17L2	4735	0.11657658219337463	0.53688693	No	
row_51	SBDS	6110	-0.11620427668094635	0.4063841	No	
row_52	DDX28	6370	-0.17027270793914795	0.38295573	No	
row_53	PRKDC	9296	-1.613518238067627	0.11592534	No	
