NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.011945579	Yes	
row_1	NOP16	15	6.486106872558594	0.023182662	Yes	
row_2	NHP2	20	6.136864185333252	0.03379365	Yes	
row_3	RPF2	22	6.088015079498291	0.044610064	Yes	
row_4	C1QBP	32	5.812370300292969	0.054151002	Yes	
row_5	NIP7	34	5.753580570220947	0.06436787	Yes	
row_6	PPAN	35	5.748079776763916	0.07467254	Yes	
row_7	WDR43	54	5.387223243713379	0.08257232	Yes	
row_8	RSL1D1	58	5.337189197540283	0.09184738	Yes	
row_9	LYAR	70	4.969549179077148	0.09968205	Yes	
row_10	RPL7A	71	4.968560695648193	0.10858926	Yes	
row_11	HEATR3	73	4.9117655754089355	0.117297	Yes	
row_12	MRTO4	74	4.910591125488281	0.12610029	Yes	
row_13	NOP56	78	4.855929374694824	0.1345126	Yes	
row_14	RPL5	82	4.819319725036621	0.14285927	Yes	
row_15	NOP58	84	4.801177978515625	0.15136875	Yes	
row_16	NOP2	91	4.713138580322266	0.15923208	Yes	
row_17	NLE1	98	4.633648872375488	0.1669529	Yes	
row_18	FBL	99	4.607914924621582	0.17521358	Yes	
row_19	WDR74	101	4.591402530670166	0.18334699	Yes	
row_20	RCL1	110	4.508786678314209	0.19064863	Yes	
row_21	DKC1	112	4.5052490234375	0.1986276	Yes	
row_22	LTV1	122	4.442068099975586	0.20571198	Yes	
row_23	FTSJ3	124	4.435980796813965	0.21356677	Yes	
row_24	RRP9	130	4.393106460571289	0.22095402	Yes	
row_25	NOLC1	141	4.301348686218262	0.22768846	Yes	
row_26	DDX56	142	4.30035400390625	0.23539777	Yes	
row_27	MRPS7	150	4.276183605194092	0.2423801	Yes	
row_28	BYSL	156	4.244655609130859	0.24950123	Yes	
row_29	GPATCH4	157	4.244081020355225	0.25710964	Yes	
row_30	MYBBP1A	159	4.208714008331299	0.264557	Yes	
row_31	DDX18	170	4.116891384124756	0.27096078	Yes	
row_32	AATF	193	3.981710910797119	0.2759502	Yes	
row_33	RSL24D1	212	3.884611129760742	0.2811562	Yes	
row_34	GTPBP4	213	3.8796870708465576	0.2881114	Yes	
row_35	RRP1B	220	3.8092150688171387	0.29435423	Yes	
row_36	METTL16	221	3.7860822677612305	0.30114162	Yes	
row_37	BRIX1	222	3.784864664077759	0.3079268	Yes	
row_38	DIMT1	243	3.689640522003174	0.31258795	Yes	
row_39	RRP15	247	3.667435646057129	0.31886962	Yes	
row_40	PA2G4	254	3.623271942138672	0.32477912	Yes	
