NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.10967208	Yes	
row_1	NOP2	91	4.713138580322266	0.18868698	Yes	
row_2	FBL	99	4.607914924621582	0.27180016	Yes	
row_3	DKC1	112	4.5052490234375	0.35256958	Yes	
row_4	FTSJ3	124	4.435980796813965	0.43217498	Yes	
row_5	METTL16	221	3.7860822677612305	0.49185324	Yes	
row_6	DIMT1	243	3.689640522003174	0.5569345	Yes	
row_7	NAF1	365	3.2023470401763916	0.60361373	Yes	
row_8	GAR1	374	3.170020818710327	0.6604877	Yes	
row_9	NAT10	637	2.530890464782715	0.68150437	Yes	
row_10	METTL5	794	2.2651941776275635	0.7078046	Yes	
row_11	NSUN5	950	2.0657243728637695	0.7305736	Yes	
row_12	NOP10	1573	1.3965778350830078	0.696615	No	
row_13	RPUSD2	1599	1.3742631673812866	0.71921635	No	
row_14	MRM1	2019	1.0616743564605713	0.69853884	No	
row_15	TFB1M	2247	0.9265493750572205	0.69372505	No	
row_16	RPUSD1	2687	0.722740888595581	0.6649766	No	
row_17	FDXACB1	3045	0.5804686546325684	0.6414658	No	
row_18	TRMT112	3210	0.5211318731307983	0.6352922	No	
row_19	EMG1	3521	0.4217608571052551	0.61338043	No	
row_20	NSUN4	3534	0.41932061314582825	0.6198595	No	
row_21	ZCCHC4	3773	0.350791871547699	0.60352767	No	
row_22	TFB2M	4147	0.2526855170726776	0.5725304	No	
row_23	TRMT61B	4419	0.1874253749847412	0.5500794	No	
row_24	RPUSD4	4631	0.13912370800971985	0.53247535	No	
row_25	TSR3	6276	-0.1492062360048294	0.378318	No	
row_26	METTL15	6794	-0.2717399597167969	0.3339267	No	
row_27	NSUN3	7346	-0.4343094527721405	0.289247	No	
row_28	RPUSD3	7967	-0.6806291937828064	0.24246189	No	
