NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UNC119	76	4.880077362060547	0.0078012315	No	
row_1	HOMER1	140	4.307103157043457	0.015084363	No	
row_2	PENK	265	3.5518147945404053	0.014059241	No	
row_3	EIF4E	284	3.4708878993988037	0.023126248	No	
row_4	USP14	363	3.2059450149536133	0.025511686	No	
row_5	RARA	589	2.6405277252197266	0.011788262	No	
row_6	GLS	615	2.575282096862793	0.017379286	No	
row_7	ITGB1	726	2.3575551509857178	0.013996237	No	
row_8	KAT2A	928	2.095154285430908	9.142698E-4	No	
row_9	CHRM4	963	2.0408918857574463	0.0039605442	No	
row_10	ABHD6	1026	1.947605013847351	0.0039834054	No	
row_11	EIF4A3	1104	1.826635479927063	0.002165192	No	
row_12	DVL1	1121	1.813934087753296	0.006260332	No	
row_13	CD38	1131	1.8026981353759766	0.011003561	No	
row_14	PSMC5	1187	1.7450973987579346	0.011078049	No	
row_15	SYNJ2BP	1355	1.578872561454773	-2.9584684E-4	No	
row_16	PDZD11	1410	1.530951738357544	-7.9156127E-4	No	
row_17	DOC2A	1433	1.5088932514190674	0.0017668025	No	
row_18	USP46	1529	1.428121566772461	-0.0030507485	No	
row_19	SLC6A6	1623	1.3577284812927246	-0.007892634	No	
row_20	KCMF1	1640	1.34348726272583	-0.0052645355	No	
row_21	ATP2A2	1847	1.1852773427963257	-0.021671811	No	
row_22	TNF	1857	1.1795778274536133	-0.01887172	No	
row_23	CTNNB1	1985	1.0906826257705688	-0.027864406	No	
row_24	EIF2AK4	1997	1.08085036277771	-0.025567368	No	
row_25	YTHDF1	2049	1.0418590307235718	-0.0272955	No	
row_26	ATF4	2079	1.020234227180481	-0.026944097	No	
row_27	BCR	2090	1.0153995752334595	-0.02475357	No	
row_28	COLQ	2114	1.0015041828155518	-0.02387504	No	
row_29	AKT1	2128	0.993401050567627	-0.02204588	No	
row_30	RPL22	2207	0.9514981508255005	-0.026690712	No	
row_31	YWHAG	2235	0.9311668276786804	-0.026421878	No	
row_32	P2RY1	2239	0.9300537109375	-0.023814367	No	
row_33	HRAS	2268	0.9133395552635193	-0.023698715	No	
row_34	ADORA2A	2270	0.9115440249443054	-0.020953745	No	
row_35	ARF1	2281	0.9073037505149841	-0.019100305	No	
row_36	BTBD9	2358	0.8687053918838501	-0.023808138	No	
row_37	AGER	2378	0.8617449402809143	-0.022975074	No	
row_38	PARK7	2387	0.8584687113761902	-0.021078741	No	
row_39	PNKD	2412	0.8469061851501465	-0.020779897	No	
row_40	PRNP	2448	0.833339273929596	-0.021596845	No	
row_41	DAG1	2489	0.8073855638504028	-0.022982676	No	
row_42	PREPL	2525	0.7884347438812256	-0.023939652	No	
row_43	STXBP5	2674	0.7302696108818054	-0.036105633	No	
row_44	NF1	2828	0.6584988832473755	-0.04898337	No	
row_45	RNF10	2987	0.6004833579063416	-0.062529966	No	
row_46	SLC1A4	3050	0.5780242681503296	-0.066778004	No	
row_47	SLC29A1	3051	0.5779874920845032	-0.06497561	No	
row_48	ZDHHC3	3060	0.5758676528930664	-0.06396054	No	
row_49	LY6E	3148	0.5450490117073059	-0.07075115	No	
row_50	ADARB1	3156	0.5400908589363098	-0.069750056	No	
row_51	PAFAH1B1	3246	0.511572003364563	-0.07684024	No	
row_52	KIF1B	3266	0.5030154585838318	-0.07712584	No	
row_53	NPTN	3325	0.48293378949165344	-0.08128005	No	
row_54	BEGAIN	3453	0.444381445646286	-0.09228816	No	
row_55	LRP6	3511	0.42574092745780945	-0.096523136	No	
row_56	SLC18A2	3526	0.42082804441452026	-0.09657708	No	
row_57	NCDN	3555	0.4124475121498108	-0.09802341	No	
row_58	ANAPC2	3574	0.4060840308666229	-0.098513685	No	
row_59	SYNJ1	3618	0.39204299449920654	-0.10148749	No	
row_60	GNB1	3641	0.38542571663856506	-0.10243255	No	
row_61	PRKACA	3725	0.36346736550331116	-0.10939904	No	
row_62	SLC12A2	3754	0.35549870133399963	-0.111022964	No	
row_63	PPP3CB	3782	0.3463842570781708	-0.112577714	No	
row_64	P2RX4	3788	0.3455916941165924	-0.11198797	No	
row_65	GIT1	3793	0.3436580300331116	-0.11130667	No	
row_66	F2R	3823	0.3365781009197235	-0.11308718	No	
row_67	MAPK1	3867	0.3251020908355713	-0.11626973	No	
row_68	BSN	3917	0.3128594756126404	-0.12007599	No	
row_69	PLA2G6	3926	0.3105132579803467	-0.1198884	No	
row_70	PICK1	3955	0.30160805583000183	-0.12168038	No	
row_71	SERPINE2	3975	0.29693809151649475	-0.12260861	No	
row_72	AKAP5	4012	0.28546544909477234	-0.12523164	No	
row_73	ABL1	4184	0.24598664045333862	-0.14115237	No	
row_74	FARP1	4264	0.2232600599527359	-0.14816572	No	
row_75	USP8	4341	0.20936667919158936	-0.15492964	No	
