NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNB1	1985	1.0906826257705688	-0.15735377	No	
row_1	TMEM230	2216	0.9464200735092163	-0.15148552	No	
row_2	BLOC1S2	3366	0.4700653553009033	-0.24730793	No	
row_3	SYNJ1	3618	0.39204299449920654	-0.25973636	No	
row_4	AP3S2	3996	0.29004165530204773	-0.28718546	No	
row_5	BLOC1S5	5144	0.044072624295949936	-0.39533675	No	
row_6	BLOC1S6	5386	0.003355523105710745	-0.41823432	No	
row_7	DTNBP1	5508	-0.01624082587659359	-0.4293028	No	
row_8	TOR1A	5799	-0.06416302919387817	-0.45508885	No	
row_9	AP3M1	5837	-0.07013211399316788	-0.45655823	No	
row_10	BLOC1S4	6065	-0.10874344408512115	-0.4750226	No	
row_11	SYN3	6148	-0.12385354936122894	-0.47920707	No	
row_12	SNAPIN	6465	-0.19215638935565948	-0.50371236	No	
row_13	KIF5B	6842	-0.2849843502044678	-0.53121465	No	
row_14	SPG11	6937	-0.3109368681907654	-0.53104585	No	
row_15	BLOC1S3	7661	-0.5544203519821167	-0.58374023	No	
row_16	PICALM	7760	-0.5947849750518799	-0.57561094	No	
row_17	AP3M2	8820	-1.1657040119171143	-0.6424011	No	
row_18	CDK5	9458	-1.8109147548675537	-0.64996165	Yes	
row_19	BLOC1S1	9507	-1.884562611579895	-0.5991554	Yes	
row_20	PTEN	9580	-2.0087554454803467	-0.5469893	Yes	
row_21	RAB3A	9736	-2.2969284057617188	-0.49427384	Yes	
row_22	AP3S1	9771	-2.3667616844177246	-0.42796016	Yes	
row_23	AP3B1	9791	-2.407599687576294	-0.35901496	Yes	
row_24	RAB27A	9799	-2.4284584522247314	-0.2883117	Yes	
row_25	PINK1	9865	-2.55189847946167	-0.21951495	Yes	
row_26	DNM2	9942	-2.750030279159546	-0.14594482	Yes	
row_27	AP3D1	10038	-3.020979404449463	-0.06622461	Yes	
row_28	KIF5C	10218	-3.776057481765747	0.027671704	Yes	
