NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PUS1	44	5.471492767333984	0.049173947	Yes	
row_1	METTL1	65	5.024819850921631	0.0962898	Yes	
row_2	PUS7	126	4.427617073059082	0.13374369	Yes	
row_3	TRMT61A	148	4.282327175140381	0.17351831	Yes	
row_4	NSUN2	226	3.771775007247925	0.20294279	Yes	
row_5	WDR4	246	3.6724400520324707	0.23695776	Yes	
row_6	THUMPD1	312	3.3666422367095947	0.2635792	Yes	
row_7	TRMT6	316	3.3524951934814453	0.29600582	Yes	
row_8	PUSL1	342	3.2752764225006104	0.32557005	Yes	
row_9	TRMT5	377	3.1571292877197266	0.35311863	Yes	
row_10	DUS1L	414	3.033384084701538	0.379268	Yes	
row_11	ELP3	415	3.032257318496704	0.40885726	Yes	
row_12	DPH3	523	2.8006491661071777	0.42592955	Yes	
row_13	TRMT11	545	2.7660491466522217	0.4509081	Yes	
row_14	TRMT1	602	2.619614839553833	0.47110263	Yes	
row_15	NAT10	637	2.530890464782715	0.49254027	Yes	
row_16	ELP5	669	2.476346731185913	0.51373327	Yes	
row_17	TRMT10A	686	2.443743944168091	0.53604597	Yes	
row_18	DUS4L	823	2.227350950241089	0.544744	Yes	
row_19	QTRT1	848	2.1976094245910645	0.5638881	Yes	
row_20	SSB	856	2.1898770332336426	0.5845862	Yes	
row_21	TRMT10C	891	2.133017063140869	0.6021414	Yes	
row_22	DTWD2	972	2.024434804916382	0.6142274	Yes	
row_23	THG1L	1064	1.8776541948318481	0.62382674	Yes	
row_24	CTU2	1159	1.7704834938049316	0.63209265	Yes	
row_25	TYW3	1170	1.7553842067718506	0.6482634	Yes	
row_26	TRUB1	1553	1.4074712991714478	0.6253796	No	
row_27	DUS3L	1613	1.3645975589752197	0.63303995	No	
row_28	OSGEPL1	2124	0.9953184127807617	0.5938644	No	
row_29	ALKBH8	2177	0.9703547358512878	0.5983486	No	
row_30	WDR6	2253	0.924330472946167	0.60017896	No	
row_31	METTL8	2274	0.9103381633758545	0.607145	No	
row_32	PUS10	2490	0.8070850372314453	0.594411	No	
row_33	FTSJ1	2527	0.7876542210578918	0.59864616	No	
row_34	HSD17B10	2769	0.6855514645576477	0.5822339	No	
row_35	TRMT13	2776	0.6826492547988892	0.58832014	No	
row_36	MTO1	2816	0.6636104583740234	0.5910573	No	
row_37	TRMT44	2833	0.6571670174598694	0.5959363	No	
row_38	THUMPD3	2927	0.6187943816184998	0.5930597	No	
row_39	ADAT2	2960	0.6091679334640503	0.5959366	No	
row_40	MTFMT	3057	0.5769469141960144	0.5923641	No	
row_41	ELP4	3187	0.5290684103965759	0.58516103	No	
row_42	METTL6	3208	0.5214971303939819	0.5883327	No	
row_43	TRMT112	3210	0.5211318731307983	0.5933221	No	
row_44	PUS3	3276	0.4982883036136627	0.5919537	No	
row_45	CDKAL1	3277	0.4976304769515991	0.5968096	No	
row_46	TYW1	3375	0.468146950006485	0.5920796	No	
row_47	TYW5	3447	0.4458756446838379	0.5896245	No	
row_48	LCMT2	3603	0.39784738421440125	0.5786486	No	
row_49	TRMT1L	3619	0.391577810049057	0.58103186	No	
row_50	ALKBH1	3628	0.38843613862991333	0.5840554	No	
row_51	TPRKB	3647	0.3837950527667999	0.58607507	No	
row_52	TRMT10B	3648	0.3835357129573822	0.5898177	No	
row_53	TRMU	3783	0.3462536931037903	0.5803514	No	
row_54	KTI12	3818	0.3379180133342743	0.5803897	No	
row_55	DTWD1	4250	0.22608385980129242	0.5412806	No	
row_56	CTU1	4304	0.21708768606185913	0.5383185	No	
row_57	TRMT61B	4419	0.1874253749847412	0.5292195	No	
row_58	OSGEP	4589	0.14563685655593872	0.5144405	No	
row_59	RPUSD4	4631	0.13912370800971985	0.5118679	No	
row_60	TRMT2B	4743	0.11547058820724487	0.5023543	No	
row_61	AARS2	5075	0.056082870811223984	0.4711723	No	
row_62	TRIT1	5331	0.0139982420951128	0.44686487	No	
row_63	TRMT12	5340	0.011854113079607487	0.4462137	No	
row_64	NSUN6	5856	-0.07215705513954163	0.39755046	No	
row_65	MOCS3	6164	-0.12614452838897705	0.36935273	No	
row_66	DUS2	6476	-0.19492176175117493	0.3414427	No	
row_67	CDK5RAP1	6524	-0.20533797144889832	0.33894104	No	
row_68	GTPBP3	6735	-0.2580142319202423	0.32132843	No	
row_69	BCDIN3D	6929	-0.3089165687561035	0.30584213	No	
row_70	DALRD3	7048	-0.3414260149002075	0.29786247	No	
row_71	URM1	7079	-0.34950360655784607	0.2983972	No	
row_72	ANKRD16	7154	-0.3734855353832245	0.2949482	No	
row_73	NSUN3	7346	-0.4343094527721405	0.2808772	No	
row_74	TRDMT1	7638	-0.5475849509239197	0.2583257	No	
row_75	THADA	7936	-0.669925332069397	0.23639284	No	
row_76	THUMPD2	8605	-1.0309782028198242	0.18241955	No	
