NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEDD4	288	3.463336944580078	-0.0034752628	No	
row_1	HSPA8	818	2.2368874549865723	-0.03875661	No	
row_2	SNX27	1636	1.3446143865585327	-0.108029775	No	
row_3	PTPN23	1690	1.307965874671936	-0.10397081	No	
row_4	CHMP2B	1812	1.2125968933105469	-0.10712982	No	
row_5	ARL8B	2018	1.0621474981307983	-0.11943385	No	
row_6	IGF2R	2313	0.8888471722602844	-0.1415246	No	
row_7	CHMP7	2347	0.8732960224151611	-0.13858463	No	
row_8	SNX16	2477	0.8142721056938171	-0.14530498	No	
row_9	ATP13A2	2657	0.7366399168968201	-0.15738526	No	
row_10	NCOA4	2697	0.7162192463874817	-0.15612374	No	
row_11	HOOK1	2729	0.7021812200546265	-0.15419	No	
row_12	SMURF1	2781	0.6805956959724426	-0.15433392	No	
row_13	MVB12A	2887	0.6307353377342224	-0.16002849	No	
row_14	GGA3	2890	0.6301999688148499	-0.15580577	No	
row_15	VCP	2943	0.6152405142784119	-0.1565039	No	
row_16	AKTIP	2961	0.608884871006012	-0.15387535	No	
row_17	VPS35	2978	0.6026925444602966	-0.15119384	No	
row_18	HOOK3	3151	0.5434861779212952	-0.16395317	No	
row_19	AP4M1	3178	0.533877432346344	-0.16271703	No	
row_20	AP1G1	3243	0.512065589427948	-0.16529387	No	
row_21	VPS54	3392	0.463849812746048	-0.17629945	No	
row_22	STAM	3487	0.4336663782596588	-0.18231522	No	
row_23	NAGPA	3630	0.3879293203353882	-0.1932748	No	
row_24	SNF8	3645	0.3841746151447296	-0.19193165	No	
row_25	VPS13A	3882	0.3218328058719635	-0.21240845	No	
row_26	MTM1	3986	0.2926710247993469	-0.22027895	No	
row_27	AP3S2	3996	0.29004165530204773	-0.21911372	No	
row_28	CHMP6	4099	0.2635294795036316	-0.22709206	No	
row_29	VTI1B	4425	0.18646080791950226	-0.25708985	No	
row_30	VPS25	4643	0.13684363663196564	-0.27703264	No	
row_31	CHMP3	4692	0.126191183924675	-0.2807719	No	
row_32	MON1B	4699	0.12459641695022583	-0.28047687	No	
row_33	RBSN	4733	0.11707521975040436	-0.2828352	No	
row_34	VTA1	4816	0.10374898463487625	-0.29000658	No	
row_35	CLN3	4893	0.08924904465675354	-0.29670164	No	
row_36	VPS36	5084	0.05469128116965294	-0.31461936	No	
row_37	HGS	5105	0.050108492374420166	-0.31619468	No	
row_38	TRAK1	5133	0.045317601412534714	-0.31847784	No	
row_39	TGFBRAP1	5282	0.022247161716222763	-0.3325774	No	
row_40	VPS41	5403	-7.209969917312264E-4	-0.34413084	No	
row_41	HMGXB4	5431	-0.005486031994223595	-0.34669304	No	
row_42	EPG5	5459	-0.009300347417593002	-0.34922853	No	
row_43	RAB12	5486	-0.013142862357199192	-0.3516408	No	
row_44	PIK3R4	5571	-0.02695922739803791	-0.35954285	No	
row_45	TSG101	5622	-0.035333648324012756	-0.3641113	No	
row_46	GCC2	5653	-0.03937581926584244	-0.36672506	No	
row_47	VPS52	5697	-0.04642919450998306	-0.37054154	No	
row_48	AP3M1	5837	-0.07013211399316788	-0.38343874	No	
row_49	VPS53	5860	-0.0727364644408226	-0.38504818	No	
row_50	VPS13C	5879	-0.07650086283683777	-0.38624597	No	
row_51	M6PR	5903	-0.08058492094278336	-0.38789672	No	
row_52	VPS4B	5991	-0.09554105252027512	-0.39560723	No	
row_53	CHMP2A	6138	-0.12222728878259659	-0.4088137	No	
row_54	VPS33B	6192	-0.13256411254405975	-0.41298988	No	
row_55	VPS37C	6282	-0.1505172848701477	-0.42050785	No	
row_56	CHMP5	6444	-0.18707942962646484	-0.43470472	No	
row_57	SNAPIN	6465	-0.19215638935565948	-0.43528485	No	
row_58	RNF157	6593	-0.22363021969795227	-0.44595075	No	
row_59	CCDC91	6601	-0.22481253743171692	-0.44504988	No	
row_60	VPS37A	6661	-0.23818396031856537	-0.44906402	No	
row_61	VTI1A	6690	-0.2476426064968109	-0.45002595	No	
row_62	VPS33A	6737	-0.25804272294044495	-0.4526488	No	
row_63	HSPA1A	6850	-0.28759294748306274	-0.46142173	No	
row_64	VPS51	6867	-0.2913997173309326	-0.46092123	No	
row_65	ANKFY1	6883	-0.29655224084854126	-0.46028832	No	
row_66	VPS11	7033	-0.3373187482357025	-0.47227675	No	
row_67	USE1	7069	-0.3473348617553711	-0.47321445	No	
row_68	ALS2	7157	-0.37408703565597534	-0.47897336	No	
row_69	ZFYVE16	7238	-0.39491063356399536	-0.48391217	No	
row_70	NPC1	7257	-0.4014928638935089	-0.48283297	No	
row_71	VIPAS39	8004	-0.6948633193969727	-0.5498197	No	
row_72	ATG14	8020	-0.7015144228935242	-0.5463495	No	
row_73	CLEC16A	8052	-0.7153396010398865	-0.5443236	No	
row_74	STX8	8360	-0.8776074647903442	-0.56774527	Yes	
row_75	SCYL2	8408	-0.9188916683197021	-0.56583434	Yes	
row_76	MON1A	8420	-0.9268668293952942	-0.56039995	Yes	
row_77	GAK	8490	-0.9598431587219238	-0.56032115	Yes	
row_78	VPS13D	8498	-0.9676570892333984	-0.5542158	Yes	
row_79	TPCN2	8513	-0.9756613969802856	-0.5487285	Yes	
row_80	HGSNAT	8635	-1.0491383075714111	-0.55303276	Yes	
row_81	VPS37B	8651	-1.0608692169189453	-0.5470448	Yes	
row_82	ATP6V0D1	8652	-1.0611400604248047	-0.5396102	Yes	
row_83	GPRASP1	8764	-1.125009536743164	-0.5424197	Yes	
row_84	LEPROTL1	8774	-1.1291395425796509	-0.5353755	Yes	
row_85	UEVLD	8886	-1.2244961261749268	-0.5374879	Yes	
row_86	VPS16	8888	-1.2256020307540894	-0.52899736	Yes	
row_87	PLEKHM1	8903	-1.2334506511688232	-0.52170396	Yes	
row_88	BECN1	8924	-1.2545688152313232	-0.51484054	Yes	
row_89	VPS18	8983	-1.3073146343231201	-0.5112677	Yes	
row_90	RNF215	9048	-1.35124933719635	-0.507965	Yes	
row_91	TMEM50B	9160	-1.469649076461792	-0.50835985	Yes	
row_92	HOOK2	9165	-1.4750847816467285	-0.4984103	Yes	
row_93	VPS4A	9193	-1.5171880722045898	-0.49038115	Yes	
row_94	LAMP1	9273	-1.5893841981887817	-0.48685482	Yes	
row_95	LYST	9329	-1.6490334272384644	-0.4805989	Yes	
row_96	AP1G2	9333	-1.651697039604187	-0.46931565	Yes	
