NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAGOHB	121	4.447060585021973	0.033364397	Yes	
row_1	SNRPD3	196	3.9591190814971924	0.066302545	Yes	
row_2	SYNCRIP	264	3.5561676025390625	0.09583733	Yes	
row_3	PRPF19	361	3.2075374126434326	0.11906516	Yes	
row_4	LSM2	473	2.9005680084228516	0.1377501	Yes	
row_5	LSM3	539	2.776625871658325	0.15959375	Yes	
row_6	LSM7	555	2.735093832015991	0.18581313	Yes	
row_7	RBM8A	623	2.5522077083587646	0.20519556	Yes	
row_8	MAGOH	717	2.381319761276245	0.22035617	Yes	
row_9	HNRNPC	732	2.3542542457580566	0.2428203	Yes	
row_10	PPIE	736	2.3520004749298096	0.26631668	Yes	
row_11	SNRPD1	861	2.183228015899658	0.2765008	Yes	
row_12	SNRPA1	878	2.158540725708008	0.29679397	Yes	
row_13	HNRNPA3	910	2.115518093109131	0.31521338	Yes	
row_14	SNRPD2	1029	1.9434586763381958	0.32354835	Yes	
row_15	U2AF1	1072	1.8673869371414185	0.33840352	Yes	
row_16	PPWD1	1098	1.8353651762008667	0.35456544	Yes	
row_17	EIF4A3	1104	1.826635479927063	0.37255734	Yes	
row_18	SF3A3	1118	1.8166595697402954	0.38968107	Yes	
row_19	PPIL3	1139	1.7943583726882935	0.40590787	Yes	
row_20	CWC27	1256	1.6712841987609863	0.41168237	Yes	
row_21	BCAS2	1320	1.6065950393676758	0.42188615	Yes	
row_22	SRSF1	1383	1.5568795204162598	0.43168312	Yes	
row_23	ISY1	1385	1.5559405088424683	0.44732133	Yes	
row_24	SF3B3	1388	1.553826093673706	0.46284226	Yes	
row_25	SNRPE	1427	1.5157277584075928	0.474525	Yes	
row_26	PABPC1	1432	1.5094395875930786	0.48940524	Yes	
row_27	HNRNPK	1489	1.460379958152771	0.49880186	Yes	
row_28	SNRPG	1596	1.375427484512329	0.5025437	Yes	
row_29	SNRNP40	1629	1.3543497323989868	0.51317006	Yes	
row_30	SRRM1	1693	1.3063737154006958	0.5203379	Yes	
row_31	PRPF4B	1713	1.2905137538909912	0.5315656	Yes	
row_32	SNRPB	1742	1.2680326700210571	0.5417027	Yes	
row_33	PNN	1772	1.2482728958129883	0.55154413	Yes	
row_34	PRPF8	1781	1.2435016632080078	0.56335145	Yes	
row_35	SF3A1	1838	1.1939893960952759	0.57005423	Yes	
row_36	SNRPB2	1879	1.167508840560913	0.5780239	Yes	
row_37	ALYREF	2003	1.0773075819015503	0.5771205	Yes	
row_38	HNRNPA2B1	2061	1.034718632698059	0.5821168	Yes	
row_39	HNRNPA1	2294	0.8976671695709229	0.5689422	No	
row_40	EFTUD2	2325	0.8833879828453064	0.57499784	No	
row_41	PLRG1	2372	0.8629045486450195	0.5793118	No	
row_42	SF3A2	2518	0.7916849851608276	0.57341	No	
row_43	HNRNPU	2637	0.7454180717468262	0.56963	No	
row_44	DHX38	2732	0.7006983160972595	0.5676998	No	
row_45	HNRNPF	2782	0.6800739765167236	0.5698771	No	
row_46	CWC22	2796	0.6741167306900024	0.5754471	No	
row_47	SNRNP200	2953	0.6125817894935608	0.56667906	No	
row_48	CACTIN	3001	0.5948958396911621	0.5681869	No	
row_49	SF3B6	3107	0.558982789516449	0.5637685	No	
row_50	WDR83	3133	0.5509340167045593	0.56694186	No	
row_51	HNRNPM	3169	0.5366774797439575	0.5690119	No	
row_52	SRRM2	3177	0.533992350101471	0.5737404	No	
row_53	CDC5L	3216	0.5197610259056091	0.57535166	No	
row_54	SNRPF	3217	0.5191314220428467	0.5806013	No	
row_55	PPIL1	3615	0.3938753306865692	0.54650635	No	
row_56	SF3B1	3694	0.3711180090904236	0.54277796	No	
row_57	BUD31	3981	0.2949509024620056	0.51832914	No	
row_58	DDX41	4245	0.22666054964065552	0.4953958	No	
row_59	SF3B2	4376	0.19982269406318665	0.48494765	No	
row_60	HNRNPH1	4682	0.1276233047246933	0.4569844	No	
row_61	RBMX	4718	0.12084627151489258	0.45484945	No	
row_62	AQR	4984	0.07281941175460815	0.4301686	No	
row_63	DDX5	5008	0.06805035471916199	0.42865074	No	
row_64	DDX23	5235	0.030153995379805565	0.40727907	No	
row_65	SNW1	5452	-0.008000205270946026	0.38664255	No	
row_66	DHX35	5585	-0.02918832190334797	0.37427706	No	
row_67	ZCCHC8	5891	-0.07840379327535629	0.3458161	No	
row_68	PRPF6	5989	-0.09551072120666504	0.33747825	No	
row_69	DHX8	5992	-0.09560064226388931	0.33825317	No	
row_70	HNRNPR	6111	-0.11630388349294662	0.3281114	No	
row_71	SART1	6142	-0.12290751188993454	0.32647687	No	
row_72	GPATCH1	6144	-0.12329506129026413	0.32762775	No	
row_73	CWC15	7137	-0.36785784363746643	0.2362009	No	
row_74	TFIP11	7299	-0.4175819754600525	0.22498144	No	
row_75	CDC40	7582	-0.5218948125839233	0.20321123	No	
row_76	CRNKL1	7663	-0.5547316670417786	0.20114772	No	
row_77	XAB2	7846	-0.629507839679718	0.19005713	No	
row_78	RALY	7883	-0.6468195915222168	0.19314507	No	
row_79	FRG1	8256	-0.8222605586051941	0.16577998	No	
row_80	RBM22	8703	-1.0901057720184326	0.13402578	No	
row_81	SYF2	9459	-1.8121469020843506	0.07993563	No	
row_82	SLU7	9598	-2.035369634628296	0.087281756	No	
