NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTTN	197	3.9501850605010986	0.035901845	No	
row_1	MYO1E	581	2.665360689163208	0.03620485	No	
row_2	RDX	1893	1.1571455001831055	-0.07316461	No	
row_3	KRT19	1936	1.1231696605682373	-0.06161601	No	
row_4	CLASP1	2098	1.0101269483566284	-0.06301729	No	
row_5	DBNL	2846	0.6534960865974426	-0.12541628	No	
row_6	COTL1	3035	0.5844356417655945	-0.13530003	No	
row_7	GYPC	3166	0.5373888611793518	-0.1402877	No	
row_8	MAEA	3232	0.5160483121871948	-0.13935341	No	
row_9	MYADM	3720	0.36461886763572693	-0.18088512	No	
row_10	EEF1A1	3909	0.314325213432312	-0.19451238	No	
row_11	BSN	3917	0.3128594756126404	-0.19084601	No	
row_12	MAPRE1	4231	0.23191975057125092	-0.2175725	No	
row_13	MED28	4480	0.1737493872642517	-0.23888744	No	
row_14	LANCL2	4556	0.15221187472343445	-0.2439522	No	
row_15	ANLN	4908	0.08760447800159454	-0.27631375	No	
row_16	ACTR2	5175	0.03933853283524513	-0.30121335	No	
row_17	ACTN4	5194	0.03557427227497101	-0.30244213	No	
row_18	DLG4	5247	0.028126971796154976	-0.3070265	No	
row_19	NF2	5266	0.02485557831823826	-0.30840385	No	
row_20	WDR1	5470	-0.011236674152314663	-0.32766652	No	
row_21	CAPZA2	5601	-0.032599739730358124	-0.33965015	No	
row_22	SLC2A1	5765	-0.05912391096353531	-0.35442287	No	
row_23	TPM4	5788	-0.06252937018871307	-0.3556607	No	
row_24	ERC1	5929	-0.08515132963657379	-0.3678726	No	
row_25	MPP1	5977	-0.09269203245639801	-0.37108386	No	
row_26	WASL	5995	-0.09583466500043869	-0.37138182	No	
row_27	ACTB	6060	-0.10759586840867996	-0.37601268	No	
row_28	LLGL2	6257	-0.1468486338853836	-0.3927263	No	
row_29	PPP1R9B	6270	-0.1483168751001358	-0.39181864	No	
row_30	SNX9	6820	-0.2796918451786041	-0.44045812	No	
row_31	SPTB	6857	-0.2899876832962036	-0.43988279	No	
row_32	CAPZB	6924	-0.3079381585121155	-0.4419284	No	
row_33	CAP1	7224	-0.3910295367240906	-0.46511054	No	
row_34	LASP1	7374	-0.4428003430366516	-0.4732266	No	
row_35	HCLS1	8200	-0.7879077792167664	-0.541224	No	
row_36	IQGAP1	8451	-0.9415448307991028	-0.5520893	No	
row_37	DSTN	8610	-1.0328514575958252	-0.55288863	Yes	
row_38	ACTN1	8660	-1.0645071268081665	-0.54282266	Yes	
row_39	NUMA1	8733	-1.1068965196609497	-0.5343693	Yes	
row_40	MYH9	9058	-1.360723614692688	-0.5465037	Yes	
row_41	CORO1A	9252	-1.5723302364349365	-0.5431743	Yes	
row_42	EZR	9306	-1.6269704103469849	-0.5256957	Yes	
row_43	LLGL1	9413	-1.7457877397537231	-0.5116402	Yes	
row_44	FCHSD1	9656	-2.1332576274871826	-0.50522405	Yes	
row_45	SPTAN1	9814	-2.456233024597168	-0.48620084	Yes	
row_46	SPTBN1	9971	-2.8436357975006104	-0.46171293	Yes	
row_47	PRKCB	10053	-3.0783300399780273	-0.42679802	Yes	
row_48	FLOT2	10272	-4.150363445281982	-0.39013067	Yes	
row_49	AKAP13	10314	-4.412111759185791	-0.3329044	Yes	
row_50	FLOT1	10344	-4.6105055809021	-0.27178064	Yes	
row_51	NSMF	10351	-4.6484551429748535	-0.20793083	Yes	
row_52	GSN	10360	-4.751636028289795	-0.14284234	Yes	
row_53	UTRN	10406	-5.2369890213012695	-0.07456655	Yes	
row_54	CAPN2	10458	-6.0774149894714355	0.0047828886	Yes	
