NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL7A	71	4.968560695648193	0.02726192	Yes	
row_1	RPL5	82	4.819319725036621	0.05935335	Yes	
row_2	RPL7L1	305	3.392265558242798	0.061316445	Yes	
row_3	RPS5	399	3.0786116123199463	0.07350616	Yes	
row_4	RPL6	410	3.04449462890625	0.093425825	Yes	
row_5	RPL14	422	3.014019250869751	0.11304054	Yes	
row_6	RPL29	450	2.9373745918273926	0.1305944	Yes	
row_7	RPS6	510	2.8166792392730713	0.14425011	Yes	
row_8	RPS27A	513	2.815023422241211	0.16336367	Yes	
row_9	RPS4X	548	2.7600643634796143	0.17902988	Yes	
row_10	RPL15	557	2.7212674617767334	0.19692476	Yes	
row_11	MRPL1	559	2.7132859230041504	0.21543655	Yes	
row_12	RPS2	561	2.711987018585205	0.23393942	Yes	
row_13	RPL10	569	2.6917612552642822	0.25172788	Yes	
row_14	RPL3	590	2.6358344554901123	0.26788545	Yes	
row_15	RPS8	634	2.532282590866089	0.281126	Yes	
row_16	RPLP0	635	2.5317580699920654	0.2984888	Yes	
row_17	RPL8	701	2.4216012954711914	0.30885935	Yes	
row_18	RPL7	704	2.4203128814697266	0.32526597	Yes	
row_19	DHX29	744	2.336890459060669	0.3375503	Yes	
row_20	RPL36AL	761	2.307328224182129	0.3518388	Yes	
row_21	EIF2A	773	2.2922065258026123	0.3665033	Yes	
row_22	RPL35A	800	2.258913993835449	0.37950024	Yes	
row_23	RPS12	826	2.224153757095337	0.39235473	Yes	
row_24	RPL23	858	2.1888885498046875	0.40439168	Yes	
row_25	RPS27L	866	2.179076671600342	0.41866413	Yes	
row_26	RPL27	882	2.152318239212036	0.4319855	Yes	
row_27	RPL27A	918	2.1094157695770264	0.4430936	Yes	
row_28	RPL11	939	2.074333667755127	0.45540038	Yes	
row_29	RPS9	975	2.021801710128784	0.46590763	Yes	
row_30	RPL12	1095	1.838354468345642	0.46709692	Yes	
row_31	RPS7	1153	1.7798781394958496	0.47383416	Yes	
row_32	RPL10A	1160	1.7696541547775269	0.48539475	Yes	
row_33	RPL13	1162	1.7688004970550537	0.49742925	Yes	
row_34	RPL21	1186	1.7452713251113892	0.5071915	Yes	
row_35	RPS13	1205	1.7223217487335205	0.51727605	Yes	
row_36	RPL4	1216	1.713250756263733	0.52806604	Yes	
row_37	RPL18	1245	1.681915044784546	0.536914	Yes	
row_38	RPS11	1270	1.6573717594146729	0.5459775	Yes	
row_39	RPS26	1339	1.5911322832107544	0.5503648	Yes	
row_40	RPS10	1344	1.589475393295288	0.5608816	Yes	
row_41	RPL17	1358	1.576369285583496	0.570445	Yes	
row_42	RPL36A	1368	1.5657529830932617	0.5803194	Yes	
row_43	RPS23	1412	1.5284323692321777	0.5866755	Yes	
row_44	RPL9	1458	1.4907288551330566	0.59258115	Yes	
row_45	RPS16	1477	1.4720252752304077	0.6009492	Yes	
row_46	RPL28	1501	1.4542310237884521	0.6087155	Yes	
row_47	RPS15	1541	1.4204641580581665	0.6147149	Yes	
row_48	RPS25	1558	1.4029964208602905	0.6228015	Yes	
row_49	RPLP1	1611	1.3671284914016724	0.62718785	Yes	
row_50	RPL19	1645	1.3387044668197632	0.6332023	Yes	
row_51	RPL35	1677	1.3149930238723755	0.63924605	Yes	
row_52	RPL38	1684	1.3114804029464722	0.6476645	Yes	
row_53	RPS17	1703	1.2992138862609863	0.6548474	Yes	
row_54	RPL31	1785	1.2412376403808594	0.6555878	Yes	
row_55	RPS19	1859	1.1772502660751343	0.656657	Yes	
row_56	RPL23A	1911	1.142180323600769	0.65959656	Yes	
row_57	RPS3	1964	1.1039999723434448	0.66217834	Yes	
row_58	EIF2AK4	1997	1.08085036277771	0.6665204	Yes	
row_59	RPS24	2008	1.0733542442321777	0.67292196	Yes	
row_60	RPL24	2021	1.0603479146957397	0.67904246	Yes	
row_61	RPS20	2022	1.0602314472198486	0.6863135	Yes	
row_62	RPS14	2142	0.9877768158912659	0.68166953	Yes	
row_63	RPL37	2153	0.9832464456558228	0.68745315	Yes	
row_64	RPL22	2207	0.9514981508255005	0.68889314	Yes	
row_65	RPLP2	2380	0.860323965549469	0.6782897	No	
row_66	RPL39	2435	0.8374152183532715	0.67885137	No	
row_67	RPL13A	2472	0.8171855211257935	0.68100137	No	
row_68	RPS18	2559	0.7717136144638062	0.67804205	No	
row_69	RPSA	2693	0.7191480994224548	0.6702125	No	
row_70	RPS28	2753	0.6904450058937073	0.6692865	No	
row_71	RPL32	2821	0.6606336236000061	0.6673884	No	
row_72	UBA52	2849	0.649747908115387	0.6692537	No	
row_73	RPS21	2853	0.6483086347579956	0.67341197	No	
row_74	RPL36	2865	0.6430280208587646	0.6767664	No	
row_75	RPL41	2888	0.630519449710846	0.6789796	No	
row_76	RPS15A	3029	0.5872795581817627	0.669574	No	
row_77	RPL18A	3196	0.5269479751586914	0.65726	No	
row_78	RPS27	3409	0.458025187253952	0.64005953	No	
row_79	RPL34	3491	0.43178337812423706	0.63524866	No	
row_80	FXR2	3640	0.3855159282684326	0.62369186	No	
row_81	ZCCHC17	3655	0.3814223110675812	0.6249643	No	
row_82	RPS29	3927	0.31025052070617676	0.6010893	No	
row_83	MRPS11	4332	0.2110665887594223	0.5637727	No	
row_84	RPL37A	5186	0.037682950496673584	0.482185	No	
row_85	ISG15	9481	-1.8457163572311401	0.08282988	No	
row_86	B3GALT4	9729	-2.2769908905029297	0.07474564	No	
