NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSME2	119	4.474827766418457	0.032110557	Yes	
row_1	UCHL5	198	3.9457056522369385	0.06300289	Yes	
row_2	PSME3	237	3.7232120037078857	0.09556238	Yes	
row_3	TXNL1	266	3.5458548069000244	0.12735513	Yes	
row_4	PSMD7	328	3.3062021732330322	0.15365788	Yes	
row_5	PSMC6	331	3.2981128692626953	0.18553172	Yes	
row_6	USP14	363	3.2059450149536133	0.21373248	Yes	
row_7	PSMA4	391	3.0986063480377197	0.24127269	Yes	
row_8	PSMB6	407	3.059798002243042	0.2695847	Yes	
row_9	PSMD5	455	2.9300642013549805	0.2935711	Yes	
row_10	PSMA3	546	2.765972852706909	0.3118446	Yes	
row_11	PSMA5	574	2.6788904666900635	0.3353042	Yes	
row_12	PSMB7	613	2.588310718536377	0.3568298	Yes	
row_13	PSME1	639	2.5216012001037598	0.3789517	Yes	
row_14	PSMA7	652	2.5079452991485596	0.40218568	Yes	
row_15	PSMD11	672	2.468003273010254	0.42436102	Yes	
row_16	PSMD6	674	2.4623825550079346	0.44820535	Yes	
row_17	PSMD12	707	2.4126157760620117	0.46859735	Yes	
row_18	PSMB2	721	2.369584560394287	0.49039036	Yes	
row_19	PSMB8	757	2.318058490753174	0.5095758	Yes	
row_20	UBE3C	786	2.2724812030792236	0.52898836	Yes	
row_21	PSMA2	1055	1.896748423576355	0.52176607	Yes	
row_22	PSMA1	1097	1.8360759019851685	0.5356909	Yes	
row_23	PSMD1	1112	1.8214486837387085	0.55205905	Yes	
row_24	PSMC5	1187	1.7450973987579346	0.56193936	Yes	
row_25	HTRA2	1189	1.7420440912246704	0.57878035	Yes	
row_26	PSME4	1378	1.5585153102874756	0.57593024	Yes	
row_27	UBE3A	1444	1.4987483024597168	0.5842773	Yes	
row_28	PSMC1	1536	1.4237849712371826	0.58940583	Yes	
row_29	PSMB3	1576	1.3927732706069946	0.5992123	Yes	
row_30	GPAA1	1732	1.2781721353530884	0.59679663	Yes	
row_31	PSMD3	1782	1.2432020902633667	0.6041913	Yes	
row_32	PSMD14	2033	1.052733302116394	0.5904868	Yes	
row_33	PSMC4	2053	1.0395331382751465	0.59877414	Yes	
row_34	PIGU	2110	1.0046650171279907	0.60317934	Yes	
row_35	PIDD1	2113	1.0027865171432495	0.61273724	Yes	
row_36	PSMB5	2149	0.9856528639793396	0.61896855	Yes	
row_37	PSMC2	2185	0.9659281969070435	0.6250081	Yes	
row_38	PSMA6	2316	0.8883737921714783	0.6211966	No	
row_39	PSMB9	2558	0.7718732953071594	0.6056234	No	
row_40	ADRM1	2607	0.7549996376037598	0.6083674	No	
row_41	RAD23B	2618	0.75291907787323	0.61472994	No	
row_42	VCP	2943	0.6152405142784119	0.5896859	No	
row_43	PSMD2	2994	0.5994821786880493	0.5907264	No	
row_44	PSMB10	3037	0.5839934945106506	0.5923823	No	
row_45	PSMB4	3346	0.47660765051841736	0.56752264	No	
row_46	PSMD4	3849	0.33104947209358215	0.52267075	No	
row_47	PSMB1	4091	0.2657006084918976	0.5021763	No	
row_48	PSMD13	4375	0.2000584900379181	0.47702184	No	
row_49	RAD23A	4613	0.14191414415836334	0.45570695	No	
row_50	PSMF1	4842	0.09842337667942047	0.43483105	No	
row_51	PIGS	4937	0.08204562962055206	0.4266275	No	
row_52	PIGK	5046	0.06133925914764404	0.41688198	No	
row_53	PSMD10	5556	-0.02356453612446785	0.3683703	No	
row_54	PSMC3	5617	-0.03461199626326561	0.36296132	No	
row_55	UBQLN1	5761	-0.05842795968055725	0.349836	No	
row_56	CASP9	5814	-0.06608112156391144	0.34549907	No	
row_57	PIGT	5865	-0.07317356020212173	0.3414226	No	
row_58	PSMD9	5866	-0.07339264452457428	0.3421361	No	
row_59	ZFAND2A	5926	-0.08438383787870407	0.33730683	No	
row_60	CRADD	7099	-0.35716649889945984	0.22855102	No	
row_61	UBR1	7138	-0.36826714873313904	0.22849263	No	
row_62	PSMD8	7244	-0.3966754078865051	0.22229466	No	
row_63	CAPNS1	9094	-1.4012070894241333	0.058861252	No	
row_64	CASP2	9429	-1.7755210399627686	0.044140305	No	
row_65	CAPN2	10458	-6.0774149894714355	0.0047877943	No	
