NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM2	355	3.2235448360443115	-0.005313755	No	
row_1	ANXA6	868	2.1735904216766357	-0.035108507	No	
row_2	ABHD6	1026	1.947605013847351	-0.032792173	No	
row_3	STARD3NL	1799	1.2240272760391235	-0.096073344	No	
row_4	IFITM3	1803	1.2187999486923218	-0.08546605	No	
row_5	CHMP2B	1812	1.2125968933105469	-0.075394936	No	
row_6	ARL8B	2018	1.0621474981307983	-0.08560928	No	
row_7	SLC29A3	2150	0.9853827953338623	-0.08939518	No	
row_8	CHMP7	2347	0.8732960224151611	-0.1004325	No	
row_9	SNX16	2477	0.8142721056938171	-0.105555795	No	
row_10	LAPTM4B	2533	0.7859350442886353	-0.10381771	No	
row_11	ATP13A2	2657	0.7366399168968201	-0.10905814	No	
row_12	LAMTOR3	2683	0.7245626449584961	-0.10498437	No	
row_13	MVB12A	2887	0.6307353377342224	-0.118863136	No	
row_14	CDIP1	2916	0.6225196123123169	-0.11599003	No	
row_15	ATP13A3	3117	0.5561612248420715	-0.13024703	No	
row_16	GIMAP5	3443	0.44809818267822266	-0.15748815	No	
row_17	VAC14	3499	0.4307726323604584	-0.15892512	No	
row_18	LAMTOR2	3509	0.42628365755081177	-0.15597956	No	
row_19	VAMP8	3584	0.40378516912460327	-0.15948454	No	
row_20	SNF8	3645	0.3841746151447296	-0.1618188	No	
row_21	ABCB6	3672	0.37570568919181824	-0.16095985	No	
row_22	LITAF	3824	0.3364775478839874	-0.17246968	No	
row_23	CHMP6	4099	0.2635294795036316	-0.19645742	No	
row_24	VTI1B	4425	0.18646080791950226	-0.22603752	No	
row_25	CHMP3	4692	0.126191183924675	-0.25048387	No	
row_26	CLN3	4893	0.08924904465675354	-0.2689149	No	
row_27	MCOLN3	4914	0.08691760897636414	-0.27006078	No	
row_28	TICAM2	4922	0.08548638969659805	-0.26996958	No	
row_29	VPS36	5084	0.05469128116965294	-0.28495994	No	
row_30	LAMTOR5	5100	0.0514644980430603	-0.28594202	No	
row_31	HGS	5105	0.050108492374420166	-0.28587866	No	
row_32	MMD	5222	0.03161264955997467	-0.29674882	No	
row_33	SLC39A14	5305	0.01823180913925171	-0.30446967	No	
row_34	SLC30A4	5323	0.015227065421640873	-0.30596802	No	
row_35	VPS41	5403	-7.209969917312264E-4	-0.313557	No	
row_36	TMEM165	5552	-0.023090533912181854	-0.32757998	No	
row_37	TSG101	5622	-0.035333648324012756	-0.33389807	No	
row_38	CD68	5644	-0.03804822266101837	-0.33557698	No	
row_39	LAPTM4A	5664	-0.04056468605995178	-0.33704108	No	
row_40	OSBPL11	5811	-0.06578396260738373	-0.3504901	No	
row_41	STARD3	5886	-0.07792176306247711	-0.3569082	No	
row_42	VPS4B	5991	-0.09554105252027512	-0.36605313	No	
row_43	RNF13	6020	-0.0999893769621849	-0.36785132	No	
row_44	GOSR2	6027	-0.10174953192472458	-0.36751857	No	
row_45	CHMP2A	6138	-0.12222728878259659	-0.3770018	No	
row_46	LAMTOR1	6170	-0.12792308628559113	-0.3788387	No	
row_47	VPS33B	6192	-0.13256411254405975	-0.37967262	No	
row_48	CLCN3	6272	-0.1485242247581482	-0.38594028	No	
row_49	VPS37C	6282	-0.1505172848701477	-0.38546002	No	
row_50	ARL8A	6308	-0.15604954957962036	-0.3864686	No	
row_51	CHMP5	6444	-0.18707942962646484	-0.39777568	No	
row_52	YIPF2	6457	-0.19023147225379944	-0.39722878	No	
row_53	VPS37A	6661	-0.23818396031856537	-0.41461685	No	
row_54	VTI1A	6690	-0.2476426064968109	-0.41509503	No	
row_55	VPS33A	6737	-0.25804272294044495	-0.41721085	No	
row_56	AP5S1	6882	-0.2965088486671448	-0.428405	No	
row_57	VPS11	7033	-0.3373187482357025	-0.43981114	No	
row_58	NPC1	7257	-0.4014928638935089	-0.45766214	No	
row_59	AP5M1	7291	-0.41392233967781067	-0.45713457	No	
row_60	PIKFYVE	7308	-0.420629620552063	-0.45491257	No	
row_61	FIG4	7329	-0.4272187054157257	-0.45301625	No	
row_62	LAMTOR4	7386	-0.4463101625442505	-0.45441046	No	
row_63	WDR91	7602	-0.5288898944854736	-0.47035342	No	
row_64	SLC11A2	7656	-0.553760826587677	-0.47049862	No	
row_65	MITD1	7700	-0.5707542896270752	-0.46953046	No	
row_66	SPPL2A	7771	-0.6002022624015808	-0.47089493	No	
row_67	MR1	8346	-0.8653390407562256	-0.5183461	Yes	
row_68	STX8	8360	-0.8776074647903442	-0.5117504	Yes	
row_69	CYB561A3	8372	-0.8858936429023743	-0.5048883	Yes	
row_70	TPCN2	8513	-0.9756613969802856	-0.50962645	Yes	
row_71	TMEM9	8586	-1.019608736038208	-0.50743383	Yes	
row_72	VPS37B	8651	-1.0608692169189453	-0.50410324	Yes	
row_73	VPS16	8888	-1.2256020307540894	-0.5158368	Yes	
row_74	ABCA3	8897	-1.2302826642990112	-0.5056076	Yes	
row_75	PLEKHM1	8903	-1.2334506511688232	-0.4950616	Yes	
row_76	VPS18	8983	-1.3073146343231201	-0.49097002	Yes	
row_77	VPS4A	9193	-1.5171880722045898	-0.497501	Yes	
row_78	YIPF1	9218	-1.5413297414779663	-0.48602942	Yes	
row_79	MICALL1	9221	-1.5452038049697876	-0.47240803	Yes	
row_80	LAMP1	9273	-1.5893841981887817	-0.46310276	Yes	
row_81	WDR81	9278	-1.5954228639602661	-0.4492247	Yes	
row_82	VPS39	9342	-1.6642390489578247	-0.440404	Yes	
row_83	SNX14	9355	-1.6784467697143555	-0.4265529	Yes	
row_84	LAMP2	9417	-1.7494860887527466	-0.4167778	Yes	
row_85	UBXN6	9418	-1.7537992000579834	-0.40109932	Yes	
row_86	OSBPL9	9457	-1.8096983432769775	-0.38857463	Yes	
row_87	STOML1	9464	-1.8165850639343262	-0.37291172	Yes	
row_88	MCOLN1	9528	-1.9154679775238037	-0.3618451	Yes	
row_89	CHMP1A	9558	-1.9725725650787354	-0.34699905	Yes	
row_90	NDFIP2	9572	-1.9983248710632324	-0.33038446	Yes	
row_91	TMEM59	9587	-2.0212819576263428	-0.3136608	Yes	
row_92	TMEM106B	9594	-2.028791666030884	-0.29610085	Yes	
row_93	VPS28	9597	-2.031829833984375	-0.27812916	Yes	
row_94	ATG9A	9607	-2.054560422897339	-0.26062727	Yes	
row_95	TMEM30A	9627	-2.083864450454712	-0.24382487	Yes	
row_96	ANXA2	9637	-2.100144386291504	-0.22591548	Yes	
row_97	CHMP4B	9678	-2.1836748123168945	-0.21023983	Yes	
row_98	NSG2	9699	-2.218636989593506	-0.19232874	Yes	
row_99	PMEL	9714	-2.250293731689453	-0.17355776	Yes	
row_100	CHMP1B	9748	-2.3274364471435547	-0.15592392	Yes	
row_101	RAB27A	9799	-2.4284584522247314	-0.13902141	Yes	
row_102	BAIAP3	9872	-2.561854839324951	-0.12304157	Yes	
row_103	MVB12B	9933	-2.7215564250946045	-0.1044803	Yes	
row_104	SORL1	9979	-2.867133378982544	-0.08317544	Yes	
row_105	PLD3	10005	-2.914839029312134	-0.059521224	Yes	
row_106	SCARB2	10324	-4.46625280380249	-0.05016817	Yes	
row_107	SLC9A9	10495	-7.579963207244873	0.0012499716	Yes	
