NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL12	40	5.616093158721924	0.059005965	Yes	
row_1	MRPL17	118	4.477055549621582	0.10173001	Yes	
row_2	MRPL15	128	4.421436786651611	0.15033525	Yes	
row_3	MRPL45	178	4.0678253173828125	0.19115882	Yes	
row_4	MRPL13	187	4.009195327758789	0.23524763	Yes	
row_5	MRPL42	369	3.1783347129821777	0.25349545	Yes	
row_6	MRPL20	386	3.131471633911133	0.2869994	Yes	
row_7	MRPL39	443	2.9550678730010986	0.3147042	Yes	
row_8	MRPL38	482	2.8814990520477295	0.34330747	Yes	
row_9	MRPL35	506	2.8266608715057373	0.37273178	Yes	
row_10	MRPL19	540	2.7763102054595947	0.4006364	Yes	
row_11	MRPL49	730	2.3551836013793945	0.4089099	Yes	
row_12	MRPL55	759	2.3091914653778076	0.4320667	Yes	
row_13	MRPL40	768	2.2957513332366943	0.45698592	Yes	
row_14	MRPL47	785	2.2734968662261963	0.48089105	Yes	
row_15	MRPL28	814	2.240511894226074	0.50327945	Yes	
row_16	MRPS18A	892	2.1329140663146973	0.51977783	Yes	
row_17	MRPL32	912	2.11415433883667	0.54161334	Yes	
row_18	MRPL11	916	2.111513137817383	0.5649495	Yes	
row_19	MRPL2	924	2.10198712348938	0.58779657	Yes	
row_20	MRPL22	969	2.032845973968506	0.60633147	Yes	
row_21	MRPL41	1149	1.785048246383667	0.60918283	Yes	
row_22	MRPL24	1193	1.7377315759658813	0.62451166	Yes	
row_23	MRPL51	1220	1.7111833095550537	0.64116937	Yes	
row_24	MRPL37	1341	1.5900511741638184	0.64748186	Yes	
row_25	MRPL50	1343	1.5899300575256348	0.66517395	Yes	
row_26	MRPL3	1447	1.4973969459533691	0.6720757	Yes	
row_27	MRPL16	1460	1.4893748760223389	0.6875908	Yes	
row_28	MRPL46	1550	1.4105043411254883	0.6948593	Yes	
row_29	MRPL43	1568	1.3978517055511475	0.70887226	Yes	
row_30	MRPL30	1719	1.2872980833053589	0.70892847	Yes	
row_31	MRPL18	1763	1.2557836771011353	0.7188654	Yes	
row_32	MRPL53	1904	1.1490217447280884	0.7183309	Yes	
row_33	MRPL21	1930	1.1286715269088745	0.72856724	Yes	
row_34	MRPL27	2051	1.0407966375350952	0.7287348	Yes	
row_35	MTERF4	2122	0.9961355924606323	0.7331846	Yes	
row_36	MRPL23	2338	0.8772006630897522	0.72243613	No	
row_37	MRPL48	2815	0.6636136174201965	0.6843364	No	
row_38	MRPL36	2857	0.6464265584945679	0.6876473	No	
row_39	MRPL54	2873	0.6387578248977661	0.69335896	No	
row_40	MRPL14	3272	0.5001800656318665	0.6608906	No	
row_41	MRPL44	3488	0.433246374130249	0.6451753	No	
row_42	NSUN4	3534	0.41932061314582825	0.6455628	No	
row_43	MRPL4	3961	0.29995688796043396	0.60817647	No	
row_44	MRPL34	4294	0.21936416625976562	0.5788786	No	
row_45	MPV17L2	4735	0.11657658219337463	0.53810173	No	
row_46	MRPS30	4870	0.09315796196460724	0.5263283	No	
row_47	MRPL52	5012	0.067715585231781	0.5136008	No	
row_48	MRPL10	5244	0.028791338205337524	0.49183038	No	
row_49	MRPL57	5604	-0.033169496804475784	0.45786712	No	
row_50	MRPL9	6028	-0.1023571640253067	0.41855702	No	
row_51	MRPL33	7345	-0.43394485116004944	0.29755113	No	
row_52	NSUN3	7346	-0.4343094527721405	0.3024101	No	
