NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.024198819	Yes	
row_1	MRPL12	40	5.616093158721924	0.037864447	Yes	
row_2	PHB2	80	4.829602241516113	0.049001664	Yes	
row_3	HSPA9	100	4.595105171203613	0.061358593	Yes	
row_4	NDUFAB1	109	4.53490686416626	0.07459895	Yes	
row_5	PHB	113	4.494336128234863	0.08820005	Yes	
row_6	MRPL17	118	4.477055549621582	0.1016505	Yes	
row_7	MRPL15	128	4.421436786651611	0.11444287	Yes	
row_8	MRPS18B	145	4.292644023895264	0.12615652	Yes	
row_9	MRPS7	150	4.276183605194092	0.13898605	Yes	
row_10	MRPL45	178	4.0678253173828125	0.14893523	Yes	
row_11	MRPL13	187	4.009195327758789	0.16055052	Yes	
row_12	MRPS35	194	3.9668338298797607	0.17222932	Yes	
row_13	TOMM5	202	3.9275851249694824	0.18368958	Yes	
row_14	TIMM9	216	3.8439483642578125	0.19430792	Yes	
row_15	TOMM40	336	3.2899556159973145	0.1929075	Yes	
row_16	MRPL42	369	3.1783347129821777	0.19962096	Yes	
row_17	MRPL20	386	3.131471633911133	0.20774522	Yes	
row_18	MRPS10	388	3.1142706871032715	0.21727476	Yes	
row_19	MRPL39	443	2.9550678730010986	0.22115903	Yes	
row_20	MRPL38	482	2.8814990520477295	0.22637154	Yes	
row_21	TIMM50	496	2.8457443714141846	0.23390427	Yes	
row_22	MRPL35	506	2.8266608715057373	0.24176691	Yes	
row_23	SUPV3L1	528	2.790513277053833	0.24835107	Yes	
row_24	MRPL19	540	2.7763102054595947	0.2558636	Yes	
row_25	MTX2	542	2.773937463760376	0.26434112	Yes	
row_26	MCCC2	550	2.753502368927002	0.27217206	Yes	
row_27	MRPS28	553	2.7475831508636475	0.28047088	Yes	
row_28	IDH3A	558	2.7161848545074463	0.28847817	Yes	
row_29	TIMM17A	562	2.708137273788452	0.29655778	Yes	
row_30	MRPS15	568	2.693054676055908	0.30439636	Yes	
row_31	MRPS34	570	2.6900136470794678	0.31261444	Yes	
row_32	CYC1	575	2.6759016513824463	0.3204972	Yes	
row_33	SDHD	577	2.670950412750244	0.32865635	Yes	
row_34	NDUFB6	592	2.632450819015503	0.3354325	Yes	
row_35	NDUFA12	603	2.6164188385009766	0.34254804	Yes	
row_36	SUCLG2	617	2.5717310905456543	0.34923372	Yes	
row_37	PAM16	647	2.5152225494384766	0.35418907	Yes	
row_38	TIMM8B	655	2.501312732696533	0.36124048	Yes	
row_39	PPIF	673	2.4664180278778076	0.3672117	Yes	
row_40	TIMM23	683	2.447999954223633	0.37390384	Yes	
row_41	DNAJC19	687	2.442861318588257	0.38116348	Yes	
row_42	NDUFS7	700	2.4227633476257324	0.38748592	Yes	
row_43	TIMM10	729	2.355945110321045	0.39204615	Yes	
row_44	MRPL49	730	2.3551836013793945	0.39932644	Yes	
row_45	MRPL55	759	2.3091914653778076	0.40374213	Yes	
row_46	NDUFA9	764	2.3019936084747314	0.41046908	Yes	
row_47	MRPL40	768	2.2957513332366943	0.41727397	Yes	
row_48	MRPL47	785	2.2734968662261963	0.4227461	Yes	
row_49	MRPS17	795	2.2644307613372803	0.42887077	Yes	
row_50	TOMM20	796	2.2638473510742188	0.4358687	Yes	
row_51	MRPL28	814	2.240511894226074	0.44114164	Yes	
row_52	DNAJC11	872	2.1686692237854004	0.44230333	Yes	
row_53	MRPS22	875	2.165330648422241	0.4488023	Yes	
row_54	TRMT10C	891	2.133017063140869	0.45393738	Yes	
row_55	MRPS18A	892	2.1329140663146973	0.4605306	Yes	
row_56	MRPL32	912	2.11415433883667	0.46521848	Yes	
row_57	MRPL11	916	2.111513137817383	0.47145385	Yes	
row_58	MRPL2	924	2.10198712348938	0.47727084	Yes	
row_59	UQCRB	948	2.066093683242798	0.48142123	Yes	
row_60	PNPT1	951	2.065568685531616	0.48761183	Yes	
row_61	UQCR11	966	2.0371439456939697	0.49254778	Yes	
row_62	MRPL22	969	2.032845973968506	0.4986372	Yes	
row_63	SAMM50	971	2.025770425796509	0.504802	Yes	
row_64	MRPS33	978	2.0149590969085693	0.5104472	Yes	
row_65	DLAT	1106	1.8244825601577759	0.50373894	Yes	
row_66	VDAC1	1117	1.8182207345962524	0.5083871	Yes	
row_67	MRPL41	1149	1.785048246383667	0.5108909	Yes	
row_68	UQCRFS1	1154	1.778124451637268	0.5159985	Yes	
row_69	DLD	1166	1.7624629735946655	0.52037704	Yes	
row_70	MRPS27	1171	1.7553083896636963	0.52541405	Yes	
row_71	MRPL24	1193	1.7377315759658813	0.5287439	Yes	
row_72	GRPEL1	1198	1.7302039861679077	0.5337033	Yes	
row_73	MRPL51	1220	1.7111833095550537	0.5369511	Yes	
row_74	SLC25A5	1232	1.699173927307129	0.54113406	Yes	
row_75	MRPS2	1237	1.6911718845367432	0.5459728	Yes	
row_76	NDUFA5	1250	1.6767194271087646	0.5499891	Yes	
row_77	NDUFA10	1258	1.6689893007278442	0.5544676	Yes	
row_78	NDUFB4	1277	1.6526912450790405	0.5578263	Yes	
row_79	BCKDHB	1283	1.6488604545593262	0.56243706	Yes	
row_80	TIMM13	1318	1.610130786895752	0.5641085	Yes	
row_81	NDUFB10	1324	1.602718710899353	0.56857663	Yes	
row_82	NDUFB8	1340	1.5902373790740967	0.5720339	Yes	
row_83	MRPL37	1341	1.5900511741638184	0.576949	Yes	
row_84	MRPL50	1343	1.5899300575256348	0.58176655	Yes	
row_85	BCS1L	1382	1.55715811252594	0.58288527	Yes	
row_86	NDUFS3	1387	1.5548985004425049	0.5873028	Yes	
row_87	COX7A2	1428	1.5146126747131348	0.5880956	Yes	
row_88	MRPL3	1447	1.4973969459533691	0.5909742	Yes	
row_89	MRPL16	1460	1.4893748760223389	0.5944114	Yes	
row_90	DNAJC15	1469	1.48123037815094	0.5982123	Yes	
row_91	MRPL46	1550	1.4105043411254883	0.5947941	Yes	
row_92	MRPL43	1568	1.3978517055511475	0.5974622	Yes	
row_93	UQCRC1	1585	1.3840477466583252	0.60018486	Yes	
row_94	APOO	1589	1.3795971870422363	0.60415775	Yes	
row_95	NDUFV2	1602	1.3719242811203003	0.60723186	Yes	
row_96	SDHA	1660	1.3275562524795532	0.60579354	Yes	
row_97	IMMP2L	1667	1.3243732452392578	0.609304	Yes	
row_98	NDUFC2	1688	1.3103126287460327	0.61140984	Yes	
row_99	MRPS14	1689	1.3089572191238403	0.61545604	Yes	
