NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCF1	83	4.803915977478027	0.0388152	Yes	
row_1	GCSH	105	4.552402019500732	0.081132844	Yes	
row_2	NDUFAB1	109	4.53490686416626	0.12500805	Yes	
row_3	DLST	522	2.8044350147247314	0.112768315	Yes	
row_4	IDH3A	558	2.7161848545074463	0.13586	Yes	
row_5	CYC1	575	2.6759016513824463	0.16038331	Yes	
row_6	SDHD	577	2.670950412750244	0.18629839	Yes	
row_7	NDUFB6	592	2.632450819015503	0.21059056	Yes	
row_8	NDUFA12	603	2.6164188385009766	0.23511058	Yes	
row_9	NDUFS7	700	2.4227633476257324	0.24948896	Yes	
row_10	ETFB	714	2.391188144683838	0.2715276	Yes	
row_11	NDUFA9	764	2.3019936084747314	0.2892417	Yes	
row_12	NCF4	778	2.284764289855957	0.31024393	Yes	
row_13	UQCRB	948	2.066093683242798	0.31414112	Yes	
row_14	UQCR11	966	2.0371439456939697	0.3323479	Yes	
row_15	P4HB	1083	1.854249358177185	0.33926985	Yes	
row_16	DLAT	1106	1.8244825601577759	0.35492566	Yes	
row_17	UQCRFS1	1154	1.778124451637268	0.36773008	Yes	
row_18	DLD	1166	1.7624629735946655	0.38383785	Yes	
row_19	NDUFA5	1250	1.6767194271087646	0.39219883	Yes	
row_20	NDUFA10	1258	1.6689893007278442	0.40778032	Yes	
row_21	NDUFB4	1277	1.6526912450790405	0.42214713	Yes	
row_22	BCKDHB	1283	1.6488604545593262	0.43772456	Yes	
row_23	NDUFB10	1324	1.602718710899353	0.44949275	Yes	
row_24	NDUFB8	1340	1.5902373790740967	0.46353933	Yes	
row_25	BCS1L	1382	1.55715811252594	0.47476786	Yes	
row_26	NDUFS3	1387	1.5548985004425049	0.48952624	Yes	
row_27	CYBB	1577	1.3926640748977661	0.4849453	Yes	
row_28	UQCRC1	1585	1.3840477466583252	0.49775186	Yes	
row_29	NDUFV2	1602	1.3719242811203003	0.5095764	Yes	
row_30	SDHA	1660	1.3275562524795532	0.517033	Yes	
row_31	NDUFC2	1688	1.3103126287460327	0.52720153	Yes	
row_32	PDHX	1791	1.2331703901290894	0.5294191	Yes	
row_33	SDHB	1845	1.1883832216262817	0.53590435	Yes	
row_34	UQCR10	1884	1.1656932830810547	0.54360855	Yes	
row_35	NDUFA4	2083	1.0191713571548462	0.53452635	Yes	
row_36	NDUFB2	2096	1.0103328227996826	0.54321355	Yes	
row_37	UQCRC2	2117	0.9982542395591736	0.5510151	Yes	
row_38	CYB5B	2134	0.9894819855690002	0.55911523	Yes	
row_39	NDUFB5	2195	0.9626771807670593	0.56273043	Yes	
row_40	NDUFAF1	2218	0.9463885426521301	0.5698349	Yes	
row_41	SDHC	2236	0.9305727481842041	0.5772653	Yes	
row_42	CYBA	2238	0.9301607012748718	0.5862277	Yes	
row_43	IDH3B	2359	0.867889940738678	0.58316004	Yes	
row_44	NDUFA8	2399	0.8538303971290588	0.5877312	Yes	
row_45	LDHA	2436	0.8367278575897217	0.5924238	Yes	
row_46	PDHA1	2707	0.7125114798545837	0.5734434	No	
row_47	NDUFS8	2727	0.7031208276748657	0.5784668	No	
row_48	CBR4	2742	0.6964093446731567	0.5839048	No	
row_49	ETFA	2778	0.6818848252296448	0.58718544	No	
row_50	MRPS36	2860	0.6450315713882446	0.58569133	No	
row_51	NDUFA7	2942	0.6152504682540894	0.58390725	No	
row_52	UQCRQ	2948	0.6133402585983276	0.58940023	No	
row_53	NDUFA6	3102	0.5593410730361938	0.5801599	No	
row_54	NDUFV1	3200	0.5252190828323364	0.575963	No	
row_55	NDUFS1	3267	0.502350926399231	0.5745194	No	
row_56	NCF2	3271	0.5009078979492188	0.5791095	No	
row_57	NDUFB7	3390	0.46475595235824585	0.5723079	No	
row_58	NDUFB3	3476	0.43626272678375244	0.5683967	No	
row_59	NDUFS6	3483	0.43470489978790283	0.5720541	No	
row_60	NDUFA2	3854	0.3293665945529938	0.5397427	No	
row_61	GPD2	3936	0.3077271580696106	0.5349638	No	
row_62	FOXRED1	4234	0.2312730997800827	0.50870496	No	
row_63	NDUFA3	4339	0.20987194776535034	0.5007651	No	
row_64	PDHB	4344	0.20918293297290802	0.5024183	No	
row_65	NDUFC1	4385	0.1972103714942932	0.5004989	No	
row_66	NDUFB9	4395	0.19485169649124146	0.5015325	No	
row_67	RRM1	4430	0.18582472205162048	0.50007826	No	
row_68	UQCRH	4439	0.1830500066280365	0.5010929	No	
row_69	GMPR2	4608	0.1429917812347412	0.48635796	No	
row_70	DBT	4630	0.13960705697536469	0.4857016	No	
row_71	BCKDK	4673	0.1297195553779602	0.48293298	No	
row_72	PDK2	4690	0.1265678107738495	0.48262963	No	
row_73	IDH3G	4822	0.10242920368909836	0.4710515	No	
row_74	OGDH	4887	0.09003797173500061	0.46578455	No	
row_75	NDUFA11	5004	0.06847769767045975	0.4553158	No	
row_76	NDUFA13	5027	0.06463421136140823	0.45383328	No	
row_77	RRM2	5245	0.02855096198618412	0.43328	No	
row_78	NDUFS4	5845	-0.0706983432173729	0.37646633	No	
row_79	NDUFS2	5978	-0.09296979755163193	0.36470014	No	
row_80	NOXO1	6168	-0.12777575850486755	0.34780106	No	
row_81	OGDHL	6223	-0.1388048529624939	0.343969	No	
row_82	CAT	6311	-0.15716595947742462	0.3371478	No	
row_83	LDHB	6758	-0.2628278434276581	0.29689273	No	
row_84	NDUFB11	6787	-0.269718736410141	0.29683146	No	
row_85	CYB5R3	6975	-0.3211421072483063	0.2820075	No	
row_86	GPD1L	7118	-0.36326292157173157	0.27191356	No	
row_87	NDUFA1	7419	-0.4585697650909424	0.24758026	No	
row_88	P4HA1	7564	-0.5144960880279541	0.23876713	No	
row_89	NDUFV3	8450	-0.9411397576332092	0.16297515	No	
row_90	BCKDHA	8748	-1.1170024871826172	0.14534199	No	
row_91	PDK1	9796	-2.4148316383361816	0.06835005	No	
