NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSME2	119	4.474827766418457	0.024634296	Yes	
row_1	UCHL5	198	3.9457056522369385	0.04894008	Yes	
row_2	PSME3	237	3.7232120037078857	0.07529196	Yes	
row_3	TXNL1	266	3.5458548069000244	0.101174526	Yes	
row_4	PSMD7	328	3.3062021732330322	0.12195917	Yes	
row_5	PSMC6	331	3.2981128692626953	0.14834084	Yes	
row_6	USP14	363	3.2059450149536133	0.17119677	Yes	
row_7	PSMA4	391	3.0986063480377197	0.19357173	Yes	
row_8	PSMB6	407	3.059798002243042	0.21678564	Yes	
row_9	PSMD5	455	2.9300642013549805	0.23588322	Yes	
row_10	SEC11C	490	2.8496668338775635	0.25558063	Yes	
row_11	PSMA3	546	2.765972852706909	0.27258837	Yes	
row_12	PSMA5	574	2.6788904666900635	0.29158157	Yes	
row_13	PSMB7	613	2.588310718536377	0.3087893	Yes	
row_14	PSME1	639	2.5216012001037598	0.32670715	Yes	
row_15	PSMA7	652	2.5079452991485596	0.34576258	Yes	
row_16	PSMD11	672	2.468003273010254	0.3638244	Yes	
row_17	PSMD6	674	2.4623825550079346	0.38356838	Yes	
row_18	PSMD12	707	2.4126157760620117	0.39993632	Yes	
row_19	PSMB2	721	2.369584560394287	0.41778097	Yes	
row_20	TADA1	735	2.352358818054199	0.43548682	Yes	
row_21	PSMB8	757	2.318058490753174	0.45214856	Yes	
row_22	UBE3C	786	2.2724812030792236	0.46777126	Yes	
row_23	KAT2A	928	2.095154285430908	0.47112072	Yes	
row_24	PSMA2	1055	1.896748423576355	0.47431108	Yes	
row_25	PSMA1	1097	1.8360759019851685	0.48517	Yes	
row_26	PSMD1	1112	1.8214486837387085	0.49850222	Yes	
row_27	PSMC5	1187	1.7450973987579346	0.5054611	Yes	
row_28	HTRA2	1189	1.7420440912246704	0.5194012	Yes	
row_29	PSME4	1378	1.5585153102874756	0.51391625	Yes	
row_30	ENY2	1394	1.547760248184204	0.52494735	Yes	
row_31	UBE3A	1444	1.4987483024597168	0.53232056	Yes	
row_32	TAF9	1516	1.4415918588638306	0.53712195	Yes	
row_33	PSMC1	1536	1.4237849712371826	0.5467703	Yes	
row_34	PSMB3	1576	1.3927732706069946	0.55424935	Yes	
row_35	GPAA1	1732	1.2781721353530884	0.5496726	Yes	
row_36	PSMD3	1782	1.2432020902633667	0.55498683	Yes	
row_37	PSMD14	2033	1.052733302116394	0.53947663	Yes	
row_38	PSMC4	2053	1.0395331382751465	0.546029	Yes	
row_39	PIGU	2110	1.0046650171279907	0.5487495	Yes	
row_40	PIDD1	2113	1.0027865171432495	0.5566372	Yes	
row_41	PSMB5	2149	0.9856528639793396	0.5612199	Yes	
row_42	PSMC2	2185	0.9659281969070435	0.56564367	Yes	
row_43	TADA2A	2262	0.9173595309257507	0.56574136	Yes	
row_44	PSMA6	2316	0.8883737921714783	0.5678128	Yes	
row_45	SPCS2	2353	0.8713887333869934	0.5713789	Yes	
