NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RANGRF	830	2.22011137008667	-0.046877213	No	
row_1	PRKAR2A	1289	1.6382321119308472	-0.0667027	No	
row_2	EMP2	1749	1.2653791904449463	-0.092076086	No	
row_3	SPRED1	1819	1.2089951038360596	-0.08099265	No	
row_4	CTNNB1	1985	1.0906826257705688	-0.08081626	No	
row_5	DAG1	2489	0.8073855638504028	-0.11709307	No	
row_6	ORAI1	2641	0.7405916452407837	-0.120697826	No	
row_7	SCARB1	2642	0.7405546307563782	-0.109868556	No	
row_8	PTCH1	2754	0.689906895160675	-0.11039076	No	
row_9	BMPR2	2866	0.6429656744003296	-0.11159939	No	
row_10	LRP6	3511	0.42574092745780945	-0.1669357	No	
row_11	EHD2	3690	0.37202587723731995	-0.17851107	No	
row_12	PRKACA	3725	0.36346736550331116	-0.17644618	No	
row_13	HDAC6	3807	0.3408142030239105	-0.17920545	No	
row_14	F2R	3823	0.3365781009197235	-0.17571749	No	
row_15	MAPK1	3867	0.3251020908355713	-0.17507397	No	
row_16	TFPI	3902	0.3170405924320221	-0.173688	No	
row_17	CLN3	4893	0.08924904465675354	-0.2670201	No	
row_18	ATP2B4	4924	0.08522390574216843	-0.26864165	No	
row_19	KIF18A	5372	0.005730786826461554	-0.311288	No	
row_20	SLC2A1	5765	-0.05912391096353531	-0.34789592	No	
row_21	CORO1C	5779	-0.06117762252688408	-0.34824404	No	
row_22	PACSIN2	6400	-0.1788579821586609	-0.40489632	No	
row_23	MAPK3	6441	-0.18602046370506287	-0.40599984	No	
row_24	LRP8	7794	-0.6085538268089294	-0.52634275	No	
row_25	NEU3	7872	-0.6414663791656494	-0.52432317	No	
row_26	SMPD2	7895	-0.6504124402999878	-0.51691514	No	
row_27	CBL	8029	-0.7041577100753784	-0.519332	No	
row_28	INSR	8390	-0.906408965587616	-0.5404909	No	
row_29	LIPE	8510	-0.9743804931640625	-0.537618	No	
row_30	CTNNA1	8665	-1.0694835186004639	-0.53670007	No	
row_31	SMO	8767	-1.1261943578720093	-0.5298864	No	
row_32	LCP2	9146	-1.45304274559021	-0.5447725	Yes	
row_33	ITGB2	9274	-1.5902782678604126	-0.5336579	Yes	
row_34	EZR	9306	-1.6269704103469849	-0.5128298	Yes	
row_35	ITGAM	9450	-1.801298975944519	-0.50015885	Yes	
row_36	IGF1R	9651	-2.1253538131713867	-0.48819804	Yes	
row_37	ATP1B1	9674	-2.1709156036376953	-0.4585554	Yes	
row_38	SORBS1	9805	-2.4406235218048096	-0.4352928	Yes	
row_39	HMOX1	9903	-2.6173505783081055	-0.40629134	Yes	
row_40	SELPLG	9905	-2.6305978298187256	-0.3679192	Yes	
row_41	JAK2	10109	-3.28725528717041	-0.33925447	Yes	
row_42	PRKAR1A	10135	-3.3913819789886475	-0.2920515	Yes	
row_43	TGFBR2	10227	-3.8226187229156494	-0.24485159	Yes	
row_44	FLOT2	10272	-4.150363445281982	-0.18836614	Yes	
row_45	STIM1	10336	-4.546549320220947	-0.12790348	Yes	
row_46	FLOT1	10344	-4.6105055809021	-0.061152335	Yes	
row_47	SKAP1	10409	-5.247424125671387	0.009463769	Yes	
