NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB1	726	2.3575551509857178	-0.026305972	No	
row_1	DVL1	1121	1.813934087753296	-0.030836102	No	
row_2	NEFH	1582	1.3856545686721802	-0.049475178	No	
row_3	CTNNB1	1985	1.0906826257705688	-0.06795696	No	
row_4	BCR	2090	1.0153995752334595	-0.059368234	No	
row_5	ACTG1	2441	0.8354474306106567	-0.07754084	No	
row_6	PRKCI	2867	0.6416935920715332	-0.10640497	No	
row_7	NPTN	3325	0.48293378949165344	-0.1412183	No	
row_8	BSN	3917	0.3128594756126404	-0.19192277	No	
row_9	PPP3CA	4781	0.10914579033851624	-0.27230346	No	
row_10	STX3	5204	0.03431958705186844	-0.31195638	No	
row_11	DTNBP1	5508	-0.01624082587659359	-0.3405807	No	
row_12	ACTB	6060	-0.10759586840867996	-0.39121017	No	
row_13	FBXL20	6431	-0.18465019762516022	-0.42315862	No	
row_14	CAPZB	6924	-0.3079381585121155	-0.46450356	No	
row_15	SLC30A1	6943	-0.3129782974720001	-0.4605146	No	
row_16	CDC42	7219	-0.39013412594795227	-0.4796487	No	
row_17	PFN2	7767	-0.5990476012229919	-0.520935	No	
row_18	GIPC1	8262	-0.8237731456756592	-0.5530649	No	
row_19	ITPR1	8481	-0.9564635753631592	-0.55643183	No	
row_20	PRKCZ	9376	-1.7041059732437134	-0.61068815	Yes	
row_21	FYN	9380	-1.7078537940979004	-0.5798328	Yes	
row_22	CDK5	9458	-1.8109147548675537	-0.5541612	Yes	
row_23	BAIAP2	9838	-2.4911458492279053	-0.5449111	Yes	
row_24	SRGN	9931	-2.717839479446411	-0.50413394	Yes	
row_25	TUBB2B	10078	-3.186671733856201	-0.4599621	Yes	
row_26	ABR	10092	-3.2219223976135254	-0.40245298	Yes	
row_27	SYP	10235	-3.894205093383789	-0.34499788	Yes	
row_28	NTNG2	10237	-3.8993148803710938	-0.27399153	Yes	
row_29	GABBR1	10326	-4.468960762023926	-0.20090194	Yes	
row_30	PTPRA	10392	-5.041976451873779	-0.11516844	Yes	
row_31	AKAP12	10481	-6.917952537536621	0.0025771256	Yes	
