NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA1A	279	3.4994022846221924	-0.0082721	No	
row_1	TNFRSF1B	456	2.929502487182617	-0.00963646	No	
row_2	BSG	957	2.0554099082946777	-0.046964876	No	
row_3	BST2	1068	1.8711470365524292	-0.047602978	No	
row_4	CD38	1131	1.8026981353759766	-0.04396966	No	
row_5	DYNLL1	1381	1.5572808980941772	-0.059710484	No	
row_6	ATP8B4	1493	1.4585410356521606	-0.0626476	No	
row_7	DEGS1	1498	1.4562771320343018	-0.055260643	No	
row_8	CYBB	1577	1.3926640748977661	-0.055361617	No	
row_9	MAGT1	1612	1.3658801317214966	-0.051355172	No	
row_10	NDUFC2	1688	1.3103126287460327	-0.05160592	No	
row_11	DDOST	1721	1.2868142127990723	-0.047828317	No	
row_12	SLC17A9	1773	1.2466098070144653	-0.04610071	No	
row_13	TMBIM1	1839	1.1936489343643188	-0.046008196	No	
row_14	SPARC	1978	1.0963846445083618	-0.053486638	No	
row_15	RAB14	2118	0.9973369836807251	-0.061590377	No	
row_16	CYBA	2238	0.9301607012748718	-0.0681207	No	
row_17	GAA	2245	0.9269484877586365	-0.063752405	No	
row_18	IGF2R	2313	0.8888471722602844	-0.06548007	No	
row_19	VAPA	2453	0.830234169960022	-0.07447578	No	
row_20	CPNE3	2462	0.8232936859130859	-0.07085398	No	
row_21	NRAS	2479	0.8128886818885803	-0.06806051	No	
row_22	TMED10	2547	0.7818648219108582	-0.07035923	No	
row_23	PCSK4	2576	0.7652345299720764	-0.06897933	No	
row_24	CD44	2610	0.7540613412857056	-0.068142064	No	
row_25	STXBP5	2674	0.7302696108818054	-0.07032979	No	
row_26	RAB10	2682	0.7248347401618958	-0.06713694	No	
row_27	LAMTOR3	2683	0.7245626449584961	-0.063269354	No	
row_28	LGALS3	2842	0.6543209552764893	-0.07503945	No	
row_29	LAIR1	3197	0.5267273187637329	-0.10642416	No	
row_30	LAMTOR2	3509	0.42628365755081177	-0.13419123	No	
row_31	RHOF	3518	0.42339837551116943	-0.132704	No	
row_32	ATP11A	3519	0.4229128360748291	-0.13044657	No	
row_33	VAMP8	3584	0.40378516912460327	-0.1344736	No	
row_34	HMOX2	3606	0.3972424566745758	-0.13438179	No	
row_35	AGPAT2	3668	0.37626516819000244	-0.13826592	No	
row_36	ADGRE5	3682	0.37315452098846436	-0.1375299	No	
