NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KPNB1	97	4.6404290199279785	0.029055435	No	
row_1	TNFRSF1B	456	2.929502487182617	0.018904235	No	
row_2	NFKB1	798	2.2595603466033936	0.004845945	No	
row_3	ILF2	867	2.1771883964538574	0.016318766	No	
row_4	PDXK	1138	1.7947397232055664	0.005234245	No	
row_5	PTPN6	1261	1.6649576425552368	0.007286907	No	
row_6	ATP8B4	1493	1.4585410356521606	-0.0028328404	No	
row_7	DEGS1	1498	1.4562771320343018	0.008824181	No	
row_8	CYBB	1577	1.3926640748977661	0.012850087	No	
row_9	TMBIM1	1839	1.1936489343643188	-0.002340356	No	
row_10	VCL	1858	1.1778604984283447	0.00567039	No	
row_11	CYBA	2238	0.9301607012748718	-0.023028491	No	
row_12	CTSZ	2450	0.8319485783576965	-0.03640885	No	
row_13	NIT2	2553	0.7759486436843872	-0.039786562	No	
row_14	LAMTOR3	2683	0.7245626449584961	-0.046181567	No	
row_15	CEP290	3127	0.5530179142951965	-0.0841438	No	
row_16	LAIR1	3197	0.5267273187637329	-0.08641367	No	
row_17	LAMTOR2	3509	0.42628365755081177	-0.11274976	No	
row_18	ATP11A	3519	0.4229128360748291	-0.110117085	No	
row_19	VAMP8	3584	0.40378516912460327	-0.11292341	No	
row_20	HMOX2	3606	0.3972424566745758	-0.111655176	No	
row_21	ERP44	3644	0.3845096230506897	-0.112028465	No	
row_22	AGPAT2	3668	0.37626516819000244	-0.11112571	No	
row_23	SLC15A4	3972	0.29779231548309326	-0.1377561	No	
row_24	B2M	4265	0.22289039194583893	-0.16394964	No	
row_25	CFP	4537	0.15885978937149048	-0.18865629	No	
row_26	ATP8A1	4576	0.1481948047876358	-0.19107953	No	
row_27	RAP1A	4601	0.14422018826007843	-0.19219144	No	
row_28	MLEC	4877	0.09261390566825867	-0.21782988	No	
row_29	TOM1	4942	0.08134845644235611	-0.22330225	No	
row_30	CANT1	5023	0.06563130766153336	-0.23044081	No	
row_31	PGRMC1	5089	0.05346870794892311	-0.2362397	No	
row_32	NEU1	5090	0.053341738879680634	-0.23579866	No	
row_33	QPCT	5162	0.04131142422556877	-0.24227417	No	
row_34	STX3	5204	0.03431958705186844	-0.24592704	No	
row_35	ADAM10	5255	0.027035124599933624	-0.25050426	No	
row_36	ITGAV	5396	1.1951800115639344E-4	-0.26394543	No	
row_37	CAMP	5468	-0.011194933205842972	-0.27066994	No	
row_38	LCN2	5624	-0.035401180386543274	-0.28525963	No	
row_39	LTF	5762	-0.058698948472738266	-0.2979284	No	
row_40	AP1M1	5857	-0.07224782556295395	-0.30635646	No	
row_41	ARMC8	5876	-0.07530834525823593	-0.30746204	No	
row_42	STOM	5941	-0.08727029711008072	-0.31288543	No	
row_43	LAMTOR1	6170	-0.12792308628559113	-0.33371922	No	
row_44	UBR4	6243	-0.14339624345302582	-0.33944666	No	
row_45	CLCN3	6272	-0.1485242247581482	-0.34090704	No	
row_46	RAP2B	6286	-0.1515795886516571	-0.34090194	No	
row_47	CYFIP1	6505	-0.19995877146720886	-0.36017993	No	
row_48	SCAMP1	6522	-0.20444871485233307	-0.36002573	No	
row_49	SLC2A3	6555	-0.21141164004802704	-0.36135018	No	
row_50	DNAJC5	6628	-0.23079165816307068	-0.366355	No	
row_51	SNAP23	6654	-0.23635999858379364	-0.36680105	No	
row_52	STXBP3	6755	-0.26203009486198425	-0.37423605	No	
row_53	GHDC	7060	-0.34468692541122437	-0.40057468	No	
row_54	MOSPD2	7217	-0.3897963762283325	-0.4123301	No	
row_55	CRACR2A	7414	-0.4576873779296875	-0.42736477	No	
row_56	ITGAL	7652	-0.5520721673965454	-0.44555566	No	
row_57	PGLYRP1	7775	-0.6026641726493835	-0.45228645	No	
row_58	DNASE1L1	7896	-0.6510546207427979	-0.45842513	No	
row_59	STXBP2	8062	-0.7180779576301575	-0.4683303	No	
row_60	ANXA3	8313	-0.847636342048645	-0.48532555	No	
row_61	GGH	8368	-0.8823683857917786	-0.4832146	No	
row_62	DGAT1	8562	-1.0080204010009766	-0.49341086	No	
row_63	ORMDL3	8606	-1.0311745405197144	-0.48901334	No	
row_64	HGSNAT	8635	-1.0491383075714111	-0.48302707	No	
row_65	TOLLIP	8750	-1.1172255277633667	-0.48473516	No	
row_66	ANXA11	8991	-1.3118572235107422	-0.49693188	No	
row_67	STK10	9128	-1.4355887174606323	-0.49811995	Yes	
row_68	ADAM8	9188	-1.51054847240448	-0.49129504	Yes	
row_69	ITGB2	9274	-1.5902782678604126	-0.4863073	Yes	
row_70	KCNAB2	9354	-1.67844557762146	-0.48001444	Yes	
row_71	ITGAM	9450	-1.801298975944519	-0.47424203	Yes	
row_72	JUP	9496	-1.8736342191696167	-0.46307078	Yes	
row_73	CTSD	9600	-2.0382370948791504	-0.4561074	Yes	
row_74	TMEM30A	9627	-2.083864450454712	-0.44137356	Yes	
row_75	CD47	9735	-2.2922310829162598	-0.43269414	Yes	
row_76	CNN2	9759	-2.349947690963745	-0.41547218	Yes	
row_77	DOCK2	9760	-2.351470470428467	-0.39602926	Yes	
row_78	RAB27A	9799	-2.4284584522247314	-0.37959838	Yes	
row_79	SPTAN1	9814	-2.456233024597168	-0.3606335	Yes	
row_80	VAMP1	9885	-2.585245370864868	-0.3459787	Yes	
row_81	ATP6V1D	9918	-2.6708521842956543	-0.32696754	Yes	
row_82	CMTM6	9922	-2.6941590309143066	-0.3049792	Yes	
row_83	RAB37	9930	-2.716784715652466	-0.28318784	Yes	
row_84	QSOX1	9944	-2.7579095363616943	-0.26163253	Yes	
row_85	TSPAN14	9964	-2.803612470626831	-0.24027544	Yes	
row_86	ANO6	10037	-3.0113272666931152	-0.22228968	Yes	
row_87	SLC44A2	10155	-3.465986967086792	-0.2048653	Yes	
row_88	GSDMD	10208	-3.715749979019165	-0.1791348	Yes	
row_89	TMC6	10242	-3.978999137878418	-0.14940335	Yes	
row_90	HVCN1	10282	-4.205541610717773	-0.11837485	Yes	
row_91	CD53	10397	-5.182558059692383	-0.08646913	Yes	
row_92	TMEM63A	10445	-5.761338710784912	-0.043344796	Yes	
row_93	TIMP2	10453	-5.9622015953063965	0.005280965	Yes	
