NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAGOHB	121	4.447060585021973	0.010934518	Yes	
row_1	NCL	155	4.245023250579834	0.029355114	Yes	
row_2	SNRPD3	196	3.9591190814971924	0.045642715	Yes	
row_3	SYNCRIP	264	3.5561676025390625	0.057266194	Yes	
row_4	PRPF19	361	3.2075374126434326	0.06430862	Yes	
row_5	PRPF31	375	3.1682252883911133	0.07918184	Yes	
row_6	TXNL4A	436	2.9675939083099365	0.0884859	Yes	
row_7	CLNS1A	453	2.9335432052612305	0.101873964	Yes	
row_8	LSM2	473	2.9005680084228516	0.11480385	Yes	
row_9	U2AF2	492	2.847628116607666	0.12756096	Yes	
row_10	TRA2A	534	2.7841200828552246	0.13776927	Yes	
row_11	LSM3	539	2.776625871658325	0.15151949	Yes	
row_12	LSM7	555	2.735093832015991	0.1639939	Yes	
row_13	LUC7L	614	2.5817081928253174	0.17152673	Yes	
row_14	RBM8A	623	2.5522077083587646	0.18374728	Yes	
row_15	LUC7L3	696	2.4307961463928223	0.18915711	Yes	
row_16	PRPF39	708	2.4110889434814453	0.20036888	Yes	
row_17	MAGOH	717	2.381319761276245	0.21171935	Yes	
row_18	HNRNPC	732	2.3542542457580566	0.22235148	Yes	
row_19	PPIE	736	2.3520004749298096	0.23403646	Yes	
row_20	SMNDC1	755	2.3210842609405518	0.24411266	Yes	
row_21	HSPA8	818	2.2368874549865723	0.24950278	Yes	
row_22	SNRPD1	861	2.183228015899658	0.25655487	Yes	
row_23	SNRPA1	878	2.158540725708008	0.265997	Yes	
row_24	RBMXL1	879	2.158264636993408	0.27698585	Yes	
row_25	TRA2B	904	2.119415283203125	0.2854547	Yes	
row_26	SREK1	909	2.115712881088257	0.29583985	Yes	
row_27	HNRNPA3	910	2.115518093109131	0.30661106	Yes	
row_28	PHF5A	940	2.072814464569092	0.31435883	Yes	
row_29	DHX15	955	2.062919855117798	0.32350764	Yes	
row_30	SNRNP70	1011	1.9692658185958862	0.32821247	Yes	
row_31	SNRPD2	1029	1.9434586763381958	0.33646274	Yes	
row_32	U2AF1	1072	1.8673869371414185	0.34190673	Yes	
row_33	PPWD1	1098	1.8353651762008667	0.34883255	Yes	
row_34	EIF4A3	1104	1.826635479927063	0.35764912	Yes	
row_35	SF3A3	1118	1.8166595697402954	0.36564082	Yes	
row_36	PPIL3	1139	1.7943583726882935	0.37284166	Yes	
row_37	DDX39B	1214	1.7152656316757202	0.37441483	Yes	
row_38	WBP11	1239	1.685196042060852	0.38067284	Yes	
row_39	CWC27	1256	1.6712841987609863	0.38763407	Yes	
row_40	LSM8	1264	1.6621637344360352	0.39541972	Yes	
row_41	HTATSF1	1308	1.618327021598816	0.39949885	Yes	
row_42	BCAS2	1320	1.6065950393676758	0.4066145	Yes	
row_43	SNRPA	1321	1.6058889627456665	0.41479093	Yes	
row_44	PPIH	1326	1.6012487411499023	0.4225567	Yes	
row_45	SRSF1	1383	1.5568795204162598	0.4250651	Yes	
row_46	ISY1	1385	1.5559405088424683	0.43289044	Yes	
row_47	SF3B3	1388	1.553826093673706	0.44060826	Yes	
row_48	PRPF40A	1402	1.5398460626602173	0.44719055	Yes	
row_49	SNRPE	1427	1.5157277584075928	0.45258573	Yes	
row_50	PABPC1	1432	1.5094395875930786	0.45988402	Yes	
row_51	HNRNPK	1489	1.460379958152771	0.4619011	Yes	
row_52	PRPF3	1497	1.456421971321106	0.4686392	Yes	
row_53	PPP1R8	1543	1.4186731576919556	0.47150826	Yes	
row_54	RBM17	1557	1.4042789936065674	0.47740033	Yes	
row_55	SNRPG	1596	1.375427484512329	0.4807265	Yes	
row_56	SNRNP40	1629	1.3543497323989868	0.48452595	Yes	
row_57	SRRM1	1693	1.3063737154006958	0.48508158	Yes	
row_58	PRPF4B	1713	1.2905137538909912	0.48981386	Yes	
row_59	SNRPB	1742	1.2680326700210571	0.49356082	Yes	
row_60	USP39	1758	1.2593082189559937	0.49852124	Yes	
row_61	LSM6	1765	1.2536792755126953	0.50432384	Yes	
row_62	PNN	1772	1.2482728958129883	0.5100989	Yes	
row_63	PRPF8	1781	1.2435016632080078	0.5156561	Yes	
row_64	SF3B5	1809	1.2140909433364868	0.51922524	Yes	
row_65	SF3A1	1838	1.1939893960952759	0.5225952	Yes	
row_66	SNRPB2	1879	1.167508840560913	0.52466923	Yes	
row_67	GEMIN2	1885	1.1631345748901367	0.5301076	Yes	
row_68	SF3B4	1909	1.1440941095352173	0.5337073	Yes	
row_69	ALYREF	2003	1.0773075819015503	0.5301939	Yes	
row_70	HNRNPA2B1	2061	1.034718632698059	0.529947	Yes	
row_71	LUC7L2	2205	0.9563838243484497	0.52097994	Yes	
row_72	SMU1	2213	0.9472833871841431	0.52512574	Yes	
row_73	SNRNP35	2225	0.9435287714004517	0.5288654	Yes	
row_74	SRSF2	2240	0.9295855760574341	0.5322438	Yes	
row_75	BUD13	2254	0.923333466053009	0.5356871	Yes	
row_76	HNRNPA1	2294	0.8976671695709229	0.536484	Yes	
row_77	PRPF40B	2301	0.8941950798034668	0.54045624	Yes	
row_78	EFTUD2	2325	0.8833879828453064	0.5427286	Yes	
row_79	PRPF38B	2336	0.8777543306350708	0.54623014	Yes	
row_80	RBM28	2356	0.8696156740188599	0.54881936	Yes	
row_81	PLRG1	2372	0.8629045486450195	0.5517615	Yes	
row_82	PRKRIP1	2415	0.8449326157569885	0.5519996	Yes	
row_83	SF1	2437	0.8366084098815918	0.5542273	Yes	
row_84	SF3A2	2518	0.7916849851608276	0.5505175	No	
row_85	HNRNPU	2637	0.7454180717468262	0.5428953	No	
row_86	DHX38	2732	0.7006983160972595	0.53736764	No	
row_87	HNRNPF	2782	0.6800739765167236	0.53608906	No	
row_88	CWC22	2796	0.6741167306900024	0.5382635	No	
row_89	IVNS1ABP	2807	0.6680338382720947	0.5406972	No	
row_90	LGALS3	2842	0.6543209552764893	0.5407389	No	
row_91	RBMX2	2910	0.6244816184043884	0.53743565	No	
row_92	SNRNP200	2953	0.6125817894935608	0.53649074	No	
row_93	CACTIN	3001	0.5948958396911621	0.534972	No	
row_94	SF3B6	3107	0.558982789516449	0.52765846	No	
row_95	WDR83	3133	0.5509340167045593	0.5280446	No	
row_96	API5	3136	0.5507437586784363	0.53065515	No	
row_97	HNRNPM	3169	0.5366774797439575	0.5302914	No	
row_98	SRRM2	3177	0.533992350101471	0.5323329	No	
row_99	CDC5L	3216	0.5197610259056091	0.53130245	No	
row_100	SNRPF	3217	0.5191314220428467	0.5339456	No	
row_101	PRPF38A	3273	0.49999552965164185	0.53116965	No	
row_102	PDCD7	3413	0.4575504660606384	0.52004987	No	
row_103	ZCRB1	3440	0.45021045207977295	0.51982635	No	
row_104	UPF1	3495	0.43108490109443665	0.5167963	No	
row_105	PRPF4	3506	0.42720717191696167	0.5180038	No	
row_106	MYEF2	3538	0.417048841714859	0.51712775	No	
row_107	PPIL1	3615	0.3938753306865692	0.5117795	No	
row_108	CASC3	3662	0.37840187549591064	0.50925523	No	
row_109	SF3B1	3694	0.3711180090904236	0.5081453	No	
row_110	CWF19L1	3698	0.3704080581665039	0.50974095	No	
row_111	LSM5	3737	0.36042484641075134	0.5078992	No	
row_112	BUD31	3981	0.2949509024620056	0.48588866	No	
row_113	SNRNP25	3985	0.29268619418144226	0.4870886	No	
row_114	GCFC2	4159	0.25027790665626526	0.47162366	No	
row_115	SNRNP48	4217	0.2366081327199936	0.4673131	No	
row_116	DDX41	4245	0.22666054964065552	0.46585467	No	
row_117	SF3B2	4376	0.19982269406318665	0.45429346	No	
row_118	TXNL4B	4417	0.18771587312221527	0.45137888	No	
row_119	HNRNPH1	4682	0.1276233047246933	0.4264844	No	
row_120	CWF19L2	4688	0.12676386535167694	0.42664605	No	
row_121	RBMX	4718	0.12084627151489258	0.42445534	No	
row_122	AAR2	4804	0.10493357479572296	0.41676512	No	
row_123	YBX1	4808	0.10439805686473846	0.4170064	No	
row_124	ZRSR2	4823	0.10218226164579391	0.41617203	No	
row_125	SUGP1	4851	0.09675104171037674	0.41405216	No	
row_126	AQR	4984	0.07281941175460815	0.4016508	No	
row_127	DDX5	5008	0.06805035471916199	0.39977184	No	
row_128	SNIP1	5013	0.06753713637590408	0.39972866	No	
row_129	DDX23	5235	0.030153995379805565	0.37849855	No	
row_130	ZMAT2	5239	0.029338866472244263	0.37835765	No	
row_131	SNRPC	5269	0.024374129250645638	0.37567574	No	
row_132	WBP4	5384	0.003696356900036335	0.36466408	No	
row_133	IK	5424	-0.004442313220351934	0.36091313	No	
row_134	TTF2	5444	-0.006851937156170607	0.35910958	No	
row_135	SNW1	5452	-0.008000205270946026	0.358473	No	
row_136	U2AF1L4	5511	-0.01712389662861824	0.35294822	No	
row_137	DHX35	5585	-0.02918832190334797	0.34603345	No	
row_138	CTNNBL1	5713	-0.04904233291745186	0.3339948	No	
row_139	LSM4	5769	-0.059729937463998795	0.3289772	No	
row_140	HNRNPH3	5774	-0.060471199452877045	0.32889804	No	
row_141	DQX1	5778	-0.061165276914834976	0.3289192	No	
row_142	WAC	5790	-0.06264790892601013	0.32817382	No	
row_143	ZCCHC8	5891	-0.07840379327535629	0.31889716	No	
row_144	PRPF6	5989	-0.09551072120666504	0.3099979	No	
row_145	DHX8	5992	-0.09560064226388931	0.3102911	No	
row_146	HNRNPR	6111	-0.11630388349294662	0.29946578	No	
row_147	SART1	6142	-0.12290751188993454	0.2971888	No	
row_148	GPATCH1	6144	-0.12329506129026413	0.2977198	No	
row_149	RBM5	6373	-0.17100924253463745	0.27652952	No	
row_150	DHX16	6757	-0.2626022398471832	0.24080804	No	
row_151	RHEB	7045	-0.34049373865127563	0.21477196	No	
row_152	GPKOW	7115	-0.3625510334968567	0.20994155	No	
row_153	CWC15	7137	-0.36785784363746643	0.20978257	No	
row_154	TFIP11	7299	-0.4175819754600525	0.19633058	No	
row_155	PTBP2	7416	-0.4582841098308563	0.18743993	No	
row_156	CDC40	7582	-0.5218948125839233	0.174132	No	
row_157	CRNKL1	7663	-0.5547316670417786	0.16921575	No	
row_158	CCDC12	7818	-0.6181304454803467	0.15746215	No	
row_159	XAB2	7846	-0.629507839679718	0.15805483	No	
row_160	RALY	7883	-0.6468195915222168	0.15786481	No	
row_161	RBM3	7935	-0.6691358089447021	0.15633704	No	
row_162	RNPC3	8059	-0.7171468734741211	0.14808711	No	
row_163	RBM41	8065	-0.7208061218261719	0.15127331	No	
row_164	FRG1	8256	-0.8222605586051941	0.13707574	No	
row_165	DHX32	8265	-0.8241256475448608	0.14049773	No	
row_166	RBM22	8703	-1.0901057720184326	0.10376452	No	
row_167	CWC25	8727	-1.1047312021255493	0.10716384	No	
row_168	ZMAT5	9073	-1.3840069770812988	0.08082882	No	
row_169	SYF2	9459	-1.8121469020843506	0.052803356	No	
row_170	SLU7	9598	-2.035369634628296	0.0498138	No	
row_171	PRPF18	9694	-2.207756996154785	0.05186258	No	
row_172	ADAR	9837	-2.490891695022583	0.05080529	No	
row_173	CIRBP	9943	-2.7541489601135254	0.05466845	No	
