NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNRPD3	196	3.9591190814971924	0.034232125	Yes	
row_1	PRPF31	375	3.1682252883911133	0.05960234	Yes	
row_2	TXNL4A	436	2.9675939083099365	0.09357525	Yes	
row_3	LSM2	473	2.9005680084228516	0.12894699	Yes	
row_4	LSM3	539	2.776625871658325	0.15988608	Yes	
row_5	LSM7	555	2.735093832015991	0.19505225	Yes	
row_6	LUC7L	614	2.5817081928253174	0.22405255	Yes	
row_7	LUC7L3	696	2.4307961463928223	0.24883322	Yes	
row_8	PRPF39	708	2.4110889434814453	0.2800462	Yes	
row_9	SNRPD1	861	2.183228015899658	0.29472226	Yes	
row_10	SNRPA1	878	2.158540725708008	0.32207733	Yes	
row_11	PHF5A	940	2.072814464569092	0.34398064	Yes	
row_12	SNRNP70	1011	1.9692658185958862	0.36363736	Yes	
row_13	SNRPD2	1029	1.9434586763381958	0.38801855	Yes	
row_14	SF3A3	1118	1.8166595697402954	0.40391126	Yes	
row_15	DDX39B	1214	1.7152656316757202	0.4177775	Yes	
row_16	LSM8	1264	1.6621637344360352	0.43533337	Yes	
row_17	HTATSF1	1308	1.618327021598816	0.45287657	Yes	
row_18	SNRPA	1321	1.6058889627456665	0.47321868	Yes	
row_19	PPIH	1326	1.6012487411499023	0.49426398	Yes	
row_20	SF3B3	1388	1.553826093673706	0.5092222	Yes	
row_21	PRPF40A	1402	1.5398460626602173	0.52858484	Yes	
row_22	SNRPE	1427	1.5157277584075928	0.54657257	Yes	
row_23	PRPF3	1497	1.456421971321106	0.5594621	Yes	
row_24	SNRPG	1596	1.375427484512329	0.5684936	Yes	
row_25	SNRNP40	1629	1.3543497323989868	0.5835565	Yes	
row_26	SNRPB	1742	1.2680326700210571	0.5898117	Yes	
row_27	USP39	1758	1.2593082189559937	0.6052289	Yes	
row_28	LSM6	1765	1.2536792755126953	0.6214317	Yes	
row_29	PRPF8	1781	1.2435016632080078	0.6366374	Yes	
row_30	SF3B5	1809	1.2140909433364868	0.65030164	Yes	
row_31	SF3A1	1838	1.1939893960952759	0.66360116	Yes	
row_32	SNRPB2	1879	1.167508840560913	0.67539847	Yes	
row_33	LUC7L2	2205	0.9563838243484497	0.65710825	No	
row_34	PRPF40B	2301	0.8941950798034668	0.6599869	No	
row_35	EFTUD2	2325	0.8833879828453064	0.6696083	No	
row_36	SF3A2	2518	0.7916849851608276	0.66183645	No	
row_37	RBMX2	2910	0.6244816184043884	0.63279134	No	
row_38	SNRNP200	2953	0.6125817894935608	0.6369713	No	
row_39	SF3B6	3107	0.558982789516449	0.62981606	No	
row_40	SNRPF	3217	0.5191314220428467	0.62633646	No	
row_41	PRPF4	3506	0.42720717191696167	0.60450405	No	
row_42	SF3B1	3694	0.3711180090904236	0.5915825	No	
row_43	LSM5	3737	0.36042484641075134	0.5923881	No	
row_44	SF3B2	4376	0.19982269406318665	0.5340328	No	
row_45	TXNL4B	4417	0.18771587312221527	0.53271854	No	
row_46	AAR2	4804	0.10493357479572296	0.4971991	No	
row_47	DDX23	5235	0.030153995379805565	0.45647004	No	
row_48	ZMAT2	5239	0.029338866472244263	0.4565757	No	
row_49	SNRPC	5269	0.024374129250645638	0.4541278	No	
row_50	LSM4	5769	-0.059729937463998795	0.40719417	No	
row_51	PRPF6	5989	-0.09551072120666504	0.38752338	No	
row_52	SART1	6142	-0.12290751188993454	0.37462825	No	
row_53	CD2BP2	8539	-0.9920408725738525	0.15870915	No	
row_54	PRPF18	9694	-2.207756996154785	0.07786499	No	
