NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA6	868	2.1735904216766357	-0.050065745	No	
row_1	SLC3A2	1073	1.8656079769134521	-0.041310735	No	
row_2	CACNA1S	1222	1.7069932222366333	-0.029604137	No	
row_3	ATP2A2	1847	1.1852773427963257	-0.0713114	No	
row_4	TRPM7	2009	1.0733283758163452	-0.07044634	No	
row_5	ORAI1	2641	0.7405916452407837	-0.11955887	No	
row_6	MCU	2668	0.7322802543640137	-0.11095238	No	
row_7	TMCO1	2678	0.7272008657455444	-0.10079743	No	
row_8	SEC61A1	2830	0.658231258392334	-0.105264045	No	
row_9	CUL5	3113	0.5576151013374329	-0.12377986	No	
row_10	P2RX4	3788	0.3455916941165924	-0.18298703	No	
row_11	CACNA1D	4145	0.2530631422996521	-0.21319138	No	
row_12	LETM1	4278	0.2214387059211731	-0.22245778	No	
row_13	PKD1L3	4571	0.14865092933177948	-0.2481246	No	
row_14	ATP2C1	4607	0.14315548539161682	-0.24930252	No	
row_15	MCOLN3	4914	0.08691760897636414	-0.27724302	No	
row_16	ATP2B4	4924	0.08522390574216843	-0.27681255	No	
row_17	ITGAV	5396	1.1951800115639344E-4	-0.32184374	No	
row_18	TMEM165	5552	-0.023090533912181854	-0.33631375	No	
row_19	PKD1	5882	-0.07730017602443695	-0.366599	No	
row_20	ATP2A1	6255	-0.14678646624088287	-0.39994296	No	
row_21	STIM2	6543	-0.2099035680294037	-0.42420387	No	
row_22	CATSPER2	6652	-0.2360435426235199	-0.4309544	No	
row_23	ITPR2	6679	-0.2445560097694397	-0.4297358	No	
row_24	ORAI3	7215	-0.38867563009262085	-0.47500038	No	
row_25	PSEN1	7286	-0.41038358211517334	-0.4754768	No	
row_26	TRPC4AP	7882	-0.6451355814933777	-0.52259326	No	
row_27	PKD2L2	8118	-0.7457284927368164	-0.53376585	No	
row_28	SLC8B1	8389	-0.9060853123664856	-0.54585576	Yes	
row_29	ITPR1	8481	-0.9564635753631592	-0.54006815	Yes	
row_30	TPCN2	8513	-0.9756613969802856	-0.5282531	Yes	
row_31	TRPM6	8681	-1.0778987407684326	-0.5278924	Yes	
row_32	TRPV6	8837	-1.1870241165161133	-0.52473146	Yes	
row_33	TRPV2	9039	-1.3440173864364624	-0.52359056	Yes	
row_34	TRPM4	9166	-1.475752353668213	-0.51328325	Yes	
row_35	CACNA1A	9238	-1.5598914623260498	-0.49644285	Yes	
row_36	RYR3	9312	-1.6317421197891235	-0.4787053	Yes	
row_37	CDK5	9458	-1.8109147548675537	-0.4651377	Yes	
row_38	ATP2A3	9490	-1.858436942100525	-0.43995053	Yes	
row_39	MCOLN1	9528	-1.9154679775238037	-0.41447312	Yes	
row_40	ATP2B1	9606	-2.0539207458496094	-0.39072296	Yes	
row_41	PANX1	9634	-2.09264874458313	-0.36160555	Yes	
row_42	ANXA2	9637	-2.100144386291504	-0.32998434	Yes	
row_43	TPCN1	9900	-2.6155545711517334	-0.3154148	Yes	
row_44	CACNB1	10056	-3.083112955093384	-0.28353238	Yes	
row_45	RYR1	10147	-3.452294111251831	-0.23984295	Yes	
row_46	CACNA2D4	10164	-3.4902846813201904	-0.18850282	Yes	
row_47	ITPR3	10217	-3.7753260135650635	-0.13628696	Yes	
row_48	ORAI2	10403	-5.208922386169434	-0.07507167	Yes	
row_49	RASA3	10435	-5.612403869628906	0.006979613	Yes	
