NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA6	868	2.1735904216766357	-0.03347828	No	
row_1	KCNK6	2930	0.6185716986656189	-0.21599635	No	
row_2	P2RX4	3788	0.3455916941165924	-0.2898861	No	
row_3	MCOLN3	4914	0.08691760897636414	-0.39520064	No	
row_4	CHRNA2	6557	-0.21205896139144897	-0.5469807	No	
row_5	ITPR2	6679	-0.2445560097694397	-0.55297315	No	
row_6	CCDC51	6892	-0.29927030205726624	-0.5664029	No	
row_7	CHRNB1	7269	-0.40518152713775635	-0.5930704	No	
row_8	GRIK5	8043	-0.7116596102714539	-0.65064675	No	
row_9	ITPR1	8481	-0.9564635753631592	-0.670628	No	
row_10	TPCN2	8513	-0.9756613969802856	-0.6514556	No	
row_11	TRPM4	9166	-1.475752353668213	-0.6801625	Yes	
row_12	RYR3	9312	-1.6317421197891235	-0.6569812	Yes	
row_13	KCNH2	9399	-1.7291674613952637	-0.62596375	Yes	
row_14	MCOLN1	9528	-1.9154679775238037	-0.59472615	Yes	
row_15	PTK2B	9731	-2.281625986099243	-0.56224084	Yes	
row_16	TPCN1	9900	-2.6155545711517334	-0.5189394	Yes	
row_17	CNGA1	9919	-2.672206163406372	-0.46004817	Yes	
row_18	RYR1	10147	-3.452294111251831	-0.40339532	Yes	
row_19	ITPR3	10217	-3.7753260135650635	-0.32434812	Yes	
row_20	GABRR2	10350	-4.647321701049805	-0.2315314	Yes	
row_21	P2RX7	10411	-5.2517828941345215	-0.118138716	Yes	
row_22	RASA3	10435	-5.612403869628906	0.006961665	Yes	
