NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNL3	21	6.126562595367432	0.11468852	Yes	
row_1	LARP1	26	5.96330451965332	0.22788827	Yes	
row_2	RSL1D1	58	5.337189197540283	0.32658848	Yes	
row_3	RPL5	82	4.819319725036621	0.4161877	Yes	
row_4	SHMT1	115	4.489349365234375	0.49864405	Yes	
row_5	NCL	155	4.245023250579834	0.57577944	Yes	
row_6	CCT5	233	3.7453911304473877	0.63977563	Yes	
row_7	SYNCRIP	264	3.5561676025390625	0.7046487	Yes	
row_8	SHMT2	458	2.9282169342041016	0.7420212	Yes	
row_9	RARA	589	2.6405277252197266	0.7799205	Yes	
row_10	DDX3X	857	2.1897435188293457	0.7961726	Yes	
row_11	RPS7	1153	1.7798781394958496	0.80194867	Yes	
row_12	RPS13	1205	1.7223217487335205	0.8298909	Yes	
row_13	RPS14	2142	0.9877768158912659	0.75946844	No	
row_14	DHX36	2220	0.9454067945480347	0.77013427	No	
row_15	RPL41	2888	0.630519449710846	0.7185531	No	
row_16	MRPS11	4332	0.2110665887594223	0.5850006	No	
row_17	FMR1	5497	-0.014834550209343433	0.4743097	No	
row_18	IGF2BP3	5842	-0.07055474817752838	0.4428573	No	
row_19	UTP23	6015	-0.09946046769618988	0.42835355	No	
