NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.016652219	Yes	
row_1	GNL3	21	6.126562595367432	0.03521931	Yes	
row_2	LARP1	26	5.96330451965332	0.052902415	Yes	
row_3	C1QBP	32	5.812370300292969	0.0700308	Yes	
row_4	RSL1D1	58	5.337189197540283	0.08377301	Yes	
row_5	EIF2S2	60	5.300622940063477	0.099739715	Yes	
row_6	RPL5	82	4.819319725036621	0.11230169	Yes	
row_7	DENR	104	4.5703301429748535	0.12410908	Yes	
row_8	SHMT1	115	4.489349365234375	0.13674141	Yes	
row_9	CNBP	134	4.34966516494751	0.14817198	Yes	
row_10	EIF4A1	149	4.282050132751465	0.15978684	Yes	
row_11	MRPS7	150	4.276183605194092	0.1727462	Yes	
row_12	NCL	155	4.245023250579834	0.1852219	Yes	
row_13	PABPC4	184	4.025240898132324	0.19469622	Yes	
row_14	MRPL13	187	4.009195327758789	0.20665184	Yes	
row_15	PCBP1	188	4.006737232208252	0.2187946	Yes	
row_16	FUBP1	199	3.9419846534729004	0.2297681	Yes	
row_17	CCT5	233	3.7453911304473877	0.23790778	Yes	
row_18	SYNCRIP	264	3.5561676025390625	0.24576592	Yes	
row_19	EIF3A	293	3.449751377105713	0.25349617	Yes	
row_20	G3BP1	295	3.441646099090576	0.26382908	Yes	
row_21	SRSF6	296	3.436363697052002	0.2742433	Yes	
row_22	CLUH	324	3.322787046432495	0.28168607	Yes	
row_23	NCBP2	394	3.093069553375244	0.28434587	Yes	
row_24	RPS5	399	3.0786116123199463	0.29328665	Yes	
row_25	SHMT2	458	2.9282169342041016	0.2965172	Yes	
row_26	ETF1	489	2.8532042503356934	0.30224496	Yes	
row_27	DHX33	512	2.815446138381958	0.3086367	Yes	
row_28	SERBP1	526	2.791968822479248	0.31583306	Yes	
row_29	RPS2	561	2.711987018585205	0.32074362	Yes	
row_30	EIF3D	583	2.6590957641601562	0.32675883	Yes	
row_31	RARA	589	2.6405277252197266	0.33427468	Yes	
row_32	LUC7L	614	2.5817081928253174	0.33976346	Yes	
row_33	STRAP	620	2.560087203979492	0.3470355	Yes	
row_34	RBM8A	623	2.5522077083587646	0.35457557	Yes	
row_35	RNPS1	632	2.5350122451782227	0.36147973	Yes	
row_36	LUC7L3	696	2.4307961463928223	0.3627163	Yes	
row_37	RPL7	704	2.4203128814697266	0.36937013	Yes	
row_38	PCBP2	706	2.4147582054138184	0.37659097	Yes	
row_39	GEMIN5	712	2.3950796127319336	0.38336295	Yes	
row_40	HNRNPC	732	2.3542542457580566	0.38864893	Yes	
row_41	PPIE	736	2.3520004749298096	0.39548495	Yes	
row_42	EIF2A	773	2.2922065258026123	0.39892873	Yes	
row_43	LARP4	777	2.2853972911834717	0.4055629	Yes	
row_44	YTHDF2	784	2.276158094406128	0.4118772	Yes	
row_45	MIR17HG	806	2.248666524887085	0.41664857	Yes	
row_46	SSB	856	2.1898770332336426	0.41851726	Yes	
row_47	DDX3X	857	2.1897435188293457	0.42515346	Yes	
row_48	EXOSC4	871	2.1690661907196045	0.43046206	Yes	
row_49	TRA2B	904	2.119415283203125	0.43377137	Yes	
row_50	HNRNPA3	910	2.115518093109131	0.43969613	Yes	
row_51	YBX3	911	2.1144206523895264	0.44610408	Yes	
row_52	TARDBP	959	2.04406476020813	0.44772547	Yes	
row_53	FYTTD1	968	2.034011125564575	0.4531113	Yes	
row_54	SNRNP70	1011	1.9692658185958862	0.45499253	Yes	
row_55	HNRNPD	1049	1.9044471979141235	0.45716384	Yes	
row_56	EIF4A3	1104	1.826635479927063	0.45744517	Yes	
row_57	EDC3	1148	1.786280632019043	0.45867455	Yes	
row_58	RPS7	1153	1.7798781394958496	0.4636794	Yes	
row_59	HDLBP	1177	1.7510087490081787	0.466748	Yes	
row_60	HNRNPLL	1200	1.7276579141616821	0.46984312	Yes	
row_61	RPS13	1205	1.7223217487335205	0.47467354	Yes	
row_62	FUBP3	1263	1.6637957096099854	0.47416946	Yes	
row_63	EIF4G1	1271	1.6568982601165771	0.4785097	Yes	
row_64	CELF1	1304	1.6210192441940308	0.4803086	Yes	
row_65	RPS26	1339	1.5911322832107544	0.4818223	Yes	
row_66	TSN	1370	1.563944935798645	0.48364285	Yes	
row_67	SRSF1	1383	1.5568795204162598	0.48719344	Yes	
row_68	RBM15B	1407	1.5349653959274292	0.48960727	Yes	
row_69	CALR	1422	1.518169641494751	0.49284598	Yes	
row_70	PABPC1	1432	1.5094395875930786	0.49654472	Yes	
row_71	TUT1	1464	1.4877594709396362	0.49803707	Yes	
row_72	HNRNPK	1489	1.460379958152771	0.50012755	Yes	
row_73	PPP1R8	1543	1.4186731576919556	0.49926984	Yes	
row_74	NUP98	1583	1.3846731185913086	0.4996713	Yes	
