NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GJB2	160	4.205478668212891	0.010495438	No	
row_1	TOMM40	336	3.2899556159973145	0.01391454	No	
row_2	VDAC2	579	2.6691906452178955	0.007071215	No	
row_3	ANXA6	868	2.1735904216766357	-0.007245056	No	
row_4	BCL2	1075	1.864920973777771	-0.015576229	No	
row_5	VDAC1	1117	1.8182207345962524	-0.008329407	No	
row_6	CACNA1S	1222	1.7069932222366333	-0.007824758	No	
row_7	TMEM109	1247	1.6795644760131836	2.0340481E-4	No	
row_8	VDAC3	1425	1.51669180393219	-0.007482271	No	
row_9	TMEM38B	1496	1.457044005393982	-0.0052465517	No	
row_10	CYBB	1577	1.3926640748977661	-0.004368558	No	
row_11	CALHM2	1631	1.3506006002426147	-0.0011532643	No	
row_12	CLIC4	1698	1.302371621131897	5.152338E-4	No	
row_13	CLCC1	1987	1.0901821851730347	-0.020468213	No	
row_14	TRPM7	2009	1.0733283758163452	-0.015882298	No	
row_15	TMEM120B	2292	0.9001923203468323	-0.037458	No	
row_16	CLIC3	2349	0.8725464940071106	-0.03747306	No	
row_17	ATP6V1A	2615	0.7535630464553833	-0.058316484	No	
row_18	ORAI1	2641	0.7405916452407837	-0.05616281	No	
row_19	MCU	2668	0.7322802543640137	-0.054156438	No	
row_20	TMCO1	2678	0.7272008657455444	-0.05054671	No	
row_21	SEC61A1	2830	0.658231258392334	-0.061015256	No	
row_22	KCNQ5	2906	0.6254032850265503	-0.064378135	No	
row_23	KCNK6	2930	0.6185716986656189	-0.06278305	No	
row_24	SLC1A4	3050	0.5780242681503296	-0.07066826	No	
row_25	CUL5	3113	0.5576151013374329	-0.073198296	No	
row_26	TOMM40L	3770	0.35217738151550293	-0.13410796	No	
row_27	P2RX4	3788	0.3455916941165924	-0.13361584	No	
row_28	FXYD4	4085	0.2672038972377777	-0.16043304	No	
row_29	TMC4	4128	0.2570851147174835	-0.16288942	No	
row_30	PIEZO1	4134	0.25596997141838074	-0.16179498	No	
row_31	CACNA1D	4145	0.2530631422996521	-0.1611992	No	
row_32	MPV17	4215	0.2371671497821808	-0.16637431	No	
row_33	LRRC8D	4322	0.2135297805070877	-0.17525257	No	
row_34	TMEM63B	4459	0.17845101654529572	-0.18723133	No	
row_35	PKD1L3	4571	0.14865092933177948	-0.19698963	No	
row_36	BAX	4605	0.1435282975435257	-0.19927944	No	
